speaker_gender|listener_gender|en_text|pl_text
mężczyzna|kobieta|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrą artystką?
kobieta|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrym artystą?
mężczyzna|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrym artystą?
kobieta|kobieta|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrą artystką?
mężczyzna|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłeś?
mężczyzna|kobieta|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłaś?
kobieta|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłeś?
kobieta|kobieta|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłaś?
kobieta|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłaś mi farby
kobieta|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłeś mi farby
mężczyzna|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłaś mi farby
mężczyzna|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłeś mi farby
mężczyzna|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?
kobieta|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?
mężczyzna|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?
kobieta|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?
mężczyzna|kobieta|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłaś swoją?
kobieta|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłeś swoją?
mężczyzna|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłeś swoją?
kobieta|kobieta|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłaś swoją?
mężczyzna|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłaś napoje?
kobieta|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłeś napoje?
mężczyzna|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłeś napoje?
kobieta|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłaś napoje?
mężczyzna|kobieta|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?
kobieta|mężczyzna|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?
mężczyzna|mężczyzna|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?
kobieta|kobieta|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?
mężczyzna|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłaś śmieci?
kobieta|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłeś śmieci?
mężczyzna|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłeś śmieci?
kobieta|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłaś śmieci?
mężczyzna|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałaś zarezerwować hotel?
kobieta|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałeś zarezerwować hotel?
mężczyzna|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałeś zarezerwować hotel?
kobieta|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałaś zarezerwować hotel?
mężczyzna|kobieta|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłaś swój portfel?
kobieta|mężczyzna|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłeś swój portfel?
mężczyzna|mężczyzna|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłeś swój portfel?
kobieta|kobieta|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłaś swój portfel?
mężczyzna|kobieta|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłaś do klienta?
kobieta|mężczyzna|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłeś do klienta?
mężczyzna|mężczyzna|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłeś do klienta?
kobieta|kobieta|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłaś do klienta?
mężczyzna|kobieta|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłaś prezentację?
