speaker_gender|listener_gender|en_text|pl_text
mężczyzna|kobieta|I was standing in line for an hour to get those concert tickets, and you just stayed at home, didn't you?|Stałem godzinę w kolejce po te bilety na koncert, a ty sobie siedziałaś w domu, co nie?
kobieta|mężczyzna|I was standing in line for an hour to get those concert tickets, and you just stayed at home, didn't you?|Stałam godzinę w kolejce po te bilety na koncert, a ty sobie siedziałeś w domu, co nie?
mężczyzna|mężczyzna|I was standing in line for an hour to get those concert tickets, and you just stayed at home, didn't you?|Stałem godzinę w kolejce po te bilety na koncert, a ty sobie siedziałeś w domu, co nie?
kobieta|kobieta|I was standing in line for an hour to get those concert tickets, and you just stayed at home, didn't you?|Stałam godzinę w kolejce po te bilety na koncert, a ty sobie siedziałaś w domu, co nie?
mężczyzna|kobieta|I spent hours waiting for you at the station, why didn't you answer your phone?|Czekałem na ciebie godzinami na dworcu, czemu nie odbierałaś telefonu?
kobieta|mężczyzna|I spent hours waiting for you at the station, why didn't you answer your phone?|Czekałam na ciebie godzinami na dworcu, czemu nie odbierałeś telefonu?
mężczyzna|mężczyzna|I spent hours waiting for you at the station, why didn't you answer your phone?|Czekałem na ciebie godzinami na dworcu, czemu nie odbierałeś telefonu?
kobieta|kobieta|I spent hours waiting for you at the station, why didn't you answer your phone?|Czekałam na ciebie godzinami na dworcu, czemu nie odbierałaś telefonu?
mężczyzna|kobieta|I spent the whole afternoon fixing the car, while you were supposed to find a mechanic, did you manage to call anyone?|Spędziłem całe popołudnie naprawiając samochód, a ty miałaś znaleźć mechanika, czy udało ci się do kogoś zadzwonić?
kobieta|mężczyzna|I spent the whole afternoon fixing the car, while you were supposed to find a mechanic, did you manage to call anyone?|Spędziłam całe popołudnie naprawiając samochód, a ty miałeś znaleźć mechanika, czy udało ci się do kogoś zadzwonić?
mężczyzna|mężczyzna|I spent the whole afternoon fixing the car, while you were supposed to find a mechanic, did you manage to call anyone?|Spędziłem całe popołudnie naprawiając samochód, a ty miałeś znaleźć mechanika, czy udało ci się do kogoś zadzwonić?
kobieta|kobieta|I spent the whole afternoon fixing the car, while you were supposed to find a mechanic, did you manage to call anyone?|Spędziłam całe popołudnie naprawiając samochód, a ty miałaś znaleźć mechanika, czy udało ci się do kogoś zadzwonić?
kobieta|mężczyzna|You cheated on me, now I am sad|Zdradziłeś mnie, teraz jestem smutna
mężczyzna|mężczyzna|You cheated on me, now I am sad|Zdradziłeś mnie, teraz jestem smutny
mężczyzna|kobieta|You cheated on me, now I am sad|Zdradziłaś mnie, teraz jestem smutny
kobieta|kobieta|You cheated on me, now I am sad|Zdradziłaś mnie, teraz jestem smutna
mężczyzna|kobieta|I told you the truth, why did you lie to me?|Powiedziałem ci prawdę, dlaczego mnie okłamałaś?
kobieta|mężczyzna|I told you the truth, why did you lie to me?|Powiedziałam ci prawdę, dlaczego mnie okłamałeś?
mężczyzna|mężczyzna|I told you the truth, why did you lie to me?|Powiedziałem ci prawdę, dlaczego mnie okłamałeś?
kobieta|kobieta|I told you the truth, why did you lie to me?|Powiedziałam ci prawdę, dlaczego mnie okłamałaś?
