en_text|pl_text
Hey, everyone! Wanna hear about Fyresdal?|Ej, ludzie! Chcecie posłuchać o Fyresdal?
Hey, good folk! Wanna hear what our brave guard did at Fyresdal?|Ej, ludzie! Chcecie usłyszeć, co nasz dzielny strażnik zrobił pod Fyresdal?
Shut your trap, dammit!|Stul pysk, do cholery!
Four against one - and you came out alive.|Czterech na jednego. A dałeś radę.
Shame to let such a lad waste away behind bars… Come on. Maybe Lugos'll try you today.|Szkoda, żeby taki chłop marniał za kratkami... Chodź. Może Lugos zechce cię osądzić.
And they say violence is never the answer…|A mówią, że przemoc nigdy nie jest rozwiązaniem...
How the hell did you know about it?|Skąd o tym wiesz?!
From Simun Brambling. He promised to forget if you take me to see the jarl.|Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.
Bramblin'! More like Simun Loose-lip. Ah, fine, come with me.|Zięba... Powinni go raczej wołać Simun Wielka Gęba. Dobra, chodź za mną.
It'll cost you. Scratch my back, I'll scratch yours.|Nic za darmo. Przysługa za przysługę.
It'll cost you.|Nic za darmo.
You bored? Grab a pickaxe.|Jak ci się nudzi, to łap za kilof.
Rather talk. About what happened at Fyresdal, for example.|Wolałbym pogadać. Na przykład o tym, co się działo pod Fyresdal.
Shut it!|Zamknij się!
Hey, Grayhair! Lemme out, eh?! You've but to find the key!|Hej, ty, siwy! Uwolnij mnie! Musisz tylko klucz znaleźć!
How about a round of gwent?|Co powiesz na kolejkę gwinta?
Fine, let's play. But you're not to speak.|Zagrajmy, niech będzie. Tylko masz nie gadać.
Care for a game of cards?|Zagramy w karty?
See ya.|Bywaj.
"I'd prefer ""goodbye."""|Wolałbym „żegnaj”.
Farewell.|Bywaj.
Got anything you're willing to sell?|Masz coś na sprzedaż?
Got anything to sell?|Masz coś na sprzedaż?
I do. But it's expensive.|Mam. Ale drogo.
What do you want now? I've taught you all I know.|Nauczyłem cię wszystkiego, co umiem. Czego jeszcze chcesz?
Treasure Chest|Skrzynia ze skarbem
Geralt, we need him alive.|Geralt, potrzebujemy go żywego.
Figured as much. Help me.|Domyślam się. Pomóż mi.
Just warmin' up. Well, what're you waiting for? Go call the next one.|No, dalej, wołaj następnego. Dopiero się rozgrzewam.
Let's go, next.|Wołaj następnego.
A witcher, eh? Ye fight more like a little bitch. Get outta my sight, drifter.|Niby wiedźmin, a bijesz się jak panna... Zejdź mi z oczu, przybłędo.
Throat's dry… Going for a drink.|Zaschło mi w gardle... Idę się napić.
Go. But I hope to fight you again.|Idź. Ale mam nadzieję, że jeszcze powalczymy.
Goin' for a drink.|Idę się napić.
Argh, pth! You hit good. Hard.|Tfu... Dobrze bijesz. Mocno.
Bandit|Bandyta
Oh, 'tis a bad turn, bad…|Oj, niedobrze się stało, niedobrze...
Fisherman|Rybak
Don't know what you came here seekin', wanderer… But death's what you've found.|Nie wiem, czego tu szukałeś, przybłędo... Ale znajdziesz śmierć.
I get his blades! And whichever one of yous fights best'll get his armor!|Jego miecze ja biorę! A kto najlepiej walczyć będzie, dostanie zbroję!
Fannar wrote he's willin' to pay well for the sword. Its weight in gold, in fact.|Fannar pisał, że jest gotów za miecz dać tyle, ile waży w złocie.
Kuliu's worth more. Lots more.|Kuliu jest wart więcej. Znacznie więcej.
I don't deny it. But none other's prepared to buy. They all fear the an Craite.|Nie przeczę. Ale nikt inny nie zechce go kupić. Boją się an Craite.
At 'im! Asulf, go 'round behind!|Na niego! Asulf, od tyłu go zajdź!
Geralt, stop dawdling! Don the damned Mask!|Geralt, nie ociągaj się. Włóż Maskę.
Put on the Mask. We don't have time.|Włóż Maskę. Nie mamy czasu.
Boatwright|Szkutnik
Gotta keep looking. Hjalmar came through here, had to.|Muszę szukać dalej, Hjalmar musiał tędy przejść.
Recruited quite a few men… No Hjalmar here, though.|Sporo ich nazbierał... Ale Hjalmara tu nie ma.
Giant's pantry.|Spiżarnia giganta.
I'll never forget what you did for us!|Nigdy nie zapomnę, co dla nas zrobiłeś!
Book|Książka
Clan An Craite Guard|Strażnik z klanu an Craite
You ever play gwent?|Grywasz czasem w gwinta?
Hah! Ermion taught me the rules and gave me a deck. Wish to play?|Myszowór nauczył mnie zasad i dał mi talię. Masz ochotę zagrać?
We'll play another time.|Zagramy innym razem.
Some other time.|Innym razem.
Let's play.|Zagrajmy.
Let's play a quick round.|Zagrajmy szybką partyjkę.
Care for a game of gwent?|Zagrajmy w gwinta.
You're good! Know what, Wolf? I've this rare card here - take it, it'll be of more use to you.|Dobry jesteś! Wiesz co, mam tu taką rzadką kartę – weź ją, zrobisz z niej lepszy użytek.
Thanks.|Dziękuję.
You might consider challenging a man in Kaer Trolde village. A worthy adversary, though a mere tailor. Sjusta's his name.|W Kaer Trolde ktoś, z kim Geralt mógłbyś się zmierzyć. To godny przeciwnik, chociaż zwykły krawiec. Zowie się Sjusta.
Not shabby. But you could use some better cards.|Nieźle. Ale chyba potrzebujesz lepszych kart.
Ermion mentioned the druid Gremist. Apparently has similar rare beauties, as does some hermit in Velen. Pay them a visit if you care to expand your collection.|Myszowór opowiadał, że podobne rarytasy ma druid Gremista i jakiś pustelnik z Velen. Gdybyś chciał uzupełnić kolekcję, to powinieneś ich odwiedzić.
Been to Lofoten. More graves there than men. To think it could've been us they ravaged…|Byłem w Lofoten. Więcej tam teraz kurhanów niż ludzi. Pomyśleć, że i nas mogli najechać...
We'd 'uve fought 'em off. Everyone knows Larvik's got better warriors.|My byśmy się obronili. Wiadomo, że Larvik ma lepszych wojów.
Stupider, maybe. Sonny… if the Naglfar had landed here, you'd be dead and rotten now.|Głupszych raczej. Synku... Gdyby to tu Naglfar przybił, już byś pod ziemią leżał.
Who're you? Ah, wait, you I know. Geralt of Rivia, aye? What is it?|Coś ty za... A, czekaj, kojarzę cię. Geralt z Rivii, tak? O co chodzi?
Farewell.|Bywaj.
Farewell.|Bywaj.
How are things on Faroe?|Jak się mają sprawy na Faroe?
How are things on Faroe?|Jak się mają sprawy na Faroe?
They're as always - it's pissin' buckets and fuckin' freezin'.|Jak zawsze. Leje i piździ.
See you're bursting with pride.|Duma aż od ciebie bije.
No use coatin' seal shit with honey. Faroe is a rock overgrown with pines, but we've no need for more.|A co tu kryć? Faroe to skała porośnięta sosnami, ale nam więcej nie trzeba.
Can't eat pinewood.|Sosną się nie najecie.
But use it to build a longship, and you'll eat your fill of what others've grown and bred. After you've taken their wenches and their gold, burned their homes to the ground. That's how Clan Dimun lives.|Ale zrobimy z niej drakkar – a wtedy zjemy to, co wyhodowali inni. Po tym, jak zabierzemy ich złoto, porwiemy ich kobiety i puścimy z dymem ich chałupy! Tak żyje klan Dimun!
Aye?|No?
Got a trail to follow. Wonder where it leads.|Trop. Ciekawe gdzie mnie zaprowadzi.
Another victim.|Kolejna ofiara.
That stench… Drowners for sure. Lair must be nearby.|Ten smród... To na pewno utopce. Ich leże musi być gdzieś blisko.
Crabs… Must be near the fishing ground Rurik mentioned.|Kraby... Muszę być blisko łowiska, o którym mówił Ruryk.
That stench again… Slime and rotting flesh…|Znów ten smród... Szlam i padlina...
Ooh. More drowners.|Oho. Kolejne utopce.
A monster's lair… but definitely not a drowner's.|Leże potwora... Ale chyba nie utopca.
Almost untouched, hidden for later. Drowners just don't do that.|Prawie nieruszone... Schowane na później. Utopce tak nie robią.
Bruises on his neck, crushed larynx… Strangled.|Sińce na szyi, zmiażdżona krtań... Został uduszony.
Bits of boats, torn sails, lines… Sailing decor, you could call it.|Kawałki łodzi, podarte żagle, liny... Wystrój marynistyczny, można rzec.
That stench, the marks on the bodies… This must be a water hag's lair. Got a keen sense of smell. She won't come back while I'm here.|Ten smród, ślady na ciałach... To musi być leże baby wodnej. One mają czuły węch. Nie wróci, póki tu jestem.
Unless… She coexists with drowners… Maybe I could make an extract from their glands, cover up my scent.|Chociaż... Skoro toleruje utopce, może wystarczy zrobić wyciąg z ich gruczołów, żeby zamaskować mój zapach.
That should do it. Now for place to hide and wait. Behind those boats…?|To powinno wystarczyć. Teraz trzeba gdzieś się schować i zaczekać. Może za tymi szalupami...?
Human bones. Unbroken, but the marrow's been sucked out. Need a long, thin tongue for that.|Ludzkie kości. Szpik wyssany, mimo że nie są złamane... Do tego trzeba długiego, cienkiego języka.
A pelvis, scratched up. Long, wide claw marks.|Miednica. Ślady pazurów... Długich i szerokich.
Rusty piece of armor. Falling apart in my hands…|Kawałek zbroi, zardzewiały do szczętu. Rozpada się w rękach...
Talking won't get me anywhere…|Rozmowa chyba nic tu nie da...
Piss off, already, you--! Oh, nay… I-I… My vow of silence! All for naught.|Odczep się wreszcie, ty...!!! O, nie... Ja... Śluby milczenia. Wszystko na nic!
Sorry. I was tricked.|Wybacz. Zostałem oszukany.
Oh, sorry. Someone tricked me. I thought--|Wybacz. Zostałem oszukany. Myślałem, że...
Boo hoo hoo! My deepest sympathies! Now get out of my sight, you imbecile!|Bu hu hu! Wyrazy współczucia! A teraz zejdź mi z oczu, baranie!
I meant well, really…|Chciałem dobrze...
Well it certainly didn't turn out well! Out of my sight, swine!|No to ci nie wyszło! Zejdź mi z oczu, baranie!
I meant well…|Chciałem dobrze...
Three years! Three years and not a word, not a peep! Until today. You made me break my vow. Happy?!|Trzy lata. Trzy lata i ani słowa, ani pisku nawet! Aż do dziś. Złamałem śluby. Zadowolony?!
Are you the silent druid?|To ty jesteś tym milczącym druidem?
…|...
Oh, yeah. Dumb question.|No, tak. Głupie pytanie.
…|...
…|...
When'd you lose your voice? Can you show me, hold up some fingers?|Kiedy straciłeś głos? Możesz mi pokazać na palcach?
Ah, charming man.|Przyjemniaczek z ciebie.
When'd you lose your voice?|Kiedy straciłeś głos?
Hm, doesn't look like we'll figure much out talking. So long.|Widzę, że się nie dogadamy... Bywaj.
Farewell.|Bywaj.
They try to cure you some other way?|Jak próbowano cię leczyć?
They ever try to cure you some other way? Give you potions or herbs?|Jakimi metodami próbowano cię leczyć? Podawano ci jakieś eliksiry? Zioła?
…|...
Not just mute. Seems he's deaf, too…|Nie dość, że niemowa, to chyba jeszcze głuchy.
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.
This we ask of you, Freya, She-Falcon, Lioness, Bringer of Sun and Rain.|Prosimy, Freyjo. Sokole, kocie, ty, która przynosisz słońce i deszcz.
We pour you mead and blood, we offer you victuals. Remember us, Mother, protect our shores.|Ulewamy ci miód i krew, dajemy ci jadło. Pamiętaj o nas, Matko, strzeż naszych brzegów.
Porridge again, child? Ye could stand to serve some meat…|Znowu kasza, córuś? Mięsa byś podała...
What would ye do if I did? Ye ain't got no teeth.|I co ty byś z nim zrobił, jak zębów nie masz?
I could suck on it, at least… You could still toss it in a soup afterwards.|Chociaż bym sobie possał... A potem do zupy by się wrzuciło.
I hear Olaf's been off meat for two days.|Ponoć Olaf od dwóch dni mięsa nie żarł.
And when he's hungry, he's angry.|A on jak głodny, to zły.
But he's had a helluva lotta mead.|Za to miodu się opił.
Whoo-hoo… then Olaf's gonna do some killin'.|Uhuhu... No to będzie Olaf mordował.
You're mad, woman! Mad, I say!|Oszalałaś! Oszalałaś, kobieto!
Maybe. But I've got good reason.|Być może. Ale mam ważny powód.
I hold Ciri dear too. You know this! Damned well! But the Mask of Uroboros is no trifle!|Mnie też zależy na Ciri, dobrze o tym wiesz! Ale Maska Uroborosa to nie zabawka!
Have you any idea what could happen if it is used? Any idea of the consequences?|Wiesz, jakie mogą być skutki jej użycia?!
No, but neither do you. So stop panicking.|Nie, i ty też nie wiesz. Dlatego przestań panikować.
Pirate Leader|Przywódca piratów
Hey, hey! What's got into ye?|Ej, ej! Co ci odbiło?!
Told 'em… Lockin' a witcher in here's like puttin' a bear in a cage full of hounds.|Mówiłem... Zamknąć tu wiedźmina, to jak niedźwiedzia wsadzić do jednej klatki z psami.
True. Right spectacular in both cases.|Zgadza się. Świetne widowisko.
I'm sorry, but I must get to Drowned Dead Rock… as fast as possible.|Przepraszam, ale ja muszę iść do Skały Topielców i... I to jak najszybciej.
Shan't force you to stay… But the Rock's a ways off, and you can barely walk. You best take a horse.|Siłą cię nie trzymamy. Ale do Skały daleko, a ty ledwie chodzisz. Lepiej, żebyś pojechała konno.
True! Skjall can prepare a horse for you. You'll have to wait a spell, but even so you'll get there faster than on foot.|Właśnie! Skjall przygotuje wierzchowce. Chwilę zaczekasz, ale i tak na miejscu będziesz szybciej, niż gdybyś szła.
Fine… That will do. Thank you both very much.|Dobrze... Niech będzie. Bardzo wam dziękuję.
Pish-posh, there's no need… Now come, we gotta sweat the sick outta you!|Oj tam, nie ma za co... No, chodź, musisz wypocić tę chorobę!
Where are my clothes?|A moje ubrania...?
I've taken 'em already. Come on!|Już je tam zaniosłam. Chodź!
I must get to Drowned Dead Rock.|Muszę iść do Skały Topielców.
I feel fine now.|Ja już się dobrze czuję.
Really, there's no need… I feel fine now.|Naprawdę, nie ma potrzeby... Ja już się dobrze czuję.
Hey!|Heej!
Fine? You can't stand on your own two feet…|Dobrze? Przecież ty nawet na nogach nie możesz ustać.
And it's no surprise with your muscles frozen stiff. But don't you worry… Mum and I will take care of you.|I nic dziwnego, mięśnie masz jeszcze sztywne z zimna. Ale nie bój się... Zajmiemy się tobą z mamą.
Help… help me stand.|Pomóż... Pomóż mi wstać.
I don't… I don't think you should--|Może nie powinnaś jeszcze...
Less talk, more giving me a hand.|Nie gadaj tyle, tylko podaj mi rękę.
Ah, that's me brother for you. Outta sight for a second, and he's already put his paws on a girl.|O, to mój braciszek. Ledwie go spuścić z oczu, a już się garnie do dziewczyny z łapami.
Dah. Astrid, you're as dim as dishwater! You know perfectly well I'm helpin' her up.|Astrid, ale ty głupia jesteś! Widzisz przecież, że jej pomagam wstać.
It's a shame, I know, but I've got to interrupt your courtship. Come, we're off to the sauna.|Przykro mi, ale muszę przerwać te romanse. Chodź... Idziemy do sauny.
Where?|Gdzie?
Why's your mouth agape like you're noodlin' for an eel? The sauna!|Czego rozdziawiasz usta, jakbyś chciała, żeby tam węgorz wlazł? Do sauny!
Girl… You was blue as a whale when we brought you in here! Your blood needs thawin'!|Dziewczyno... Byłaś sina z zimna, jak cię tu przynieśli! Musisz się porządnie wygrzać!
Help me up.|Pomóż mi wstać.
What's this?! Did you undress me?!|Hola, hola! Rozebrałeś mnie?!
I-- I'd no choice! Soaked through, you were, and I had to see if you'd any wounds that needed tendin'.|Nie miałem wyboru! Byłaś przemoczona, a poza tym musiałem sprawdzić, czy nie trzeba cię opatrzyć...
