;meta[language=pl]
; id      |key(hex)|key(str)| text
    593592|00000000||Ej, ludzie! Chcecie posłuchać o Fyresdal?
    593596|00000000||Ej, ludzie! Chcecie usłyszeć, co nasz dzielny strażnik zrobił pod Fyresdal?
    593598|00000000||Stul pysk, do cholery!
    591702|00000000||Czterech na jednego. A dałeś radę.
    591704|00000000||Szkoda, żeby taki chłop marniał za kratkami... Chodź. Może Lugos zechce cię osądzić.
    591705|00000000||A mówią, że przemoc nigdy nie jest rozwiązaniem...
    593600|00000000||Skąd o tym wiesz?!
    593602|00000000||Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.
    593604|00000000||Zięba... Powinni go raczej wołać Simun Wielka Gęba. Dobra, chodź za mną.
    593594|00000000||Nic za darmo. Przysługa za przysługę.
    593591|00000000||Nic za darmo.
    591686|00000000||Jak ci się nudzi, to łap za kilof.
    591687|00000000||Wolałbym pogadać. Na przykład o tym, co się działo pod Fyresdal.
    591699|00000000||Zamknij się!
   1077251|00000000||Hej, ty, siwy! Uwolnij mnie! Musisz tylko klucz znaleźć!
    587823|00000000||Co powiesz na kolejkę gwinta?
    587824|00000000||Zagrajmy, niech będzie. Tylko masz nie gadać.
   1016317|00000000||Zagramy w karty?
    587822|00000000||Bywaj.
   1016320|00000000||Wolałbym „żegnaj”.
    587803|00000000||Bywaj.
    587812|00000000||Masz coś na sprzedaż?
    587825|00000000||Masz coś na sprzedaż?
   1016325|00000000||Mam. Ale drogo.
   1016316|00000000||Nauczyłem cię wszystkiego, co umiem. Czego jeszcze chcesz?
   1069326|e0351e50||Skrzynia ze skarbem
    567932|00000000||Geralt, potrzebujemy go żywego.
    567933|00000000||Domyślam się. Pomóż mi.
    583682|00000000||No, dalej, wołaj następnego. Dopiero się rozgrzewam.
    425869|00000000||Wołaj następnego.
    410018|00000000||Niby wiedźmin, a bijesz się jak panna... Zejdź mi z oczu, przybłędo.
    583686|00000000||Zaschło mi w gardle... Idę się napić.
    583688|00000000||Idź. Ale mam nadzieję, że jeszcze powalczymy.
    425871|00000000||Idę się napić.
    410016|00000000||Tfu... Dobrze bijesz. Mocno.
    478312|dbb86633||Bandyta
    582904|00000000||Oj, niedobrze się stało, niedobrze...
    577289|c10c4bf2||Rybak
    446094|00000000||Nie wiem, czego tu szukałeś, przybłędo... Ale znajdziesz śmierć.
    446180|00000000||Jego miecze ja biorę! A kto najlepiej walczyć będzie, dostanie zbroję!
   1044788|00000000||Fannar pisał, że jest gotów za miecz dać tyle, ile waży w złocie.
   1044790|00000000||Kuliu jest wart więcej. Znacznie więcej.
   1044792|00000000||Nie przeczę. Ale nikt inny nie zechce go kupić. Boją się an Craite.
    446092|00000000||Na niego! Asulf, od tyłu go zajdź!
   1063144|00000000||Geralt, nie ociągaj się. Włóż Maskę.
   1063142|00000000||Włóż Maskę. Nie mamy czasu.
    545346|391ece5b||Szkutnik
   1072727|00000000||Muszę szukać dalej, Hjalmar musiał tędy przejść.
    420027|00000000||Sporo ich nazbierał... Ale Hjalmara tu nie ma.
    420031|00000000||Spiżarnia giganta.
   1050103|00000000||Nigdy nie zapomnę, co dla nas zrobiłeś!
    332443|002e3ae9||Książka
   1086642|a1d615e0||Strażnik z klanu an Craite
    578437|00000000||Grywasz czasem w gwinta?
   1008173|00000000||Myszowór nauczył mnie zasad i dał mi talię. Masz ochotę zagrać?
    578443|00000000||Zagramy innym razem.
    578442|00000000||Innym razem.
    578441|00000000||Zagrajmy.
    578444|00000000||Zagrajmy szybką partyjkę.
    578436|00000000||Zagrajmy w gwinta.
    578447|00000000||Dobry jesteś! Wiesz co, mam tu taką rzadką kartę – weź ją, zrobisz z niej lepszy użytek.
   1042372|00000000||Dziękuję.
   1076491|00000000||W Kaer Trolde ktoś, z kim Geralt mógłbyś się zmierzyć. To godny przeciwnik, chociaż zwykły krawiec. Zowie się Sjusta.
    578446|00000000||Nieźle. Ale chyba potrzebujesz lepszych kart.
   1042374|00000000||Myszowór opowiadał, że podobne rarytasy ma druid Gremista i jakiś pustelnik z Velen. Gdybyś chciał uzupełnić kolekcję, to powinieneś ich odwiedzić.
   1024674|00000000||Byłem w Lofoten. Więcej tam teraz kurhanów niż ludzi. Pomyśleć, że i nas mogli najechać...
   1024676|00000000||My byśmy się obronili. Wiadomo, że Larvik ma lepszych wojów.
   1024678|00000000||Głupszych raczej. Synku... Gdyby to tu Naglfar przybił, już byś pod ziemią leżał.
   1017241|00000000||Coś ty za... A, czekaj, kojarzę cię. Geralt z Rivii, tak? O co chodzi?
    320709|00000000||Bywaj.
    320707|00000000||Bywaj.
   1016830|00000000||Jak się mają sprawy na Faroe?
   1017247|00000000||Jak się mają sprawy na Faroe?
   1017249|00000000||Jak zawsze. Leje i piździ.
   1017251|00000000||Duma aż od ciebie bije.
   1017253|00000000||A co tu kryć? Faroe to skała porośnięta sosnami, ale nam więcej nie trzeba.
   1017255|00000000||Sosną się nie najecie.
   1017257|00000000||Ale zrobimy z niej drakkar – a wtedy zjemy to, co wyhodowali inni. Po tym, jak zabierzemy ich złoto, porwiemy ich kobiety i puścimy z dymem ich chałupy! Tak żyje klan Dimun!
   1017243|00000000||No?
   1074011|00000000||Trop. Ciekawe gdzie mnie zaprowadzi.
   1002812|00000000||Kolejna ofiara.
   1002814|00000000||Ten smród... To na pewno utopce. Ich leże musi być gdzieś blisko.
   1002878|00000000||Kraby... Muszę być blisko łowiska, o którym mówił Ruryk.
   1002912|00000000||Znów ten smród... Szlam i padlina...
   1002915|00000000||Oho. Kolejne utopce.
   1003006|00000000||Leże potwora... Ale chyba nie utopca.
   1003254|00000000||Prawie nieruszone... Schowane na później. Utopce tak nie robią.
   1003272|00000000||Sińce na szyi, zmiażdżona krtań... Został uduszony.
   1003415|00000000||Kawałki łodzi, podarte żagle, liny... Wystrój marynistyczny, można rzec.
   1003462|00000000||Ten smród, ślady na ciałach... To musi być leże baby wodnej. One mają czuły węch. Nie wróci, póki tu jestem.
   1003463|00000000||Chociaż... Skoro toleruje utopce, może wystarczy zrobić wyciąg z ich gruczołów, żeby zamaskować mój zapach.
   1003720|00000000||To powinno wystarczyć. Teraz trzeba gdzieś się schować i zaczekać. Może za tymi szalupami...?
   1039089|00000000||Ludzkie kości. Szpik wyssany, mimo że nie są złamane... Do tego trzeba długiego, cienkiego języka.
   1045367|00000000||Miednica. Ślady pazurów... Długich i szerokich.
