;meta[language=pl]
; id      |key(hex)|key(str)| text
    575260|00000000||Wolę sam się tym zająć.
    575770|00000000||Wątpię. Dziki Gon to nie temerscy tarczownicy albo łucznicy z Lyrii.
    575219|00000000||Wydanie mu bitwy tutaj, naraziłoby to całą Wyzimę, setki niewinnych istnień.
    575777|00000000||Kaer Morhen jest na odludziu. I tam twoje wojsko bardziej by nam pomogło.
    575778|00000000||Hmm... Zgoda. Poślę z tobą chorągiew. Ale mam warunek – dowodził będzie generał Voorhis.
    575780|00000000||Nie mogę się na to zgodzić.
    575820|00000000||A ja nie oddam wojska pod dowództwo wiedźminowi.
    575821|00000000||W takim razie zdaje się, że nie dojdziemy do porozumienia.
    575826|00000000||Wybacz, Wasza Wysokość, że zająłem twój czas.
    575839|00000000||Przyprowadź mi Ciri.
    575841|00000000||Tak... O ile się zgodzi.
    575679|00000000||Nie wątpię – gdyby chodziło o zwykłych wrogów. Ale Dziki Gon to co innego.
    575259|00000000||Nie wątpię.
   1062496|00000000||Wasza cesarska mość.
   1062499|00000000||Wiedźminie. Co cię sprowadza?
    554325|00000000||Udało mi się ustalić, gdzie jest Ciri.
    575193|00000000||Nareszcie. Już zaczynałem wątpić, czy dobrze zrobiłem zwracając się do ciebie. Przywieź ją niezwłocznie.
    575194|00000000||Ściga ją Dziki Gon, bezpieczna będzie tylko w Kaer Morhen.
    554326|00000000||To nie była propozycja, tylko polecenie. Potrafię bronić własnej córki.
    446004|00000000||Coś zaatakowało ich znienacka. Nie mieli większych szans.
    446006|00000000||Widać spore wgniecenia... To musiało być coś dużego.
   1060566|00000000||Świetlik zatrzymał się przy chatce. Muszę tam zajrzeć.
    446002|00000000||Ciało jest jeszcze ciepłe, a krew nie zdążyła zaschnąć...
    559458|05cea138||Bies
   1058289|0a09c08e||Wodnica
    560503|00000000||Nikogo więcej nie znalazłem. Gaspard mówi, że nie żyją.
    560548|00000000||Dlaczego ci przykro?
    581386|00000000||O co chodzi?
    554320|00000000||Jest zimna i leży bez ducha.
    554321|00000000||Musiała umrzeć krótko przed naszym przybyciem.
    581369|00000000||Zaczekajmy przy łodzi.
    584305|00000000||Jest zimna i leży bez ducha. Nic nie mogliśmy zrobić.
    584307|00000000||Zaczekajmy przy łodzi.
    560549|00000000||Z drogi.
    560547|00000000||Odsuńcie się.
    560553|00000000||Ech. Wszystko nie tak. Co my teraz poczniemy?
    560554|00000000||Możecie wrócić ze mną, mam tu łódź, ale najpierw muszę kogoś znaleźć.
    560555|00000000||Szarowłosą dziewuszkę?
    581382|00000000||Tak.
    581384|00000000||Przykro mi.
    560504|00000000||Dziękuję za pomoc. I przepraszam, że ci nie ufałem.
    560501|00000000||Drugi na moich oczach spadł ze skały i złamał sobie kark.
    560502|00000000||Cholera. Rabenick kazał mi pilnować tę pierdołę. To był jego siostrzeniec.
    560488|00000000||Jednego znalazłem w pobliżu legowiska potwora. Niestety, był już martwy.
    554315|00000000||Gaspard! Ha! Coś ty taki niewyraźny?!
