speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|default|dialog|dialog2|dialog3|dialog4
Novigrad Noblewoman 03|My husband will faint when he hears this…|Novigrad Noblewoman 03|Could you repeat that?|Novigrad Noblewoman 03|Will you sell that racing mare of yours?|Sprzedajecie tę swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?
Novigrad Old Man 03|You're to cut off me thumb for me own good?! Ye gone daft?|Novigrad Peasant 17|Can't hold a scythe either! Or a sickle! Or a hammer! You'll make a cripple o' me!|Novigrad Peasant 17|Radovid's army won't take ye. Man without a thumb can't hold a sword.|Bez kciuka miecza nie utrzymasz. To do wojska cię Radowid nie weźmie.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie utrzyma miecza.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.|"Radovid's army won't take ye. Man without a thumb can't hold a sword.

Tłumaczenie:
Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza."
Geralt|True and blue, bred and born.|Skellige Merchant 01|"Ach, the ""Hemdall's Wrath,"" must be. Sailed out to raid the Continent's coast, must be a month, now. Never came back…"|Skellige Merchant 01|Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.|Chyba znalazłem coś, co należy do was. Ładunek z drakkaru, który rozbił się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek ze statku długiego, który rozbił się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiego statku, który rozbił się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.
Skellige Woman 02|Your betrothed is dead. An ekhidna captured and killed him.|Geralt|This won't bring him back, I know, but I avenged him, killed the beast.|Geralt|Nils…|Nils...|Nils...|Nils…|Nils…|"Nils...

To wszystko. Tłumaczenie samej drugiej wypowiedzi:

""Nils..."""|Nils...
Skellige Priestess 01|This temple is for those who seek Freya's help in finding what they desperately seek. Perhaps even you shall experience her grace.|Skellige Priestess 01|Welcome to the Temple of Freya.|Skellige Priestess 01|Scorn her not! Or have you friends so powerful that you can afford to spurn divine aid?|Nie krzyw się! Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?|Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?|Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?|Nie gardź nią! Czyżbyś miał tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?|- Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz odrzucić boską pomoc?|Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz odrzucić boską pomoc?
Geralt|Your beard. Why'd you decide to grow it out?|Yennefer|Hm.|Yennefer|Don't really know.|W zasadzie nie wiem.|Nie wiem naprawdę.|Nie wiem dokładnie.|Nie wiem dokładnie.|Nie wiem dokładnie dlaczego.|Nie wiem dokładnie dlaczego.
Geralt|Deep prints, blood… Just trying to get away.|Geralt|Fight happened here.|Geralt|Footprints and pawprints crisscross. Man and beast…|Ślady ludzkich stóp krzyżują się z odciskami łap potwora...|Ślady stóp i łap krzyżują się. Człowiek i bestia...|Ślady stóp i łap krzyżują się. Człowiek i bestia...|Ślady stóp i łap krzyżują się. Człowiek i bestia...|Ślady stóp i łap krzyżują się. Człowiek i bestia…|Ślady stóp i łap krzyżują się. Człowiek i bestia...
Halfling Man 01|Too late for that. We buried the poor fellow a few days back.|Halfling Man 01|Hm… Honeyfill's not been generating the revenues of old since the phantom appeared… Would you be willing to reduce your price?|Halfling Man 01|Ooooh, no, that is not an amount we can spare.|Ooo nie, nie, nie, nie, na tyle nie możemy sobie pozwolić.|Och, nie, to nie jest kwota, którą możemy sobie pozwolić.|Och, nie, to nie jest kwota, którą możemy sobie pozwolić.|Och, nie, to nie jest kwota, którą możemy sobie pozwolić.|Och, nie, to nie jest kwota, którą możemy sobie pozwolić.|Niestety, ta kwota znacznie przekracza nasze możliwości finansowe.
Geralt|Ventured a bit too far, white-haired stray. But ye still got a chance to leave 'ere alive… if ye pay.|Skellige Bandit 01|Course. We're not bloody traders, not gonna haggle.|Skellige Bandit 01|Fine, I'll leave. Not about to pay anyone for the privilege, though.|A ja myślę, że wyjdę. I nikomu nie będę płacił.|Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej.|Dobrze, odejdę. Nie zamierzam jednak płacić nikomu za ten przywilej.|Dobrze, odejdę. Nie mam zamiaru płacić nikomu za ten przywilej.|Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej wyjścia stąd żywym.|Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej odejścia, ale tak czy inaczej, odchodzę.
Nilfgaardian Imperial 01|I was told I'd be received first thing in the morning. And it's past noon!|Temerian Noble 01|Wha– What?! Do you know who you're talking to, soldier? I'm Herevard the Second, Prince of Ellander.|Temerian Noble 01|Calm yourself.|Spokój.|Uspokój się.|Uspokój się.|Uspokój się.|Uspokój się.|Uspokój się.
Novigrad Thug Strong 02|Old sow's farrowed piglets.|Geralt|Nope. Not the password.|Novigrad Thug Strong 02|Oh… Welcome to the grove, brother.|Witaj w naszym gaju, bracie.|Och... Witaj w zagajniku, bracie.|Oh… Witaj w gaju, bracie.|Oh… Witaj w gaju, bracie.|Witaj w zagajniku, bracie.|Oh... Witaj w gaju, bracie.
Geralt|Watch this. Arha'an lumar!|Philippa Eilhart|That means the Sunstone is here. Don't stand there looking stupid. Try to shift the mirrors.|Philippa Eilhart|Uh-huh.|No i co?|Uh-huh.|"Tłumaczenie drugiej wypowiedzi na język polski:

Hmm."|"Tłumaczenie: ""Eh-eh."""|- Hmm.|Ach, tak.
Yennefer|I found a corpse… not Craven's, though.|Geralt|Because… no bite marks on it… Doesn't seem strange to you?|Geralt|Aha. And you thought I'd find this interesting because…?|Mhm. I czemu uznałeś, że mnie to zainteresuje?|Aha. I pomyślałeś, że uznam to za interesujące, ponieważ...?|Aha. I myślałeś, że znajdę to interesujące, ponieważ...?|Aha. I myślałeś, że znajdę to interesującym, ponieważ...?|- Bo... nie ma na nim śladów ugryzień... Czy to cię nie dziwi?|Aha. I dlatego pomyślałeś, że mnie to zainteresuje? Bo... nie ma śladów ugryzień? Nie wydaje ci się to dziwne?
Geralt|Because?|Dijkstra|Well, well, Merigold… Your coin stands to come with a side of revenge.|Dijkstra|Cause I already know who nabbed your treasure. Commander of the Temple Guard. Caleb Menge.|Bo wiem już, kto położył łapę na twoim skarbie. Szef straży świątynnej... Niejaki Kaleb Menge.|Ponieważ już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.|Ponieważ już znam, kto zwędził twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.|Ponieważ już wiem, kto zwędził twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.|- Bo tak już wiem, kto zwędził twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.|Dijkstra: No cóż, Merigold... Twoja moneta przyjdzie z porcją zemsty.
Geralt|Yennefer tried to teach her to cast simple spells, and Ciri destroyed a shed near the temple where they were. Really upset her, but it was just an old shed.|Geralt|Speak, please…|Dreamer Corine Tilly|I know it took her a while to gain control. And frankly, I doubt she controls her abilities fully to this day.|Wiem, że długo uczyła się kontrolować umiejętności, ale chyba dotąd nie panuje nad nimi w pełni.|Wiem, że zajęło jej trochę czasu, zanim odzyskała kontrolę. Szczerze mówiąc, wątpię, czy do dziś w pełni kontroluje swoje umiejętności.|Wiem, że zajęło jej trochę czasu, zanim nauczyła się kontrolować swoje umiejętności. Szczerze mówiąc, wątpię, czy do dziś ma je w pełni pod kontrolą.|Wiem, że zajęło jej trochę czasu, zanim nauczyła się kontrolować swoje umiejętności. Szczerze mówiąc, wątpię, czy do dziś ma je w pełni opanowane.|Wiem, że zajęło jej trochę czasu, zanim nauczyła się kontrolować swoje umiejętności. A szczerze mówiąc, wątpię, czy do dziś ma je w pełni pod kontrolą.|Wiem, że zajęło jej trochę czasu, zanim nauczyła się kontrolować swoje umiejętności. I szczerze mówiąc, wątpię, czy do dziś w pełni je kontroluje.
Voorhis|I see no point in delaying this. Let's begin.|Voorhis|What a thrill! A beautiful victory!|Luiza La Valette|Nemrod - I fear I can choose no other.|Mój wybór nie może być inny – pojadę na Nemrodzie.|Nemrod - Boję się, że nie mogę wybrać inaczej.|Nemrod - Obawiam się, że nie mogę wybrać innego.|Nemrod - Obawiam się, że nie mogę wybrać innego.|Nemrod - Boję się, że nie mogę wybrać nikogo innego.|Nemrod - Obawiam się, że nie mam innego wyboru.
Geralt|It's definitely you. Hm, really captured you.|Geralt|Pfff. Very funny.|Cirilla|Sure Avallac'h's only interested in you for your magic abilities?|Jesteś pewna, że Avallac’h interesuje się tobą tylko z powodu twoich zdolności?|Czy Avallac'h jest zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?|Jesteś pewien, że Avallac'h interesuje się tobą tylko ze względu na twoje umiejętności magiczne?|"""Jasne, że Avallac'h interesuje się tobą tylko ze względu na twoje umiejętności magiczne?"""|"- Jasne, że to ty. Hm, naprawdę cię uchwycił.
- Na pewno Avallac'h interesuje się tobą tylko ze względu na twoje umiejętności magiczne?
- Pfff. Bardzo śmieszne.

Tłumaczenie drugiej wypowiedzi:
""Na pewno Avallac'h interesuje się tobą tylko ze względu na twoje umiejętności magiczne?"""|"Jesteś pewien, że to ty? Hm, rzeczywiście cię uchwycił.
Czyżby Avallac'h interesował się tobą tylko ze względu na twoje umiejętności magiczne?

Tłumaczenie drugiej wypowiedzi:
""Czyżby Avallac'h interesował się tobą tylko ze względu na twoje umiejętności magiczne?"""
Novigrad Poor Man 03|Present what you've got, what you aim to bring into the city.|Eternal Fire Guard 02|Search 'im. Find anythin' suspect, to the dungeon with 'im. Next!|Eternal Fire Guard 02|Oh, small things, sundries. This, that, the other. Truly, officer, naught to fret about 'ere, because--|A, takie drobiazgi. Trochę tego, trochę tamtego. Naprawdę, panie władzo, nie ma się co kłopotać, bo...|Och, drobiazgi, różności. To, tamto, owo. Naprawdę, oficerze, nie ma tu czym się martwić, bo...|Oh, drobiazgi, różne rzeczy. To, tamto, owo. Naprawdę, oficerze, nie ma się czym martwić tutaj, ponieważ...|Oh, drobiazgi, różne drobne rzeczy. To, tamto, owo. Naprawdę, panie oficerze, nie ma się czym przejmować tutaj, ponieważ...|- Małe rzeczy, drobiazgi. To, tamto, owo. Naprawdę, oficerze, nic, czym trzeba się martwić tutaj, ponieważ...|Novigrad Poor Man 03: Ach, drobiazgi, różne rzeczy. To, tamto, owo. Naprawdę, panie oficerze, nic, czym trzeba by się martwić tutaj, bo...
Geralt|To keep malicious forces at bay. You must watch they do not go out! Or else, it shall come!|Guslar|Evil.|Guslar|What'll come?|Co przyjdzie?|Co przyjdzie?|Co nadejdzie?|Co nadejdzie?|Zło.|Co przyjdzie?
Novigrad Boy 01|What happened, kid?|Geralt|Hel… Help.|Novigrad Boy 01|They… They…|Oni... Oni...|Oni... Oni...|Oni... Oni...|Oni... oni...|Pomóż.|Pomóż.
Novigrad Rich Woman 03|Will you see what specter haunts me? I've gold, it's no object, I'll spare no amount!|Novigrad Rich Woman 03|Here… A key to a treasure. There are three in all. Follow the hunters to find the other two. I… must flee. Now.|Novigrad Rich Woman 03|You must go now. I've no time for you, I must gather my things.|Idźcie już. Nie mam czasu, muszę się spakować.|Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.|Musisz teraz iść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.|Musisz teraz iść. Nie mam czasu dla ciebie, muszę spakować swoje rzeczy.|Musisz teraz odejść. Nie mam dla ciebie czasu, muszę spakować swoje rzeczy.|Musisz teraz ruszać. Nie mam dla ciebie czasu, muszę zebrać swoje rzeczy.
Geralt|See this sword? You know by its crafter's mark that it was forged in the isles. Belonged to Lars, who woulda been the same age as I.|Skellige Blacksmith Helper 02|His wife went missin' durin' a nasty storm. It was said the goddess smiled fondly on her, so Lars refused to believe she was truly dead.|Skellige Blacksmith Helper 02|What happened to him?|I co się z nim stało?|Co się z nim stało?|Co się z nim stało?|Co się z nim stało?|Co się z nim stało?|Jego żona zaginęła podczas paskudnej burzy. Mówiono, że bogini uśmiechnęła się do niej przychylnie, więc Lars nie chciał uwierzyć, że naprawdę umarła.
Troll_3|I need that man.|Geralt|I figure riddle.|Troll_2|No! We win human from Myrhyff!|Nie. Człowiek wygrany od Myrhyffa.|Nie! Zwyciężamy człowieka z Myrhyff!|Nie! Wygrywamy człowieka z Myrhyff!|Nie! Mamy człowieka z Myrhyff!|Nie! Wygraliśmy człowieka z Myrhyff!|Nie! Zwyciężamy człowieka z Myrhyff!
Verden Peasant 04|Spirit - speak! This time is yours! Tell us of your ghostly woes!|Guslar|Should I drive him away?|Geralt|Tis old man Ambros!|Kurwa, to stary Jamroz!|Ten stary człowiek to Ambroży!|To stary pan Ambroży!|To stary Ambroży!|To stary pan Ambroży!|To stary człowiek Ambros.
Temerian Woman 02|Well, he started twistin' and squirmin' so wham-bam - they knocked his head off!|Temerian Woman 01|What did the folk do?|Temerian Woman 03|Aye, so it were. 'Cept it was some drowner that had supped on the kid. Witcher had naught to do with it!|Tak było. Tyle że dzieciaka jakiś utopiec zeżarł i wiedźmak nic do tego nie miał!|Tak, tak było. Ale to był jakiś utopiec, który pożarł dziecko. Wiedźmin nie miał z tym nic wspólnego!|Tak było, ale to był jakiś topielec, który najadł się dziecka. Czarownica nie miała z tym nic wspólnego!|Tak było. Ale to był jakiś topielec, który najadł się dziecka. Wiedźmin nie miał z tym nic wspólnego!|- Ale to był raczej utopiec, który najadł się dziecka. Czarownica nie miała z tym nic wspólnego!|Ach, tak było. Tyle że to był jakiś utopiec, który pożarł dzieciaka. Wiedźmin nie miał z tym nic wspólnego!
Novigrad Traveler Woman 01|You try returning by sea, what with those accursed pirates…|Novigrad Traveler Woman 01|What're you…? What on earth are you doing?!|Novigrad Traveler Woman 01|You--! You boor!|Ty... ty chamie!|Ty --! Ty chamie!|Ty -! Ty chamie!|Ty chamie!|Ty chamie!|Ty chamie!
Geralt|Thanks for the advice, but… I can't take it.|Geralt|Heard enough from this whoreson.|Witch Hunter 01|All right. We've talked. Do what you gotta. Just remember… I can't help but get in your way.|Dosyć gadania. Róbcie co do was należy i pamiętajcie... Będę wam w tym przeszkadzał.|W porządku. Porozmawialiśmy. Rób, co musisz. Tylko pamiętaj... Nie mogę się powstrzymać, żeby ci nie przeszkodzić.|W porządku. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać od wchodzenia ci w drogę.|Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę się powstrzymać, by ci nie przeszkadzać.|Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę pozwolić, żebyś mi przeszkadzał.|Dobrze. Porozmawialiśmy. Rób co musisz. Tylko pamiętaj... Nie mogę pozwolić, żebyś się wtrącał.
Voorhis|Well, if Molly'll be there…|Geralt|This Baroness la Valette's villa?|Geralt|On our way, then.|No to w drogę.|W drogę więc.|W drodze, więc.|W drogę, więc.|W drogę.|W drogę.
Blacksmith Woman|Er, you know how it is, general. Good help's hard to come by. We should go outside, there's business to discuss…|Fergus Graem|Enough?|Geralt|It's always the same! I've had enough!|Zawsze to samo! Mam już tego dość!|Zawsze jest tak samo! Mam już dość!|To zawsze jest tak samo! Mam już dość!|To zawsze jest tak samo! Mam już dość!|- Wystarczy?|Zawsze jest tak samo! Mam już dość!
Dandelion|Polly and her half-brained fiancé - they're fighting. She's the only one in this town who knows anything about choreography… and that lummox won't let her work for me.|Dandelion|We were, but you didn't show. Priscilla started to worry, so I came to see how you were doing.|Geralt|Ho-ho-hold on - what're you doing here? We were gonna meet at the Rosemary.|Ale zaraz, właściwie co ty tu robisz? Mieliśmy się spotkać w Szałwii.|Ho-ho-holuj się - co ty tutaj robisz? Mieliśmy się spotkać przy Różanej.|Ho-ho-poczekaj - co tu robisz? Mieliśmy się spotkać w Różanej.|"""Ho-ho-poczekaj - co tu robisz? Mieliśmy się spotkać w Różanej."""|- Ho-ho-trzymaj się - co ty tutaj robisz? Mieliśmy się spotkać przy Różanej.|Przyszliśmy, ale ty się nie pojawiłeś. Priscilla zaczęła się martwić, więc przyszedłem sprawdzić, jak się masz.
Geralt|We have to talk to Vienne. Must've had enough to drink by now. Let's go.|Lambert|I intend to get even with the bastards who did it. Karadin most of all.|Lambert|What do you intend to do?|I co zamierzasz?|Co zamierzasz zrobić?|Co zamierzasz zrobić?|"""Co zamierzasz zrobić?"""|Co zamierzasz zrobić?|Co masz zamiar zrobić?
Eskel|"Someone starts by saying ""I've never…"" - and finishing the sentence however they want. Whosever done that thing, downs a shot. Then it's the next guy's turn."|Lambert|I've never… slept with a succubus.|Lambert|Sounds great. You start.|Brzmi dobrze... Zaczynaj.|Brzmi świetnie. Zaczynasz.|Brzmi świetnie. Zaczynasz.|Brzmi świetnie. Zaczynasz.|Brzmi świetnie. Zaczynasz.|Brzmi świetnie. Ty zaczynasz.
