speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prev|dialog_next
Novigrad Noblewoman 03|My husband will faint when he hears this…|Novigrad Noblewoman 03|Could you repeat that?|Novigrad Noblewoman 03|Will you sell that racing mare of yours?|Sprzedajecie tę swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?|Czy sprzedasz swoją klacz wyścigową?
Novigrad Old Man 03|You're to cut off me thumb for me own good?! Ye gone daft?|Novigrad Peasant 17|Can't hold a scythe either! Or a sickle! Or a hammer! You'll make a cripple o' me!|Novigrad Peasant 17|Radovid's army won't take ye. Man without a thumb can't hold a sword.|Bez kciuka miecza nie utrzymasz. To do wojska cię Radowid nie weźmie.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.|Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.
Geralt|True and blue, bred and born.|Skellige Merchant 01|"Ach, the ""Hemdall's Wrath,"" must be. Sailed out to raid the Continent's coast, must be a month, now. Never came back…"|Skellige Merchant 01|Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.|Chyba znalazłem coś, co należy do was. Ładunek z drakkaru, który rozbił się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.|Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.
Skellige Woman 02|Your betrothed is dead. An ekhidna captured and killed him.|Geralt|This won't bring him back, I know, but I avenged him, killed the beast.|Geralt|Nils…|Nils...|Nils...|Nils…
Skellige Priestess 01|This temple is for those who seek Freya's help in finding what they desperately seek. Perhaps even you shall experience her grace.|Skellige Priestess 01|Welcome to the Temple of Freya.|Skellige Priestess 01|Scorn her not! Or have you friends so powerful that you can afford to spurn divine aid?|Nie krzyw się! Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?|Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz pogardzić boską pomocą?|Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz sobie pozwolić na odrzucenie boskiej pomocy?
Geralt|Your beard. Why'd you decide to grow it out?|Yennefer|Hm.|Yennefer|Don't really know.|W zasadzie nie wiem.|Nie wiem dokładnie dlaczego.|Nie wiem naprawdę.
Geralt|Deep prints, blood… Just trying to get away.|Geralt|Fight happened here.|Geralt|Footprints and pawprints crisscross. Man and beast…|Ślady ludzkich stóp krzyżują się z odciskami łap potwora...|Ślady stóp i łap krzyżują się. Człowiek i bestia...|Ślady stóp i łap krzyżują się. Człowiek i bestia...
Halfling Man 01|Too late for that. We buried the poor fellow a few days back.|Halfling Man 01|Hm… Honeyfill's not been generating the revenues of old since the phantom appeared… Would you be willing to reduce your price?|Halfling Man 01|Ooooh, no, that is not an amount we can spare.|Ooo nie, nie, nie, nie, na tyle nie możemy sobie pozwolić.|Och, nie, to nie jest suma, którą możemy sobie pozwolić.|Och, nie, to nie jest suma, którą możemy sobie pozwolić.
Geralt|Ventured a bit too far, white-haired stray. But ye still got a chance to leave 'ere alive… if ye pay.|Skellige Bandit 01|Course. We're not bloody traders, not gonna haggle.|Skellige Bandit 01|Fine, I'll leave. Not about to pay anyone for the privilege, though.|A ja myślę, że wyjdę. I nikomu nie będę płacił.|Dobrze, odejdę. Nie zamierzam jednak płacić komukolwiek za ten przywilej.|Dobrze, odejdę. Nie zamierzam płacić nikomu za ten przywilej, jednak.
Nilfgaardian Imperial 01|I was told I'd be received first thing in the morning. And it's past noon!|Temerian Noble 01|Wha– What?! Do you know who you're talking to, soldier? I'm Herevard the Second, Prince of Ellander.|Temerian Noble 01|Calm yourself.|Spokój.|Uspokój się.|Uspokój się.
Novigrad Thug Strong 02|Old sow's farrowed piglets.|Geralt|Nope. Not the password.|Novigrad Thug Strong 02|Oh… Welcome to the grove, brother.|Witaj w naszym gaju, bracie.|Witaj w gaju, bracie.|Oh… Witaj w sadzie, bracie.
Geralt|Watch this. Arha'an lumar!|Philippa Eilhart|That means the Sunstone is here. Don't stand there looking stupid. Try to shift the mirrors.|Philippa Eilhart|Uh-huh.|No i co?|Hmm.|Hmm.
Yennefer|I found a corpse… not Craven's, though.|Geralt|Because… no bite marks on it… Doesn't seem strange to you?|Geralt|Aha. And you thought I'd find this interesting because…?|Mhm. I czemu uznałeś, że mnie to zainteresuje?|Aha. I myślałeś, że znajdę to interesujące, bo...?|Ach. I pomyślałeś, że uznam to za interesujące, ponieważ...?
Geralt|Because?|Dijkstra|Well, well, Merigold… Your coin stands to come with a side of revenge.|Dijkstra|Cause I already know who nabbed your treasure. Commander of the Temple Guard. Caleb Menge.|Bo wiem już, kto położył łapę na twoim skarbie. Szef straży świątynnej... Niejaki Kaleb Menge.|Bo już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.|Ponieważ już wiem, kto ukradł twój skarb. Dowódca Gwardii Świątynnej. Caleb Menge.
Geralt|Yennefer tried to teach her to cast simple spells, and Ciri destroyed a shed near the temple where they were. Really upset her, but it was just an old shed.|Geralt|Speak, please…|Dreamer Corine Tilly|I know it took her a while to gain control. And frankly, I doubt she controls her abilities fully to this day.|Wiem, że długo uczyła się kontrolować umiejętności, ale chyba dotąd nie panuje nad nimi w pełni.|Wiem, że zajęło jej trochę czasu, żeby odzyskać kontrolę. Szczerze mówiąc, wątpię, czy do dziś w pełni panuje nad swoimi umiejętnościami.|Wiem, że zajęło jej trochę czasu, aby odzyskać kontrolę. A szczerze mówiąc, wątpię, czy do dziś w pełni kontroluje swoje umiejętności.
Voorhis|I see no point in delaying this. Let's begin.|Voorhis|What a thrill! A beautiful victory!|Luiza La Valette|Nemrod - I fear I can choose no other.|Mój wybór nie może być inny – pojadę na Nemrodzie.|Nemrod - Obawiam się, że nie mogę wybrać innego.|Nemrod - Obawiam się, że nie mogę wybrać inaczej.
Geralt|It's definitely you. Hm, really captured you.|Geralt|Pfff. Very funny.|Cirilla|Sure Avallac'h's only interested in you for your magic abilities?|Jesteś pewna, że Avallac’h interesuje się tobą tylko z powodu twoich zdolności?|Czyżby Avallac'h był zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?|Czyżby Avallac'h był zainteresowany tobą tylko ze względu na twoje umiejętności magiczne?
