|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
0|Cirilla|When I learned Geralt had found you--|Dandelion|Where've you two been?|Zoltan Chivay|Glad you to see you in one piece, too, Dandelion.|Cieszę się, że też jesteś cały.|Cieszę się, że widzę cię całego i zdrowego, Dandelion.|Cieszę się, że widzę cię w jednym kawałku, też, Mleczu.
1|Geralt|The sharp one. C'mon, hurry up.|Eskel|Mean you don't know?|Eskel|Yen tell you why she wants this?|Yen wspomniała, po co jej to?|Czy Yen powiedział ci, dlaczego tego chce?|Yen powie ci, dlaczego tego chce?
2|Geralt|||Yeshhh?|Novigrad Rich Man 03|Greetings.|Witaj.|Witaj.|Pozdrowienia.
3|Witch Hunter 01|Gladly. Gotta warn you, though - you're not gonna have much fun.|Geralt|Another time, maybe.|Geralt|Rally to me!|Do mnie!|Ruszaj za mną!|Rajd do mnie!
4|Ermion|How's Cerys handling things?|Geralt|Everyone, Lugos excepted, declared their support for her. Yet the minute the imperial fleet appeared on the horizon, the jarl took matters into his own hands.|Ermion|Has the makings of an excellent queen, if she would only flee her father's shadow.|Byłaby świetną królową, gdyby udało jej się wyjść z cienia Cracha.|Ma potencjał, by stać się doskonałą królową, gdyby tylko uwolniła się od cienia swojego ojca.|Ma zadatki na wspaniałą królową, gdyby tylko uciekła od cienia swojego ojca.
5|Novigrad Guard 01|Then I chased the pansy all the way to the garden!|Novigrad Guard 03|No luck! Writhin' and slippery the bugger was, quick as a tomcat. Scrambled out the hole in the back wall.|Novigrad Guard 03|Did you catch 'im?|I co? Dopadłeś go?|Czy go złapałeś?|Złapałeś go?
6|Geralt|Deep cuts over the whole body. Not a drop of blood on the beak or claws.|Geralt|Oughta look around some more.|Geralt|Didn't defend herself. Crept up on her while she slept.|Nie broniła się. Musieli ją podejść, jak spała.|Nie broniła się. Podkradałem się do niej, gdy spała.|Nie broniła się. Podkradł się do niej, gdy spała.
7|Geralt|Sophronia could still be holding a grudge after our unfortunate… parting. But, with a touch of help from you, I know she'll forgive me. And then give me that loan.|Dandelion|First of all, we need to borrow a dull sword from Madame Irina - one of her props. You know, the kind they use during performances?|Dandelion|What's this help entail?|A ta pomoc ma polegać na...?|Co ta pomoc ma obejmować?|"Co to oznacza ""jakie jest znaczenie tej pomocy?"""
8|Novigrad Citizen Woman 01|Hmm… 'spose, in that case…|Novigrad Thug Strong 01|It's settled, then! See you at the Rosemary, Polly.|Dandelion|I knew you'd agree!|Wiedziałam, że się zgodzisz!|Wiedziałam, że się zgodzisz!|Wiedziałem, że się zgodzisz!
9|Geralt|||And just who the hell're you?|Skellige Berserker 05|I'm looking for Jad Karadin.|Szukam Bertrama Taulera.|Szukam Jad Karadina.|Szukam Jad Karadina.
10|Temerian Woman 03|Maybe…|Temerian Woman 03|Who knows what the morrow will bring?|Temerian Woman 03|Good health - to you and me both.|Zdrowia. Tobie i sobie życzę.|Dobre zdrowie - dla ciebie i dla mnie obojga.|Dobre zdrowie - dla ciebie i dla mnie obojga.
11|Eskel|What about the vampire?|Geralt|Hm… A fairy tale on gluttony for modern times.|Yennefer|I'd made a deal with this young alchemist. She really loaded up - fisstech, vodka, magic mushrooms. Went out into the garden, vampire found her and drank his fill. Fight was an afterthought.|Dogadałem się z taką młodą alchemiczką... Nabombiła się fisstechem, wódką i grzybkami, po czym poszła do ogrodu. Wampir ją tam znalazł, napił się... No i walka była tylko formalnością.|Zawarłem umowę z tą młodą alchemiczką. Naprawdę się obładowała - fisstech, wódka, grzyby halucynogenne. Wyszła do ogrodu, wampir ją znalazł i napił się do syta. Walka była dodatkiem.|Zawarłem umowę z tym młodym alchemikiem. Naprawdę się obciążyła - fisstech, wódka, grzyby halucynogenne. Wyszła do ogrodu, wampir ją znalazł i napił się do syta. Walka była po namyśle.
12|Geralt|To start with, tell me a memory you have of this woman.|Dreamer Corine Tilly|Do as I ask, please. I need the strongest, most complete memory you have of…|Dreamer Corine Tilly|What for?|Czemu to ma służyć?|Po co to?|Po co?
13|Skellige Druid 02|Thanks, witcher. I owe ye me life.|Skellige Old Man 01|That's too bad. Unusual biotope here. Never seen most of these plants. Bet they have amazing properties, too.|Geralt|Don't sell herbs.|Nie handluję ziołami.|Nie sprzedawaj ziół.|Nie sprzedawaj ziół.
14|Caranthir|{Raenn. } [Go.]|Caranthir|What is this?!|Keira Metz|Shaent tah'vir!|Shaent tah’vir!|Co to jest?!|"Nie mogę znaleźć konkretnego tłumaczenia ""Shaent tah'vir!"" w języku polskim. To zdanie wydaje się być fikcyjne lub może pochodzić z innego języka niż angielski. Jeśli to jest błąd ortograficzny lub literówka, proszę o poprawienie oryginalnego tekstu.

Jeśli jednak chodziło Ci o przetłumaczenie czegoś innego, proszę podaj dokładną treść do przetłumaczenia."
15|Geralt|||||Ghouls dug them up.|A ghule je odkopały.|Ghoule je wykopały.|Ghule je wykopały.
16|Novigrad Scribe 02|||But I've coin aplenty!|Novigrad Citizen Man 01|No strong cards, no gold king - shan't be entering, shall we? Do we not know the rules?|Nie ma silnych kart, nie ma złotego króla – nie wejdzie. Nie zna zasad?|Nie mam silnych kart, nie ma króla złota - nie będę wchodził, prawda? Czyżbyśmy nie znali zasad?|Bez silnych kart, bez złotego króla - nie będziemy wchodzić, prawda? Czyżbyśmy nie znali zasad?
17|Geralt|||||Bear! Bear! Run, you stupid piece of shit!|Niedźwiedź! Uciekaj, głupi zwierzaku!|Niedźwiedź! Niedźwiedź! Uciekaj, ty głupi kawałku gówna!|Niedźwiedź! Niedźwiedź! Uciekaj, ty głupia kupo gówna!
18|Geralt|||||A shrine dedicated to the Crones. The tome says the Trail of Treats starts here.|Kapliczka poświęcona wiedźmom. Według księgi to początek Słodkiej Ścieżki.|Kapliczka poświęcona Kikimorom. Księga mówi, że Szlak Łakoci zaczyna się tutaj.|Kapliczka poświęcona Krukom. Księga mówi, że Szlak Słodyczy zaczyna się tutaj.
19|Baron Bandit Weak 03|It's all. I swear on me poor nipper's grave, sir.|Verden Peasant 03|Thank you kindly…|Verden Peasant 03|Here. Eat up.|Macie tu. Nażreć się.|Tutaj. Jedz.|Tu. Jedz.
20|Geralt|Geralt… That's enough, hm?|Yennefer|I'm sure you did. We'll say you won.|Yennefer|Fine. Still had a few good ones at the tip of my tongue.|No dobrze. Chociaż miałem jeszcze parę przysłów w zanadrzu.|Dobrze. Nadal miałem kilka dobrych na końcu języka.|Dobrze. Nadal miałem kilka dobrych na końcu języka.
21|Novigrad Citizen Woman 24|Mhmmm….|Novigrad Citizen Woman 24|Thank you, master! Who would've thought it was Rejk…|Novigrad Citizen Woman 24|Eternal Fire be with you.|Wieczny Ogień z tobą.|Ogień Wieczny niech będzie z tobą.|Nieśmiertelny ogień bądź z tobą.
22|Yennefer|||Hide in the hollow on the other side. Go!|Geralt|Dammit… That ship's about to disintegrate!|Cholera... Ten statek zaraz pójdzie w drzazgi!|Cholera... Ten statek zaraz się rozpadnie!|Cholera... Ten statek zaraz się rozpadnie!
23|Novigrad Poor Man 24|Eh eh?|Novigrad Poor Man 24|Got a big dump brewin'…|Novigrad Poor Man 24|Curdled codfish.|Kurcze flak.|Zsiadłe mleko dorsza.|Zsiadły dorsz.
24|Skellige Druid 03|Heard of Zerrikania? *Cough cough* You know their cure for all that ails ye? They prick you full of needles! *Cough*|Skellige Druid 03|Perchance a tea of zireael extract would help her?|Skellige Druid 03|All right, I'll take your word for it.|No dobra, niech będzie ża dam ci w to wiarę.|Dobrze, uwierzę ci na słowo.|Dobrze, uwierzę ci na słowo.
25|Letho|So I decided it was time to end it. Once and for all.|Letho|What if he'd crossed you? Like Louis?|Geralt|Found Vester's gang and paid off his arbalist. You just witnessed the rest of the story.|Dotarłem do bandy Vestera i przekupiłem kusznika. Resztę historii znasz.|Znalazłem gang Vestera i opłaciłem jego kusznika. Właśnie byłeś świadkiem reszty historii.|Znalazłem gang Vestera i zapłaciłem jego arbalistowi. Właśnie to widziałeś w reszcie historii.
26|Geralt|||||Done playing nice!|Żarty się skończyły!|Koniec udawania miłego!|Gra skończona! Miło było!
27|Donar An Hindar|Calm down! Calm down! Enough blood's been spilt!|Donar An Hindar|But we can, we must, avenge them. This burden falls upon the host - and his offspring.|Donar An Hindar|Someone brought these beasts here to murder our sons and brothers. We cannot restore their lives.|Ktoś tu ściągnął te niedźwiedzie, żeby zamordowały naszych synów i braci. Nie zwrócimy im życia...|Ktoś sprowadził te bestie tu, by zamordować naszych synów i braci. Nie możemy przywrócić im życia.|Ktoś przyniósł te bestie tutaj, aby zamordować naszych synów i braci. Nie możemy przywrócić im życia.
28|Scoiatael Dwarf 01|We must stick together.|Scoiatael Dwarf 01|Me guts're near twisted from hunger.|Scoiatael Dwarf 01|Aaaaargh…|Ech...|Aaaaaargh...|Aaaaargh…
29|Keira Metz|Where?|Keira Metz|No. To talk.|Geralt|Hope you didn't come to gawk.|Chyba nie przyszedłeś, żeby podglądać?|Mam nadzieję, że nie przyszliście się gapić.|Mam nadzieję, że nie przyszedłeś się gapić.
30|Geralt|||||No uniform, no boots. Clearly not a Nilfgaardian soldier.|Ten nie ma na sobie munduru ani butów. To raczej nie był nilfgaardzki żołnierz.|Bez munduru, bez butów. Na pewno nie jest to żołnierz nilfgaardzki.|Bez munduru, bez butów. Wyraźnie nie jest to żołnierz nilfgaardzki.
31|Irina Renarde|These performances bring in much coin?|Geralt|Of course, we shall pay you a fee as well. You're a member of the ensemble now.|Irina Renarde|Well, it varies. On good days the square is barely capable of accommodating everyone, other times we're lucky to earn a handful of coppers.|No cóż, różnie bywa. Jeśli trafimy we właściwy moment, ludzie prawie nie mieszczą się na placu, ale czasem cały urobek to garść miedziaków.|Cóż, różnie bywa. W dobre dni plac ledwo mieści wszystkich chętnych, innym razem szczęśliwi jesteśmy, jeśli uzbieramy garść miedziaków.|Cóż, to się zmienia. W dobre dni plac ledwo mieści wszystkich, innym razem mamy szczęście zarobić garść miedziaków.
32|Geralt|All right. But next time remember to bring the tarts for Junior through the back, by way of the old canal. Go through there.|Novigrad Thug Strong 02|Tut-tut - you people, honestly. Got nerve comin' to the front door. You're brazen, it ain't right.|Novigrad Thug Strong 02|Thanks, I'll keep it in mind.|Dzięki, będę pamiętał.|Dzięki, wezmę to pod uwagę.|Dziękuję, wezmę to pod uwagę.
