speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Lambert|Ha, ha.|Lambert|What'd you expect? Scent of violets?|Geralt|Oof, place reeks of mould…|Ale tu cuchnie grzybem.|Oof, to miejsce cuchnie pleśnią...|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Uff, to miejsce cuchnie pleśnią...
Keira Metz|A plague can go wrong, go wild. A sword won't. That's the difference.|Geralt|See this? Bedbugs, Geralt. Bloody bedbugs! I, Keira Metz, advisor to Foltest and member of the Lodge of Sorceresses, have bedbugs!|Keira Metz|Shut up for a moment and look at me.|Zamknij się na moment i popatrz na mnie.|Zamknij się na chwilę i spójrz na mnie.|Zamknij się na chwilę i spójrz na mnie.|Zamilcz na chwilę i spójrz na mnie.
Geralt|Show me what you got.|Geralt|Course I do. Vizima or Mahakam this ain't, but I'm as good a smith as any.|Dwarf Man 02|Greetings. Got anything in stock besides hoes and horseshoes?|Witaj. Masz na sprzedaż coś poza podkowami i motykami?|Witaj. Masz coś w sprzedaży poza motykami i podkowami?|Witaj. Masz coś w sprzedaży poza motykami i podkowami?|Dzień dobry. Czy macie coś w magazynie oprócz motyk i podków?
Novigrad Refugee Woman 03|Oh no.|Novigrad Refugee Woman 03|Eh, swine.|Novigrad Refugee Woman 03|Where're my young'uns?! Aaargh!|Gdzie moje dzieci?! Aaaa!|Gdzie są moje dzieciaki?! Aaargh!|Gdzie są moje dzieciaki?! Aaargh!|Gdzie są moje maluchy?! Aaargh!
Geralt|As have I. Neither is to leave here alive.|Novigrad Rich Man 01|I paid in advance because I knew I'd recover my coin.|Novigrad Rich Man 01|If these boys are here to help us kill rats, they're late. You paid up front and got what you paid for. Not half a rodent left in the granary.|Jeżeli przyprowadziłeś tych panów, żeby nam pomogli tępić szczury, to się spóźnili. Zapłaciłeś z góry i nie zawiedziesz się. W magazynie nie ma ani pół gryzonia.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Jeśli ci chłopcy mają tu pomóc nam pozabijać szczury, to spóźnili się o dobrych parę godzin. Zapłaciłeś z góry i dostałeś za co płaciłeś. W spichlerzu nie został nawet jeden szczur.|Jeśli ci chłopcy są tu po to, aby pomóc nam zabić szczury, spóźnili się. Zapłaciłeś z góry i dostałeś to, za co zapłaciłeś. Nie została nawet połowa szczura w spichlerzu.
Philippa Eilhart|So she's not told you anything? What about personal plans?|Philippa Eilhart|Stay away from Ciri.|Geralt|Has she mentioned anything? A possible advisory position? Beside a young, promising empress?|Czyżby chciała w swoim czasie zostać doradczynią młodej, obiecującej cesarzowej?|Czy wspominała o czymś? Możliwe stanowisko doradcy? Przy młodej, obiecującej cesarzowej?|Czy wspominała o czymś? Możliwe stanowisko doradcy? Obok młodej, obiecującej cesarzowej?|Czy wspomniała o czymkolwiek? Możliwe stanowisko doradcze? Oprócz młodej, obiecującej cesarzowej?
Skellige Hunter 02|Same thing each time - snares sprung, earth trampled, blood, bits o' flesh… But no game in sight.|Skellige Hunter 03|Oh, I have. On Faroe. Turned out an old bear had taught itself to check the traps, pick 'em clean.|Skellige Hunter 01|Strange. Never heard of anythin' similar.|Dziwne. Nigdy o czymś takim nie słyszałem.|To samo za każdym razem - sidła wystrzelone, stratowana ziemia, krew, strzępy mięsa… Ale żadnej zwierzyny na widoku.|To samo za każdym razem - sidła pękają, ziemia stratowana, krew, strzępy mięsa… Ale żadnej zwierzyny w zasięgu wzroku.|Dziwne. Nigdy nie słyszałem o niczym podobnym.
Novigrad Rich Man 02|What'd it swipe from you?|Geralt|Greetings, master.|Novigrad Rich Man 02|Once it was bread, then a fish, then apples… Might not seem like much, but add it together and the business suffers! And I'm hardly alone in being pestered. It's nicked something from every stand in the square!|Raz chleb, raz rybę, to znowu jabłka. No niby nic... Ale ziarnko do ziarnka i interes zaczyna przynosić straty! Zresztą, nie tylko mnie nachodzi, o nie, z każdego stoiska już coś zwinął!|Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedyny, którego to spotyka. Ukradło coś z każdego straganu na placu!|Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedyny, którego to spotyka. Ukradło coś z każdego straganu na placu!|Raz to był chleb, potem ryba, potem jabłka... Może się wydawać, że to niewiele, ale zsumuj to wszystko, a interes cierpi! I nie jestem jedyny, którego to dręczy. Ukradło coś z każdego straganu na placu!
Lambert|They always know where I teleport to, and they move from place to place in an instant.|Cirilla|If they're dispersed out in the woods, we could hunt down small groups of riders.|Lambert|So what's our plan?|Więc jaki jest plan?|Jaki jest nasz plan?|Co w takim razie robimy?|No to jaki jest nasz plan?
Geralt|How the hell did you know about it?|Skellige Guard 04|Bramblin'! More like Simun Loose-lip. Ah, fine, come with me.|Skellige Guard 04|From Simun Brambling. He promised to forget if you take me to see the jarl.|Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.|Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.|Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.|Od Simuna Bramblinga. Obiecał zapomnieć, jeśli zabierzesz mnie do jarla.
