speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Triss|Have you lost your mind?! You went after Imlerith by yourselves?! To the sabbath?!|Triss|Come on, we came out of it fine. Can't say the same for Imlerith.|Geralt|How could you put Ciri in danger?!|Jak mogłeś tak narażać Ciri?!|Jak mogłeś narazić Ciri na niebezpieczeństwo?!
Eskel|Put it to you this way… If Yen can't help Uma, we can always go to Triss - she won't hold it against us. But if we'd done it the other way around…|Geralt|Exactly. Enough of this talk. Let's go.|Geralt|Oof… There'd be hell to pay.|Uuuu... Działoby się.|Ale byłoby piekło.
Geralt|Perhaps… But it wasn't you I was to meet, sir.|Novigrad Poor Man 03|Caution would advise--|Novigrad Poor Man 03|Wanna talk to the letter's recipient, I gotta be present.|Jeśli chcesz porozmawiać z adresatką listu, to tylko w moim towarzystwie.|Chcesz porozmawiać z adresatem listu, muszę być obecny.
Witch Hunter 03|Fare thee well!|Witch Hunter 01|But I was crippled as a lad. Fell beneath a cart. Wheel snapped me spine…|Novigrad Beggar 01|A'right, your turn. Unless you can stand up for us.|No, teraz twoja kolej. Chyba że wstaniesz.|Dobrze, twoja kolej. Chyba że możesz stanąć za nas.
Ermion|Lad's developed quite a taste for heroic adventures. Left ruling the Isles to his father.|Ermion|And Cerys?|Geralt|Quite fortunate, in fact, as now, on the eve of war, we need a more experienced leader.|Zresztą teraz, w obliczu wojny, potrzebujemy bardziej doświadczonego przywódcy.|Cóż za szczęśliwy zbieg okoliczności, ponieważ teraz, w przededniu wojny, potrzebujemy bardziej doświadczonego przywódcy.
Edna Var Attre|||Uh, sorry to sneak in, miss. I'm Geralt, a friend of the bard Dandelion…|Geralt|Who are you? Why are you here? Answer this instant or I'll summon the guards!|Kim jesteś? Co tu robisz? Odpowiadaj natychmiast, bo wezwę straż!|Kim jesteś? Po co tu jesteś? Odpowiadaj natychmiast albo wezwę strażników!
Vesemir|A stream, amber waves of grain… charming place. Perfect for an ambush.|Geralt|So, ready?|Vesemir|I know how to choose 'em.|Innego bym nie wybrał.|Wiem jak je wybierać.
Geralt|We can borrow the coin from her.|Dandelion|You always say that! If you change your mind, I'll be here.|Dandelion|Sorry, Dandelion. Maybe later.|Wybacz, może innym razem.|Przepraszam, Dandelion. Może później.
Dandelion|Well, I'm off!|Novigrad Citizen Woman 01|Phew, never expected that to go so well.|Dandelion|I'll catch up to you.|Dogonię cię.|Dogonię cię.
Skellige Berserker 05|C'mon! What ye waitin' for? Kill the fucker!|Skellige Berserker 05|Don't mind me.|Geralt|Gods of the sea, I've never begrudged ye no gifts. Grant me another victory, so I can make ye another offerin' of me loot.|Bogowie morza, nigdy nie skąpiłem wam darów. Dajcie mi kolejne zwycięstwo, bym mógł wam złożyć jeszcze jedną ofiarę z łupów.|Bogowie morza, nigdy nie żałowałem ci darów. Daj mi kolejne zwycięstwo, abym mógł złożyć ci kolejną ofiarę z moich łupów.
Temerian Woman 03|Who knows what the morrow will bring?|Temerian Woman 03|We'll eat myrtle grass during the hungry gap. They've taken all our grain.|Temerian Woman 03|I don't like you, White One.|Nie podobasz mi się, białowłosy.|Nie lubię cię, Biała Jedynko.
Eskel|Mixing work and romance? Bad idea. Vampire coulda caught you with your pants down.|Geralt|Hahaha, maybe you should wear a mask permanently.|Lambert|Suppose so. But you look the way I do, you gotta grab every chance you can get.|Niby tak... Ale z moją aparycją trzeba korzystać z każdej okazji.|Może tak. Ale jeśli wyglądasz tak jak ja, musisz chwytać każdą okazję, jaka się nadarzy.
Dreamer Corine Tilly|Make yourself comfortable and try to relax.|Dreamer Corine Tilly|Mhm… If Ciri couldn't find me, I'm sure she would've looked for another friend.|Geralt|You must take my hand and talk of Ciri. Tell me where you think she might be, who could be at her side.|Weźmiesz mnie za rękę i będziesz opowiadał o Ciri. Mów, gdzie według ciebie może być, jakich ma przyjaciół.|Musisz wziąć moją rękę i mówić o Ciri. Powiedz mi, gdzie myślisz, że ona może być, kto może być u jej boku.
Skellige Druid 02|That's too bad. Unusual biotope here. Never seen most of these plants. Bet they have amazing properties, too.|Geralt|I do.|Geralt|You know plants?|Znasz się na roślinach?|Czy znasz rośliny?
Keira Metz|Can you seal those cracks it's blowing through?!|Geralt|Stand at my side!|Keira Metz|They're too far! We must get closer! I shall shield us with Demetia Crest's Surge!|Za daleko! Musimy do nich podejść. Osłonię nas Kipielą Demetii Crest!|Musimy podejść bliżej! Ochronię nas mocą Demetii Crest.
Geralt|Found your soldiers. Meaning, their bodies.|Geralt|A wyvern? Bloede pest.|Nilfgaardian Officer 01|Female wyvern killed them. They wandered into her hunting ground.|Zabiła ich samica wiwerny, bo weszli na jej terytorium łowieckie.|Samica wywerna ich zabiła. Wędrowali przez jej teren łowiecki.
Novigrad Scribe 02|We can.|Geralt|Geralt of Rivia.|Geralt|Well, let's have a name, then, and we shall issue an entry ticket.|No dobrze. Niech poda imię, to dostanie bilet wstępu.|No to miejmy imię, a potem wydamy bilet wstępu.
Geralt|||Open up. It's safe now.|Geralt|Hey! Anybody home?|Halo, jest tam kto?|Cześć! Jest tu ktoś?
Geralt|||||I'm on the right path.|Jestem na dobrej drodze.|Jestem na właściwej ścieżce.
Baron Bandit Weak 03|Won't be no use to anyone if you starve to death.|Baron Bandit Weak 03|What on earth… What've you done to our boys?!|Baron Bandit Weak 03|Some white-haired freak… Cut down our boys like he was cuttin' pigs!|Jakiś białowłosy cudak wyrżnął naszych jak wieprze!|Jakiś siwowłosy dziwak... Zabił naszych chłopców, jakby rzezał świnie!
Yennefer|I found a corpse… not Craven's, though.|Geralt|Because… no bite marks on it… Doesn't seem strange to you?|Geralt|Aha. And you thought I'd find this interesting because…?|Mhm. I czemu uznałeś, że mnie to zainteresuje?|Aha. A ty myślałeś, że to mnie zainteresuje, bo...?
Novigrad Citizen Woman 25|Thank you, master! Who would've thought it was Rejk…|Novigrad Citizen Woman 24|By the Prophet's wounds… a witcher!|Novigrad Citizen Woman 25|I'm but a poor little woman!|Ja biedna kobiecina jestem!|Jestem tylko biedną małą kobietką!
Geralt|||This is not Ragh nar Roog… Not yet. The Conjunction is just beginning.|Yennefer|And giants shall face giants in battle… Just like the ballads.|„I giganci staną przeciw sobie”... Jak w balladach.|I olbrzymy staną naprzeciw olbrzymów w bitwie... Tak jak w balladach.
Novigrad Poor Man 24|Got a big dump brewin'…|Novigrad Poor Man 24|Eh?|Novigrad Poor Man 25|You must make more as a mummer than you do witcherin', eh?|Jako aktor chyba wińcej pieniędzy zgarniasz, niż jako wiedźmin?|Musisz zarabiać więcej jako mim, niż jako wiedźmin, co nie?
Skellige Druid 03|Hemdall only knows.|Skellige Druid 03|Akh akh akh akh.|Skellige Druid 03|Greetings.|Witajcie.|Pozdrowienia.
Geralt|Found Vester's gang and paid off his arbalist. You just witnessed the rest of the story.|Letho|With your friends from the School of the Wolf? Hah. No, thanks, could end badly.|Letho|Hmm… You could wait things out at Kaer Morhen.|Hmm... Możesz przeczekać w Kaer Morhen.|Hmm… Mógłbyś przeczekać to wszystko w Kaer Morhen.
Geralt|Wimp!|Cirilla|Hahaha, come and get me!|Cirilla|We'll see about that!|Jeszcze zobaczymy!|Zobaczymy co z tym zrobimy!
Crach|I'll stay here. Someone must see to everything - summon the healer, hand the fallen over to their families.|Crach|||Wolf… I thank you.|Wilku... Dziękuję.|Wilku... Dziękuję ci.
Scoiatael Dwarf 01|Roamed the forests of Kaedwen, Vergen, and now the mouth of the Pontar. Wonder what's next.|Scoiatael Dwarf 01|Wanna whiff of me axe?|Scoiatael Dwarf 01|Fuckin' shit!|Kurwa żesz!|Cholerna kupa gówna!
Geralt|You just witnessed why. To communicate with lost souls.|Keira Metz|There's nothing wrong with it.|Keira Metz|Didn't know you were interested in that kind of magic.|Nie wiedziałem, że interesuje cię ten rodzaj magii.|Nie wiedziałem, że interesujesz się taką magią.
Geralt|||||Massacred body, bare feet. Another prisoner.|Zmasakrowane ciało, bose stopy. Kolejny jeniec.|Zmasakrowane ciało, bose stopy. Kolejny więzień.
Geralt|Taken care of. They'll be here for the performance.|Geralt|Naturally, but what can we possibly do…?|Irina Renarde|See you later.|Do zobaczenia.|Do zobaczenia później.
Novigrad Thug Strong 02|Right cheeky whoreson if I seen one.|Novigrad Thug Strong 01|Now, let me show you how we dealt with them.|Novigrad Thug Strong 02|You're not the first to try the old walk on through…|Byli już tacy, co próbowali na bezczelnego.|Nie jesteś pierwszym, który próbuje starego przejścia...
Temerian Woman 01|We must've missed each other. I studied to become a healer under Mother Nenneke.|Temerian Woman 01|There was a boy - Goslav. He'd bare his chest to work. The novices couldn't keep their eyes off him - tripped over their own feet, dropped things. I left the temple for him. We passed a lovely summer together, and then he left.|Temerian Woman 01|Hm… I was but eighteen when they took me in. An age at which teachings interest one far less than love.|Ale... Miałam osiemnaście lat, jak mnie przyjęli. A wtedy nie nauki ma się w głowie, tylko miłość.|Hm... Miałam osiemnaście lat, kiedy mnie przyjęli. Wiek, w którym nauki interesują znacznie mniej niż miłość.
Fergus Graem|Don't listen to her. She's been sore lately, snortin' every chance she gets.|Fergus Graem|Light but durable. Can't constrain movement, and I gotta be able to get in it without anybody's help.|Geralt|So, what kind of armor are we talkin' about?|No, to co to ma być za pancerz?|No więc, o jakiej zbroi mowa?
Verden Girl 02|Look familiar?|Geralt|Ciri's room.|Geralt|My top! Where'd you find it?|O ja! Mój bączek! Skąd go masz?|Moja bluzka! Gdzie ją znalazłeś?
Nilfgaardian Officer 01|||||You have grown lazy, shit-heels, drinking your Temerian wheat beer!|Rozleniwiliście się, gamonie, przy temerskim pszenicznym!|Staliście się leniwi, gówniane podeszwy, popijając swoje temerskie piwo pszeniczne!
Triss|Everything all right?|Geralt|Need to clean your wounds. Infection'll set in otherwise.|Geralt|A few bites on my feet and calves. Nothing, really.|Mam pokąsane stopy i łydki. Ale to nic.|Kilka ugryzień na stopach i łydkach. Nic takiego.
Triss|Don't worry about that. He'll fit right in with a good number of the other mages.|Geralt|Let's go find him.|Triss|Geralt!|Geralt!|Geralt!
Lady Bran|||||I've no time for you.|Nie mam dla ciebie czasu.|Nie mam dla ciebie czasu.
Skellige Druid 04|Sure, I'll help. Provided you go see Gremist afterwards.|Geralt|Yes, Geralt?|Skellige Druid 04|Agreed. Now follow me. Time for a little storm.|No, to przybijmy targu. A teraz chodź ze mną – pora na małą burzę.|Umowa stoi. Teraz za mną chodź. Czas na małą burzę.
Geralt|Everything's ready at my end.|Lambert|No. Booze. From potato peels.|Lambert|What's this? Brewing potions?|Co tam? Warzysz jakieś eliksiry?|Co to ma być? Warzenie mikstur?
Yennefer|I must unwind. I'll go for a walk.|Cirilla|What're you talking about?|Geralt|Foot in mouth, as usual.|Jak zwykle coś palniesz.|Stopa w ustach, jak zwykle.
Geralt|What do you want now? I've taught you all I know.|Gremista|I do. But it's expensive.|Gremista|Got anything to sell?|Masz coś na sprzedaż?|Czy masz coś na sprzedaż?
Geralt|Yes, luck stood with you! B-but the next time we meet…|Redanian Soldier 01|You so sure o' that?|Redanian Soldier 01|Challenge me again - raise your hand, draw your sword, look at me the wrong way… and I'll kill you.|Jeżeli jeszcze raz rzucisz mi wyzwanie, podniesiesz na mnie rękę, wyciągniesz miecz lub choćby krzywo spojrzysz... Zabiję cię.|Wyzwij mnie ponownie - unieś rękę, dobyj miecza, spójrz na mnie krzywo... i cię zabiję.
Novigrad Prostitute 01|Pff. Tryin' to impress me with that… sword?|Novigrad Prostitute 01|Give me strength…|Novigrad Prostitute 01|Don't kill me!|Nie zabijajcie!|Nie zabijaj mnie!
Philippa Eilhart|||||Keep looking. It must be here.|Szukaj dalej. Musi gdzieś tu być.|Kontynuuj poszukiwania. Musi tu być.
Zoltan Chivay|Too suspicious. Think about it - Menge disappears, then shows up with a scar on his face to release Dandelion?|Geralt|Priscilla? What're you doing here?|Geralt|Ehh, I suppose you're right.|No, może i racja.|Eh, chyba masz rację.
Yennefer|I'll come back - with Ciri.|Geralt|Agored, teirgane agored!|Yennefer|I know.|Wiem.|Wiem.
