en_text,pl_text,default,dialog,dialog2,dialog3,dialog4,chrf_default,bleu_default,bertscore_default,comet_default,chrf_dialog,bleu_dialog,bertscore_dialog,comet_dialog,chrf_dialog2,bleu_dialog2,bertscore_dialog2,comet_dialog2,chrf_dialog3,bleu_dialog3,bertscore_dialog3,comet_dialog3,chrf_dialog4,bleu_dialog4,bertscore_dialog4,comet_dialog4
Will you sell that racing mare of yours?,Sprzedajecie tę swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532088041305542,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094
Radovid's army won't take ye. Man without a thumb can't hold a sword.,Bez kciuka miecza nie utrzymasz. To do wojska cię Radowid nie weźmie.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie utrzyma miecza.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,"Radovid's army won't take ye. Man without a thumb can't hold a sword.

Tłumaczenie:
Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.",0.547777714999677,0.04576989215762564,0.8177210688591003,0.7506208419799805,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089,0.4512088241224455,0.019320990745681776,0.6957947015762329,0.5792254209518433
Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.,"Chyba znalazłem coś, co należy do was. Ładunek z drakkaru, który rozbił się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek ze statku długiego, który rozbił się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiego statku, który rozbił się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.",0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563,0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563,0.6758836315271388,0.35597394633234813,0.8761659860610962,0.7670022249221802,0.6964790896991193,0.37230919026016435,0.8809795379638672,0.7960694432258606,0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563
Nils…,Nils...,Nils...,Nils…,Nils…,"Nils...

To wszystko. Tłumaczenie samej drugiej wypowiedzi:

""Nils...""",Nils...,1.0,0.1778279410038923,1.0000001192092896,0.9890646934509277,0.2975502058052501,0.0,0.731819748878479,0.9890646934509277,0.2975502058052501,0.0,0.731819748878479,0.9890646934509277,0.4374243652636529,0.02777619034011792,0.6950193643569946,0.5862885117530823,1.0,0.1778279410038923,1.0000001192092896,0.9890646934509277
Scorn her not! Or have you friends so powerful that you can afford to spurn divine aid?,"Nie krzyw się! Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?","Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?","Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?","Nie gardź nią! Czyżbyś miał tak potężnych przyjaciół, że możesz pozwolić sobie na odrzucenie boskiej pomocy?","- Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz odrzucić boską pomoc?","Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz odrzucić boską pomoc?",0.5479796414700269,0.24911471129155036,0.8781453371047974,0.8703714609146118,0.5462102645189312,0.24911471129155036,0.8783187866210938,0.8498142957687378,0.6267300705611295,0.27695832399954284,0.929796576499939,0.8803855776786804,0.4361784439114977,0.2245774725976927,0.8308383822441101,0.8261234164237976,0.43666909992899083,0.2225011350459379,0.8397045135498047,0.8154805302619934
Don't really know.,W zasadzie nie wiem.,Nie wiem naprawdę.,Nie wiem dokładnie.,Nie wiem dokładnie.,Nie wiem dokładnie dlaczego.,Nie wiem dokładnie dlaczego.,0.28145151164554194,0.0,0.7404352426528931,0.9520319104194641,0.33178014795661853,0.0,0.8020395636558533,0.9409046173095703,0.33178014795661853,0.0,0.8020395636558533,0.9409046173095703,0.3341530442100297,0.0,0.7889849543571472,0.9003228545188904,0.3341530442100297,0.0,0.7889849543571472,0.9003228545188904
Footprints and pawprints crisscross. Man and beast…,Ślady ludzkich stóp krzyżują się z odciskami łap potwora...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,Ślady stóp i łap krzyżują się. Człowiek i bestia…,Ślady stóp i łap krzyżują się. Człowiek i bestia...,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024,0.35182495544214193,0.03391326091030751,0.7669035196304321,0.8364742398262024,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024
"Ooooh, no, that is not an amount we can spare.","Ooo nie, nie, nie, nie, na tyle nie możemy sobie pozwolić.","Och, nie, to nie jest kwota, którą możemy sobie pozwolić.","Och, nie, to nie jest kwota, którą możemy sobie pozwolić.","Och, nie, to nie jest kwota, którą możemy sobie pozwolić.","Och, nie, to nie jest kwota, którą możemy sobie pozwolić.","Niestety, ta kwota znacznie przekracza nasze możliwości finansowe.",0.49366724102312914,0.1073897713503587,0.8387230634689331,0.8115193247795105,0.49366724102312914,0.1073897713503587,0.8387230634689331,0.8115193247795105,0.49366724102312914,0.1073897713503587,0.8387230634689331,0.8115193247795105,0.49366724102312914,0.1073897713503587,0.8387230634689331,0.8115193247795105,0.16797151239454042,0.0,0.6539921164512634,0.5778636932373047
"Fine, I'll leave. Not about to pay anyone for the privilege, though.","A ja myślę, że wyjdę. I nikomu nie będę płacił.","Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej.","Dobrze, odejdę. Nie zamierzam jednak płacić nikomu za ten przywilej.","Dobrze, odejdę. Nie mam zamiaru płacić nikomu za ten przywilej.","Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej wyjścia stąd żywym.","Dobrze, odejdę. Nie mam zamiaru płacić nikomu za przywilej odejścia, ale tak czy inaczej, odchodzę.",0.26645331925660204,0.02145851237135921,0.7791851162910461,0.8411186337471008,0.26513105788766494,0.021105340631872645,0.7688788771629333,0.8772234320640564,0.26858084303732155,0.021105340631872645,0.767368733882904,0.8615286946296692,0.2805809061888139,0.017033186037639283,0.7615407705307007,0.8065904378890991,0.26024237265800815,0.013217947626377298,0.7440377473831177,0.7952781915664673
Calm yourself.,Spokój.,Uspokój się.,Uspokój się.,Uspokój się.,Uspokój się.,Uspokój się.,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676
