en_text,pl_text,dialog_extracted,chrf_dialog_extracted,bleu_dialog_extracted,bertscore_dialog_extracted,comet_dialog_extracted
Will you sell that racing mare of yours?,Sprzedajecie tę swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094
Radovid's army won't take ye. Man without a thumb can't hold a sword.,Bez kciuka miecza nie utrzymasz. To do wojska cię Radowid nie weźmie.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089
Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.,"Chyba znalazłem coś, co należy do was. Ładunek z drakkaru, który rozbił się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.",0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563
Nils…,Nils...,Nils…,0.2975502058052501,0.0,0.731819748878479,0.9890646934509277
Scorn her not! Or have you friends so powerful that you can afford to spurn divine aid?,"Nie krzyw się! Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?","Nie lekceważ jej! Czy masz tak potężnych przyjaciół, że możesz sobie pozwolić na odrzucenie boskiej pomocy?",0.6283797713215113,0.42845122462998864,0.8831844925880432,0.8505384922027588
Don't really know.,W zasadzie nie wiem.,Nie wiem dokładnie.,0.33178014795661853,0.0,0.8020395636558533,0.9409046173095703
Footprints and pawprints crisscross. Man and beast…,Ślady ludzkich stóp krzyżują się z odciskami łap potwora...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024
"Ooooh, no, that is not an amount we can spare.","Ooo nie, nie, nie, nie, na tyle nie możemy sobie pozwolić.","Och, nie, to jest suma, której nie możemy sobie pozwolić.",0.5276893801767143,0.2513293635022765,0.8313108682632446,0.8139510154724121
"Fine, I'll leave. Not about to pay anyone for the privilege, though.","A ja myślę, że wyjdę. I nikomu nie będę płacił.","Dobrze, odejdę. Nie zamierzam jednak płacić komukolwiek za ten przywilej.",0.22206142511167895,0.0,0.7345475554466248,0.8700271248817444
Calm yourself.,Spokój.,Uspokój się.,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676
