en_text,pl_text,dialog_prev,dialog_next,chrf_dialog_prev,bleu_dialog_prev,bertscore_dialog_prev,comet_dialog_prev,chrf_dialog_next,bleu_dialog_next,bertscore_dialog_next,comet_dialog_next
Will you sell that racing mare of yours?,Sprzedajecie tę swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,Czy sprzedasz swoją klacz wyścigową?,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094,0.6669491727031329,0.26591479484724945,0.9165539145469666,0.9532087445259094
Radovid's army won't take ye. Man without a thumb can't hold a sword.,Bez kciuka miecza nie utrzymasz. To do wojska cię Radowid nie weźmie.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,Armia Radovida cię nie weźmie. Człowiek bez kciuka nie może trzymać miecza.,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089,0.47149040835116834,0.045293761707938834,0.8009767532348633,0.7768570780754089
Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.,"Chyba znalazłem coś, co należy do was. Ładunek z drakkaru, który rozbił się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.","Myślę, że znalazłem coś, co może należeć do ciebie i twoich krewnych. Ładunek z długiej łodzi, która rozbiła się na północ od Ard Skellig.",0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563,0.6195157845549271,0.2741229265391949,0.871698796749115,0.7810400128364563
Nils…,Nils...,Nils...,Nils…,1.0,0.1778279410038923,1.0000001192092896,0.9890646934509277,0.2975502058052501,0.0,0.731819748878479,0.9890646934509277
Scorn her not! Or have you friends so powerful that you can afford to spurn divine aid?,"Nie krzyw się! Czyżbyś miał aż tak potężnych przyjaciół, że możesz sobie pozwolić na odtrącenie pomocy bogów?","Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz pogardzić boską pomocą?","Nie gardź nią! Czy masz tak potężnych przyjaciół, że możesz sobie pozwolić na odrzucenie boskiej pomocy?",0.43161337302661257,0.2225011350459379,0.8300636410713196,0.7975001335144043,0.6304263444737735,0.42845122462998864,0.883420467376709,0.8705951571464539
Don't really know.,W zasadzie nie wiem.,Nie wiem dokładnie dlaczego.,Nie wiem naprawdę.,0.3341530442100297,0.0,0.7889849543571472,0.9003228545188904,0.28145151164554194,0.0,0.7404352426528931,0.9520319104194641
Footprints and pawprints crisscross. Man and beast…,Ślady ludzkich stóp krzyżują się z odciskami łap potwora...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,Ślady stóp i łap krzyżują się. Człowiek i bestia...,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024,0.3776225079512637,0.03391326091030751,0.7987561821937561,0.8364742398262024
"Ooooh, no, that is not an amount we can spare.","Ooo nie, nie, nie, nie, na tyle nie możemy sobie pozwolić.","Och, nie, to nie jest suma, którą możemy sobie pozwolić.","Och, nie, to nie jest suma, którą możemy sobie pozwolić.",0.4912668031941432,0.1073897713503587,0.8320941925048828,0.8019862174987793,0.4912668031941432,0.1073897713503587,0.8320941925048828,0.8019862174987793
"Fine, I'll leave. Not about to pay anyone for the privilege, though.","A ja myślę, że wyjdę. I nikomu nie będę płacił.","Dobrze, odejdę. Nie zamierzam jednak płacić komukolwiek za ten przywilej.","Dobrze, odejdę. Nie zamierzam płacić nikomu za ten przywilej, jednak.",0.22206142511167895,0.0,0.7345475554466248,0.8700271248817444,0.26445172131268285,0.021105340631872645,0.7613388299942017,0.7929131388664246
Calm yourself.,Spokój.,Uspokój się.,Uspokój się.,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676,0.4566715779951074,0.0,0.7727105617523193,0.9085354804992676
