en_text,pl_text,dialog_prototype,default,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype,chrf_default,bleu_default,bertscore_default,comet_default
"Glad you to see you in one piece, too, Dandelion.","Cieszę się, że też jesteś cały.","Cieszę się, że widzę cię całego i zdrowego, Dandelion.","Cieszę się, że widzę cię w jednym kawałku, też, Mleczu.",0.43013516542502045,0.11868405219520975,0.7925881743431091,0.8462957143783569,0.46629036824688996,0.10445522730720382,0.793178379535675,0.5047351121902466
Yen tell you why she wants this?,"Yen wspomniała, po co jej to?","Czy Yen powiedział ci, dlaczego tego chce?","Yen powie ci, dlaczego tego chce?",0.16812399257540322,0.033031643180138064,0.7838992476463318,0.8257687091827393,0.13838952107394734,0.040824829046386304,0.7907788753509521,0.7671217918395996
Greetings.,Witaj.,Witaj.,Pozdrowienia.,1.0,0.1778279410038923,1.0,0.9878743886947632,0.07462686567164188,0.0,0.7948496341705322,0.8199630379676819
Rally to me!,Do mnie!,Ruszaj za mną!,Rajd do mnie!,0.09230769230769238,0.0,0.8098475337028503,0.7543492317199707,0.6699202823590079,0.11362193664674995,0.8725919723510742,0.8867326974868774
"Has the makings of an excellent queen, if she would only flee her father's shadow.","Byłaby świetną królową, gdyby udało jej się wyjść z cienia Cracha.","Ma potencjał, by stać się doskonałą królową, gdyby tylko uwolniła się od cienia swojego ojca.","Ma zadatki na wspaniałą królową, gdyby tylko uciekła od cienia swojego ojca.",0.3764286497233289,0.033241378434410024,0.7869205474853516,0.8997701406478882,0.36823819373349226,0.03986357128268015,0.7984547019004822,0.8307952284812927
Did you catch 'im?,I co? Dopadłeś go?,Czy go złapałeś?,Złapałeś go?,0.150366985949246,0.0,0.7757490277290344,0.9316281080245972,0.3096747658554771,0.05501080739920602,0.8182702660560608,0.9138280749320984
Didn't defend herself. Crept up on her while she slept.,"Nie broniła się. Musieli ją podejść, jak spała.","Nie broniła się. Podkradałem się do niej, gdy spała.","Nie broniła się. Podkradł się do niej, gdy spała.",0.45480946500606395,0.12753431387594827,0.8402581810951233,0.8376762866973877,0.45423429611416005,0.12753431387594827,0.8287586569786072,0.8426482081413269
What's this help entail?,A ta pomoc ma polegać na...?,Co ta pomoc ma obejmować?,"Co to oznacza ""jakie jest znaczenie tej pomocy?""",0.3595207394862361,0.21771262023986562,0.7244244813919067,0.9432680606842041,0.1743331920595171,0.0,0.6453460454940796,0.7621846795082092
I knew you'd agree!,"Wiedziałam, że się zgodzisz!","Wiedziałam, że się zgodzisz!","Wiedziałem, że się zgodzisz!",1.0,1.0,1.0000001192092896,0.9898038506507874,0.8377197440240919,0.3976353643835253,0.9879677295684814,0.972947895526886
I'm looking for Jad Karadin.,Szukam Bertrama Taulera.,Szukam Jad Karadina.,Szukam Jad Karadina.,0.23910177725396095,0.11362193664674995,0.8221884965896606,0.7705183625221252,0.23910177725396095,0.11362193664674995,0.8221884965896606,0.7705183625221252
Good health - to you and me both.,Zdrowia. Tobie i sobie życzę.,Dobre zdrowie - dla ciebie i dla mnie obojga.,Dobre zdrowie - dla ciebie i dla mnie obojga.,0.2507496328986434,0.023980296761827107,0.710037350654602,0.8107960820198059,0.2507496328986434,0.023980296761827107,0.710037350654602,0.8107960224151611
