en_text,pl_text,dialog_prototype1,dialog_prototype2,default,chrf_dialog_prototype1,bleu_dialog_prototype1,bertscore_dialog_prototype1,comet_dialog_prototype1,chrf_dialog_prototype2,bleu_dialog_prototype2,bertscore_dialog_prototype2,comet_dialog_prototype2,chrf_default,bleu_default,bertscore_default,comet_default
"Oof, place reeks of mould…",Ale tu cuchnie grzybem.,"Uff, to miejsce cuchnie pleśnią...","Uff, to miejsce cuchnie pleśnią...","Uff, to miejsce cuchnie pleśnią...",0.2926497207069962,0.05372849659117709,0.7596600651741028,0.7753402590751648,0.2926497207069962,0.05372849659117709,0.7596600651741028,0.7753404378890991,0.2926497207069962,0.05372849659117709,0.7596600651741028,0.7753402590751648
Shut up for a moment and look at me.,Zamknij się na moment i popatrz na mnie.,Przymknij się na chwilę i spójrz na mnie.,Zamknij się na chwilę i spójrz na mnie.,Zamilcz na chwilę i spójrz na mnie.,0.4627560789664303,0.08783602619713961,0.9152998328208923,0.9621884822845459,0.5317709511429687,0.18092176081223305,0.9292061924934387,0.9786748290061951,0.29602772787006376,0.07201170728284921,0.8420922160148621,0.9503797292709351
Greetings. Got anything in stock besides hoes and horseshoes?,Witaj. Masz na sprzedaż coś poza podkowami i motykami?,Witaj. Masz coś w sprzedaży oprócz wideł i podków?,Witaj. Masz coś w sprzedaży oprócz wideł i podków?,Dzień dobry. Czy macie coś w magazynie oprócz motyk i podków?,0.38783962582551346,0.06030725360407769,0.854320228099823,0.8390228748321533,0.38783962582551346,0.06030725360407769,0.854320228099823,0.8390228748321533,0.19638156752656447,0.022416933501922302,0.7433688640594482,0.8467084169387817
Where're my young'uns?! Aaargh!,Gdzie moje dzieci?! Aaaa!,Gdzie są moje dzieciaki?! Aaargh!,Gdzie są moje dzieciaki?! Aaargh!,Gdzie są moje maluchy?! Aaargh!,0.6587828822427754,0.06389431042462725,0.9081965088844299,0.9703462719917297,0.6587828822427754,0.06389431042462725,0.9081965088844299,0.9703462719917297,0.34474289289944426,0.06389431042462725,0.8877126574516296,0.966496467590332
"If these boys are here to help us kill rats, they're late. You paid up front and got what you paid for. Not half a rodent left in the granary.","Jeżeli przyprowadziłeś tych panów, żeby nam pomogli tępić szczury, to się spóźnili. Zapłaciłeś z góry i nie zawiedziesz się. W magazynie nie ma ani pół gryzonia.","Jeśli ci chłopcy są tu, żeby nam pomóc zabić szczury, to spóźnili się. Zapłaciłeś z góry i dostałeś to, za co zapłaciłeś. Nie ma już prawie ani jednego szczura w spichlerzu.","Jeśli ci chłopcy są tu, żeby nam pomóc zabić szczury, to spóźnili się. Zapłaciłem z góry i dostałem to, za co zapłaciłem. Nie ma już prawie ani jednego szczura w spichlerzu.","Jeśli ci chłopcy są tu po to, aby pomóc nam zabić szczury, spóźnili się. Zapłaciłeś z góry i dostałeś to, za co zapłaciłeś. Nie została nawet połowa szczura w spichlerzu.",0.4185611232576704,0.10985970458010323,0.8388890027999878,0.8227825164794922,0.38733766222197197,0.047973925170118475,0.8254746794700623,0.8207395672798157,0.34202896404589866,0.08939270118279458,0.8162854313850403,0.805891752243042
"Has she mentioned anything? A possible advisory position? Beside a young, promising empress?","Czyżby chciała w swoim czasie zostać doradczynią młodej, obiecującej cesarzowej?","Czy wspominała coś o możliwej pozycji doradcy, obok młodej, obiecującej cesarzowej?","Czy wspominała coś o możliwej pozycji doradcy? Oprócz młodej, obiecującej cesarzowej?","Czy wspomniała o czymkolwiek? Możliwe stanowisko doradcze? Oprócz młodej, obiecującej cesarzowej?",0.5133300046795003,0.09329460218997072,0.8282538056373596,0.8933155536651611,0.5165504874917208,0.09329460218997072,0.8207289576530457,0.7739062905311584,0.5477101781947622,0.09329460218997072,0.7885717153549194,0.7543463110923767
Strange. Never heard of anythin' similar.,Dziwne. Nigdy o czymś takim nie słyszałem.,Nigdy nie słyszałem o czymś takim.,Nigdy nie słyszałem o czymś takim.,Dziwne. Nigdy nie słyszałem o niczym podobnym.,0.6281113675747997,0.08690744034581972,0.9100564122200012,0.9598535299301147,0.6281113675747997,0.08690744034581972,0.9100564122200012,0.9598535299301147,0.6269447247053935,0.08307018474412793,0.9081769585609436,0.9749744534492493
"Once it was bread, then a fish, then apples… Might not seem like much, but add it together and the business suffers! And I'm hardly alone in being pestered. It's nicked something from every stand in the square!","Raz chleb, raz rybę, to znowu jabłka. No niby nic... Ale ziarnko do ziarnka i interes zaczyna przynosić straty! Zresztą, nie tylko mnie nachodzi, o nie, z każdego stoiska już coś zwinął!","Raz to był chleb, potem ryba, jabłka... Może nie wydaje się dużo, ale sumując, interes cierpi! A ja nie jestem jedynym, którego to spotyka. Zabrało coś od każdego straganu na placu!","Raz brało chleb, potem rybę, jabłka... Może nie wydaje się dużo, ale suma sumarum interes cierpi! A ja nie jestem jedynym, który ma ten problem. Ukradło coś ze wszystkich straganów na placu!","Raz to był chleb, potem ryba, potem jabłka... Może się wydawać, że to niewiele, ale zsumuj to wszystko, a interes cierpi! I nie jestem jedyny, którego to dręczy. Ukradło coś z każdego straganu na placu!",0.2736083644043749,0.009500692592350651,0.7428029179573059,0.7287660837173462,0.24924332944613514,0.009131246806741877,0.730478048324585,0.6776813864707947,0.2975192212719779,0.01588436203293868,0.7459360957145691,0.7469875812530518
So what's our plan?,Więc jaki jest plan?,Co robimy?,Co robimy?,No to jaki jest nasz plan?,0.020576131687242875,0.0,0.6645315885543823,0.8561720252037048,0.020576131687242875,0.0,0.6645315885543823,0.8561716675758362,0.5172424419757592,0.09554427922043669,0.8612408638000488,0.9643741250038147
From Simun Brambling. He promised to forget if you take me to see the jarl.,"Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli zabierzesz mnie do jarla.",0.3185291838852136,0.03219290164685344,0.816714882850647,0.6364562511444092,0.3185291838852136,0.03219290164685344,0.816714882850647,0.6364562511444092,0.3265104937995104,0.03219290164685344,0.8149800896644592,0.6546034216880798
