en_text,pl_text,dialog_prototype,default,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype,chrf_default,bleu_default,bertscore_default,comet_default
How could you put Ciri in danger?!,Jak mogłeś tak narażać Ciri?!,Jak mogłeś narazić Ciri na niebezpieczeństwo?!,Jak mogłeś narazić Ciri na niebezpieczeństwo?!,0.46198339837900076,0.08633400213704504,0.8653714656829834,0.9412118792533875,0.46198339837900076,0.08633400213704504,0.8653714656829834,0.9412118792533875
Oof… There'd be hell to pay.,Uuuu... Działoby się.,Ach... Byłoby piekło.,Uff... Byłoby piekło do zapłaty.,0.165072096089898,0.0,0.8027504086494446,0.7414793372154236,0.18238911715390227,0.0,0.7496193051338196,0.5926479697227478
"Wanna talk to the letter's recipient, I gotta be present.","Jeśli chcesz porozmawiać z adresatką listu, to tylko w moim towarzystwie.","Chcesz porozmawiać z adresatem listu, muszę być obecny.","Chcę porozmawiać z odbiorcą listu, muszę być obecny.",0.4522164634552575,0.0446778805361507,0.7988650798797607,0.7003758549690247,0.2861176933019703,0.0446778805361507,0.7731805443763733,0.7989516258239746
"A'right, your turn. Unless you can stand up for us.","No, teraz twoja kolej. Chyba że wstaniesz.","Dobrze, teraz twoja kolej. Chyba że możesz stanąć za nas.","Dobra, twoja kolej. Chyba że potrafisz stanąć w naszej obronie.",0.7010918856768124,0.392814650900513,0.8700637817382812,0.8517362475395203,0.567718795130873,0.2626909894424158,0.8040111064910889,0.8674775958061218
"Quite fortunate, in fact, as now, on the eve of war, we need a more experienced leader.","Zresztą teraz, w obliczu wojny, potrzebujemy bardziej doświadczonego przywódcy.","Cóż, faktycznie mamy szczęście, ponieważ teraz, w przededniu wojny, potrzebujemy bardziej doświadczonego przywódcy.","Dosyć szczęśliwie się składa, ponieważ teraz, w przededniu wojny, potrzebujemy bardziej doświadczonego przywódcy.",0.7632444222362212,0.33260249505555045,0.8787384033203125,0.9087280631065369,0.7699425780034207,0.33260249505555045,0.8698248267173767,0.8836955428123474
Who are you? Why are you here? Answer this instant or I'll summon the guards!,"Kim jesteś? Co tu robisz? Odpowiadaj natychmiast, bo wezwę straż!",Kim jesteś? Po co tu jesteś? Odpowiadaj natychmiast albo wezwę strażników!,Kim jesteś? Dlaczego tu jesteś? Odpowiedz natychmiast albo wezwę strażników!,0.6994398769634792,0.05012578715739066,0.896857500076294,0.9688383340835571,0.5871429060661693,0.05307712171072445,0.8839513659477234,0.9293290376663208
I know how to choose 'em.,Innego bym nie wybrał.,"Wiem, jak je wybierać.","Wiem, jak je wybierać.",0.16404010434583194,0.0,0.7435798048973083,0.6197177767753601,0.16404010434583194,0.0,0.7435798048973083,0.619717538356781
"Sorry, Dandelion. Maybe later.","Wybacz, może innym razem.","Przepraszam, Dandelion. Może później.","Przepraszam, mleczu. Może później.",0.14565028593981105,0.0,0.7300160527229309,0.7413102388381958,0.17008490817062616,0.0,0.7410990595817566,0.6743225455284119
I'll catch up to you.,Dogonię cię.,Dogonię cię.,Dogonię cię.,1.0,0.316227766016838,1.0,0.9809273481369019,1.0,0.316227766016838,1.0,0.9809273481369019
"Gods of the sea, I've never begrudged ye no gifts. Grant me another victory, so I can make ye another offerin' of me loot.","Bogowie morza, nigdy nie skąpiłem wam darów. Dajcie mi kolejne zwycięstwo, bym mógł wam złożyć jeszcze jedną ofiarę z łupów.","Bogowie morza, nigdy nie żałowałem ci darów. Daj mi kolejne zwycięstwo, abym mógł złożyć ci kolejną ofiarę z moich łupów.","Bogowie morza, nigdy nie żałowałem wam darów. Dajcie mi kolejne zwycięstwo, abym mógł złożyć wam kolejną ofiarę z moich łupów.",0.6221309913375809,0.2118008548235711,0.9147447943687439,0.8876384496688843,0.7186927764876986,0.41520940062605305,0.9407761096954346,0.8970154523849487
"I don't like you, White One.","Nie podobasz mi się, białowłosy.","Nie lubię cię, Biała Jedynko.","Nie lubię cię, Biały Jeden.",0.15942018844562972,0.05372849659117709,0.749769389629364,0.6671502590179443,0.1484814852184442,0.05372849659117709,0.77482670545578,0.6508374810218811
"Suppose so. But you look the way I do, you gotta grab every chance you can get.",Niby tak... Ale z moją aparycją trzeba korzystać z każdej okazji.,"Może tak. Ale jeśli wyglądasz tak jak ja, musisz chwytać każdą okazję, która się nadarza.","Załóżmy tak. Ale jeśli wyglądasz jak ja, musisz chwytać każdą szansę, jaką możesz dostać.",0.24301284307904633,0.013217947626377298,0.6942616105079651,0.7614871263504028,0.22470024215145645,0.01428363257865929,0.6779001355171204,0.7023841738700867
"You must take my hand and talk of Ciri. Tell me where you think she might be, who could be at her side.","Weźmiesz mnie za rękę i będziesz opowiadał o Ciri. Mów, gdzie według ciebie może być, jakich ma przyjaciół.","Musisz wziąć moją rękę i porozmawiać o Ciri. Powiedz mi, gdzie twoim zdaniem ona może być, kto mógłby być przy jej boku.","Musisz wziąć moją dłoń i mówić o Ciri. Powiedz mi, gdzie twoim zdaniem może być, kto może być przy niej.",0.3141105653758682,0.03307108401836138,0.7727612257003784,0.8232645392417908,0.27737425737517885,0.03187271473320672,0.7703552842140198,0.6647542119026184
You know plants?,Znasz się na roślinach?,Czy znasz rośliny?,Czy znasz rośliny?,0.29498387364974604,0.0,0.7720425128936768,0.9416612982749939,0.29498387364974604,0.0,0.7720425128936768,0.9416612982749939
They're too far! We must get closer! I shall shield us with Demetia Crest's Surge!,Za daleko! Musimy do nich podejść. Osłonię nas Kipielą Demetii Crest!,One są za daleko! Musimy podejść bliżej! Ochronię nas falą uderzeniową Demetii Crest.,Są zbyt daleko! Musimy się zbliżyć! Ochronię nas tarczą Przypływu Demetii!,0.576676527612601,0.039073802494525016,0.8145216107368469,0.7438998818397522,0.38743033599920523,0.04411629359322707,0.7925690412521362,0.754765510559082
Female wyvern killed them. They wandered into her hunting ground.,"Zabiła ich samica wiwerny, bo weszli na jej terytorium łowieckie.",Samica wywerna ich zabiła. Wędrowali przez jej teren łowiecki.,Samica wywerna ich zabiła. Zabłądzili w jej rewirze łowieckim.,0.3804285956002426,0.025518615589394285,0.8091617226600647,0.846112847328186,0.3549927607307482,0.025518615589394285,0.796897828578949,0.8121695518493652
"Well, let's have a name, then, and we shall issue an entry ticket.","No dobrze. Niech poda imię, to dostanie bilet wstępu.","Dobrze, więc potrzebujemy imienia, a potem wydamy bilet wstępu.","No dobrze, to weźmy jakąś nazwę, a potem wydamy bilet wstępu.",0.3754555000060438,0.050712153369465586,0.8111436367034912,0.7724230289459229,0.4191038023443932,0.04740604259878138,0.8365904688835144,0.8288429975509644
Hey! Anybody home?,"Halo, jest tam kto?",Cześć! Jest tu ktoś?,Cześć! Jest ktoś w domu?,0.18618701217697695,0.0,0.8525777459144592,0.9502638578414917,0.15790160607233786,0.0,0.807748019695282,0.9323393106460571
I'm on the right path.,Jestem na dobrej drodze.,Jestem na właściwej drodze.,Jestem na właściwej ścieżce.,0.6268975690379078,0.1880301546543197,0.88465416431427,0.9668101668357849,0.3326255836382401,0.16990442448471224,0.8321290612220764,0.9444168210029602
Some white-haired freak… Cut down our boys like he was cuttin' pigs!,Jakiś białowłosy cudak wyrżnął naszych jak wieprze!,"Jakiś siwowłosy dziwak... Zarżnął naszych chłopców, jakby rzezał świnie!","Jakiś białowłosy dziwak... Jakby podcinał świnie, tak ich załatwił!",0.4671596347264058,0.028517539529041507,0.7893574833869934,0.784342885017395,0.3811101746593393,0.050712153369465586,0.7701722979545593,0.6255122423171997
Aha. And you thought I'd find this interesting because…?,"Mhm. I czemu uznałeś, że mnie to zainteresuje?","Aha. A ty pomyślałeś, że mnie to zainteresuje, bo...?","Aha. I pomyślałeś, że uznam to za interesujące, ponieważ...?",0.6224670394531869,0.11868405219520975,0.8557889461517334,0.8830647468566895,0.49440873898085175,0.03155984539112946,0.7867487072944641,0.8928278684616089
I'm but a poor little woman!,Ja biedna kobiecina jestem!,Jestem tylko biedną małą kobietką!,Jestem tylko biedną małą kobietką!,0.3436368045964792,0.0,0.7753708362579346,0.928729236125946,0.3436368045964792,0.0,0.7753708362579346,0.928729236125946
And giants shall face giants in battle… Just like the ballads.,„I giganci staną przeciw sobie”... Jak w balladach.,I olbrzymy staną naprzeciw olbrzymów w bitwie... Tak jak w balladach.,I olbrzymy staną przeciw olbrzymom w bitwie... Tak jak w balladach.,0.4619809582671781,0.04411629359322707,0.8146933317184448,0.5677473545074463,0.5205323624452972,0.05637560315259291,0.8231085538864136,0.6755384206771851
"You must make more as a mummer than you do witcherin', eh?","Jako aktor chyba wińcej pieniędzy zgarniasz, niż jako wiedźmin?","Musisz zarabiać więcej jako mim, niż jako wiedźmin, co nie?","Musisz zarabiać więcej jako błazen niż jako czarodziejka, co?",0.3758849933698751,0.0446323613785333,0.7903091311454773,0.7775611877441406,0.22587715304991005,0.050712153369465586,0.7319581508636475,0.7573925852775574
Greetings.,Witajcie.,Pozdrowienia.,Pozdrowienia.,0.10849375211077349,0.0,0.8066110014915466,0.7945621013641357,0.10849375211077349,0.0,0.8066110014915466,0.7945621013641357
Hmm… You could wait things out at Kaer Morhen.,Hmm... Możesz przeczekać w Kaer Morhen.,Może lepiej byłoby przeczekać to wszystko w Kaer Morhen.,Hmm... Możesz przeczekać to w Kaer Morhen.,0.5754542230888421,0.12753431387594827,0.8066990971565247,0.8501177430152893,0.9116608908461448,0.274941620352113,0.9803926944732666,0.9210966229438782
We'll see about that!,Jeszcze zobaczymy!,Zobaczymy co z tym zrobimy!,Zobaczymy!,0.4145237466597039,0.0,0.8207113146781921,0.86258864402771,0.4626912885403725,0.0,0.8932872414588928,0.9524005651473999
Wolf… I thank you.,Wilku... Dziękuję.,"Dziękuję ci, Wilku.",Wilk... Dziękuję ci.,0.6010827407886231,0.0,0.8529086112976074,0.9416002631187439,0.6900199229891065,0.0,0.8981968760490417,0.9552337527275085
Fuckin' shit!,Kurwa żesz!,Cholerna kupa gówna!,Jebane gówno!,0.09259259259259267,0.0,0.7838767170906067,0.8746871948242188,0.0653594771241831,0.0,0.7838039398193359,0.8536164164543152
