en_text,pl_text,dialog_prototype,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype
How could you put Ciri in danger?!,Jak mogłeś tak narażać Ciri?!,Jak mogłeś narazić Ciri na niebezpieczeństwo?!,0.46198339837900076,0.08633400213704504,0.8653714656829834,0.9412118792533875
Oof… There'd be hell to pay.,Uuuu... Działoby się.,Ach... Byłoby piekło.,0.165072096089898,0.0,0.8027504086494446,0.7414793372154236
"Wanna talk to the letter's recipient, I gotta be present.","Jeśli chcesz porozmawiać z adresatką listu, to tylko w moim towarzystwie.","Chcesz porozmawiać z adresatem listu, muszę być obecny.",0.4522164634552575,0.0446778805361507,0.7988650798797607,0.7003758549690247
"A'right, your turn. Unless you can stand up for us.","No, teraz twoja kolej. Chyba że wstaniesz.","Dobrze, teraz twoja kolej. Chyba że potrafisz nas obronić.",0.6688433811721396,0.44632361378533286,0.8604704141616821,0.8364726305007935
"Quite fortunate, in fact, as now, on the eve of war, we need a more experienced leader.","Zresztą teraz, w obliczu wojny, potrzebujemy bardziej doświadczonego przywódcy.","Cóż, faktycznie mamy szczęście, ponieważ teraz, w przededniu wojny, potrzebujemy bardziej doświadczonego przywódcy.",0.7632444222362212,0.33260249505555045,0.8787384033203125,0.9087280631065369
Who are you? Why are you here? Answer this instant or I'll summon the guards!,"Kim jesteś? Co tu robisz? Odpowiadaj natychmiast, bo wezwę straż!",Kim jesteś? Po co tu przyszłaś? Odpowiadaj natychmiast albo wezwę strażników!,0.7044203956000746,0.05012578715739066,0.8943417072296143,0.9622175097465515
I know how to choose 'em.,Innego bym nie wybrał.,"Wiem, jak je wybierać.",0.16404010434583194,0.0,0.7435798048973083,0.6197177767753601
"Sorry, Dandelion. Maybe later.","Wybacz, może innym razem.","Przepraszam, Dandelion. Może później.",0.14565028593981105,0.0,0.7300160527229309,0.7413102388381958
I'll catch up to you.,Dogonię cię.,Dogonię cię.,1.0,0.316227766016838,1.0,0.9809273481369019
"Gods of the sea, I've never begrudged ye no gifts. Grant me another victory, so I can make ye another offerin' of me loot.","Bogowie morza, nigdy nie skąpiłem wam darów. Dajcie mi kolejne zwycięstwo, bym mógł wam złożyć jeszcze jedną ofiarę z łupów.","Bogowie morza, nigdy nie żałowałem ci darów. Daj mi kolejne zwycięstwo, abym mógł złożyć ci kolejną ofiarę z moich łupów.",0.6221309913375809,0.2118008548235711,0.9147447943687439,0.8876384496688843
