speaker_gender|listener_gender|en_text|pl_text|prompt6_random|prompt6_chosen|prompt7_random|prompt7_chosen
mężczyzna|kobieta|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrą artystką?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrą artystką?
kobieta|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrym artystą?|"Jestem najlepszą artystką, jesteś dobrym artystą? (jeśli mówi kobieta do mężczyzny)
Jestem najlepszym artystą, jesteś dobrą artystką? (jeśli mówi mężczyzna do kobiety)"|Jestem najlepszą artystką, jesteś dobrym artystą?|Jestem najlepszą artystką, a ty jesteś dobrym artystą?|Jestem najlepszą artystką, a ty jesteś dobrym artystą?
mężczyzna|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?|Jestem najlepszym artystą, jesteś dobrym artystą?
kobieta|kobieta|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrą artystką?|Jestem najlepszą artystką, jesteś dobrą artystką?|Jestem najlepszą artystką, jesteś dobrą artystką?|Jestem najlepszą artystką, jesteś dobrą artystką?|Jestem najlepszą artystką, jesteś dobrą artystką?
mężczyzna|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłeś?|Prawie go zabiłem, a co ty zrobiłeś?|Niemal go zabiłem, a co ty zrobiłeś?|Prawie go zabiłem, a co ty zrobiłeś?|Niemal go zabiłem, a co ty zrobiłeś?
mężczyzna|kobieta|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłaś?|Niemal go zabiłem, a co ty zrobiłaś?|Niemal go zabiłem, a co ty zrobiłaś?|Niemal go zabiłem, a co ty zrobiłeś?|Niemal go zabiłem, a co ty zrobiłaś?
kobieta|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłeś?|Prawie go zabiłam, a co ty zrobiłeś?|Niemal go zabiłam, a co ty zrobiłeś?|Prawie go zabiłam, a co ty zrobiłeś?|Niemal go zabiłam, a co ty zrobiłeś?
kobieta|kobieta|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłaś?|Niemal go zabiłam, a co ty zrobiłaś?|Niemal go zabiłam, a co ty zrobiłaś?|Niemal go zabiłam, a co ty zrobiłaś?|Niemal go zabiłam, a co ty zrobiłaś?
kobieta|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłaś mi farby|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłaś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłaś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłaś mi farby.
kobieta|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.
