pl_text,en_text,encoded_gender,few_shot_two_step
Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni powiązanych z organizacją terrorystyczną. W dniu 30 sierpnia 2006 r. został wydalony z Włoch do Tunezji.,Al-Loubiri was involved in the administration of parts of these cooperatives related to the terrorist organization. He was expelled from Italy on 30 August 2006 to Tunisia.,masculine,Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni związanych z organizacją terrorystyczną. Został wydalony z Włoch 30 sierpnia 2006 roku do Tunezji.
Fiodor był najtrudniejszym z dzieci. Często kłócił się z ojcem.,Fyodor was the most difficult of the kids. He often quarreled with his father.,masculine,Fiodor był najtrudniejszym z dzieci. Często kłócił się ze swoim ojcem.
"Michael Milken chce pomóc zmienić tę sytuację. Były król śmieciowych obligacji z Wall Street założył Fundację na rzecz Walki z Rakiem Prostaty po tym, jak w 1993 roku zdiagnozowano u niego raka.",Michael Milken wants to help change the situation. The former Wall Street junk bond king founded the Prostate Cancer Foundation after his diagnosis in 1993.,masculine,Michael Milken chce pomóc zmienić sytuację. Były król obligacji śmieciowych z Wall Street założył Fundację Raka Prostaty po swojej diagnozie w 1993 roku.
"Podczas drugiej wyprawy na Florydę Ponce de León zdecydował się na podróż w górę zachodniego wybrzeża, które wciąż uważał za dużą wyspę. Towarzyszyło mu 500 ludzi, w tym księża, rolnicy i rzemieślnicy.","For the second Florida expedition, Ponce de León opted to travel up the west coast of what he still believed to be a large island. He was accompanied by a force of 500 men, including priests, farmers, and artisans.",masculine,"Dla drugiej wyprawy do Florydy, Ponce de León zdecydował się podróżować wzdłuż zachodniego wybrzeża tego, co nadal uważał za dużą wyspę. Towarzyszyła mu siła 500 mężczyzn, w tym księża, rolnicy i rzemieślnicy.

(Zdanie nie wymaga żadnych zmian.)"
"George był jednym z pierwszych, którzy ostrzegli świat przed niebezpieczeństwami, na jakie narażone są zarówno te miejsca, jak i samo Muzeum Narodowe w związku z inwazją. Jest dobrze postrzegany w międzynarodowych środowiskach zajmujących się dziedzictwem i archeologią.",George was one of the first to alert the world to the dangers facing these sites and the National Museum itself brought on by the invasion. He is well regarded in the international heritage and archaeological communities.,masculine,"George był jednym z pierwszych, którzy ostrzegli świat przed zagrożeniami dla tych miejsc oraz samego Muzeum Narodowego spowodowanymi inwazją. Jest ceniony w międzynarodowych kręgach dziedzictwa kulturowego i archeologicznego."
"Pierre Broué nie był jednak tylko intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z zacisza swojego gabinetu. Był aktywnym i bojowym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm.","However, Pierre Broué was not just an intellectual, somebody who wrote books for universtities and commented on events from the the comfort of his study. He was an active and militant revolutionary who dedicated his life to the fight for international socialism.",masculine,"Jednakże Pierre Broué nie był jedynie intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z wygody swojego gabinetu. Był aktywnym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm."
"Edwin miał dwóch braci, Johna i Juniusa. Obaj byli aktorami, choć żaden z nich nie dorównał mu rangą.","Edwin had two brothers, John and Junius. Both were actors, although neither rose to his stature.",masculine,"Edwin miał dwóch braci, Johna i Juniusa. Obaj byli aktorami, choć żaden z nich nie dorównał jego sławie."
"Gina Lynn Vrastil, lat 50, która spóźniła się na przesłuchanie prawie godzinę, stawiła się przed sędzią Sądu Najwyższego Rogelio Flores. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara.","Gina Lynn Vrastil, 50, who was nearly an hour late to her hearing, appeared before Superior Court Judge Rogelio Flores. She was accompanied by her private attorney, Ian Morse of Santa Barbara.",feminine,"Gina Lynn Vrastil, 50-letnia kobieta, która spóźniła się prawie godzinę na rozprawę, pojawiła się przed sędzią sądu wyższej instancji Rogelio Floresem. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara."
"Na obrzeżach wschodnioczeskiego miasta Brna Jana Molková siedzi w kuchni swojego małego mieszkania i szuka w Internecie ofert pracy. Od sześciu miesięcy jest bezrobotna, po tym jak straciła pracę sprzątaczki w pobliskiej fabryce.","On the outskirts of the eastern Czech city of Brno, Jana Molková is sitting in the kitchen of her small flat, searching for jobs online. She's been unemployed for the past six months after losing her cleaning job at a nearby factory.",feminine,"Na przedmieściach wschodnioczeskiego miasta Brno, Jana Molková siedzi w kuchni swojego małego mieszkania, przeszukując ogłoszenia o pracę w internecie. Jest bezrobotna od ostatnich sześciu miesięcy po utracie pracy sprzątaczki w pobliskiej fabryce."
"W lipcu ubiegłego roku wiceminister komunikacji Gabriela Hernandez zrezygnowała z pracy w SCT, powołując się na powody osobiste. Do tej pory nie została zastąpiona.","In July last year, deputy communications minister Gabriela Hernandez resigned from the SCT, citing personal reasons. She has not yet been replaced.",feminine,"W lipcu ubiegłego roku wiceminister ds. komunikacji Gabriela Hernandez zrezygnowała ze stanowiska w SCT, podając powody osobiste. Nadal nie została zastąpiona."
