en_text,pl_text,bielik_translation,mixtral-8x22B_translation,llama3.1_translation,google_translation,chrf_bielik_translation,bleu_bielik_translation,bertscore_bielik_translation,comet_bielik_translation,chrf_mixtral-8x22B_translation,bleu_mixtral-8x22B_translation,bertscore_mixtral-8x22B_translation,comet_mixtral-8x22B_translation,chrf_llama3.1_translation,bleu_llama3.1_translation,bertscore_llama3.1_translation,comet_llama3.1_translation,chrf_google_translation,bleu_google_translation,bertscore_google_translation,comet_google_translation
Fire!,Gorze!,Pożar!, Ogień!,Ogień!,Ogień!,0.08333333333333343,0.0,0.8619608879089355,0.7763369083404541,0.05555555555555564,0.0,0.8466057181358337,0.8120743036270142,0.05555555555555564,0.0,0.8466057181358337,0.8120746612548828,0.05555555555555564,0.0,0.8466057181358337,0.8120746612548828
"Find me a king who'll kill a god and plough a goddess, and I'm his man.","Posłucham tylko tego króla, który zabije boga i posiądzie boginię.","Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem."," Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.","Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.","Znajdź mi króla, który zabije boga i zrujnuje boginię, a ja będę jego człowiekiem.",0.5125034546396793,0.2891784933232572,0.8382126092910767,0.7633682489395142,0.5056430574474952,0.2891784933232572,0.8247426152229309,0.8115926384925842,0.49130849669664384,0.2891784933232572,0.8295781016349792,0.8321124315261841,0.502034580311725,0.26584835766658776,0.8287423849105835,0.8479523658752441
Britt wasn't lying.,A więc Britt nie kłamała.,Britt nie kłamała., Britt nie kłamał.,Britt nie kłamała.,Britt nie kłamał.,0.7477137700583807,0.288715663092199,0.951349139213562,0.9642863273620605,0.6473211189160966,0.12336445138236939,0.9315550923347473,0.9348234534263611,0.7477137700583807,0.288715663092199,0.951349139213562,0.9642863273620605,0.6473211189160966,0.12336445138236939,0.9315550923347473,0.9348234534263611
"You don't believe in the gods, Lugos.","Ty nie wierzysz w bogów, Lugos.","Nie wierzysz w bogów, Lugos."," Nie wierzysz w bogów, Lugosie.","Nie wierzysz bogom, Lugosu.","Nie wierzysz w bogów, Lugosie.",0.8791766357425587,0.5475182535069453,0.9589371085166931,0.9504343867301941,0.8352902170293475,0.21771262023986562,0.9333255887031555,0.9496158361434937,0.5101006804868299,0.04873039689743777,0.8924503922462463,0.8943904638290405,0.8352902170293475,0.21771262023986562,0.9333255887031555,0.9496158957481384
"Where, exactly?",A skąd?,Dokładnie gdzie?," Dokładnie, gdzie?","""Gdzie dokładnie?""",Gdzie dokładnie?,0.07246376811594213,0.0,0.7953858971595764,0.8773252964019775,0.07142857142857152,0.0,0.8038762807846069,0.8726442456245422,0.07042253521126769,0.0,0.7836045622825623,0.8764801621437073,0.07246376811594213,0.0,0.8315547704696655,0.9288065433502197
Gwent - let's play.,Zagrajmy w gwinta.,Gwent - zagrajmy.," ""Gwent - Zachodźmy do gry.""",Gwent - grajmy.,Gwint - zagrajmy.,0.37783323092551785,0.0,0.7294771671295166,0.660258412361145,0.1422632442122126,0.0,0.7346697449684143,0.6787517070770264,0.30628255511523594,0.0,0.6858329176902771,0.6391656994819641,0.44758748786081143,0.0,0.768243670463562,0.7103029489517212
Our time amongst the living is but the wink of an eye.,Czas pośród żywych to mgnienie.,Nasz czas pośród żyjących to zaledwie mgnienie oka., Nasze życie wśród żywych to tylko mruganie okiem.,Nasza obecność wśród żywych jest tylko mrugnięciem oka.,Nasz czas wśród żywych jest zaledwie mrugnięciem oka.,0.6312396290844465,0.03303164318013808,0.8389400839805603,0.8121393322944641,0.469393652289956,0.05873949094699214,0.7693744897842407,0.6948162913322449,0.4125528010203578,0.02777619034011792,0.7709190249443054,0.7172889113426208,0.40427808632926204,0.02777619034011792,0.7776957750320435,0.6896177530288696
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…,"Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...","Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu..."," Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możliwe, że przeoczyliśmy istotną wskazówkę, która pozwoliłaby nam posunąć się do przodu...","Może powinniśmy ponownie przeanalizować to czego się nauczyliśmy. Być może przeoczyliśmy jakiś trop, który mógłby nas posunąć do przodu…","Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przegapić wskazówkę, która popchnęłaby nas do przodu…",0.22677877235011668,0.017395797375642234,0.7371758222579956,0.8364219069480896,0.22963266876297306,0.013618796864073041,0.7260754108428955,0.847557783126831,0.21806661556563312,0.015226277779914149,0.6835975050926208,0.8707177639007568,0.2328515717433366,0.017395797375642234,0.708043098449707,0.8376794457435608
Exactly! I knew it - she made the whole thing up!,"Właśnie! Wiedziałem, że sobie coś wymyśliła!",Dokładnie! Wiedziałem - ona wszystko to zmyśliła!, Właśnie tak! Wiedziałem/am - wymyśliła to cała!,"Dokładnie. Wiedziałem, że tak było - wymyśliła całą tę historię!",Dokładnie! Wiedziałem - ona to wszystko wymyśliła!,0.49134615107473584,0.0,0.8686546683311462,0.9105693101882935,0.5475675598951738,0.0,0.84926837682724,0.8062436580657959,0.5092664519182014,0.0446323613785333,0.8265093564987183,0.791772723197937,0.5357608596097831,0.033031643180138064,0.8857592344284058,0.93411785364151
"First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.","Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.","Pierwsze - mogę spróbować przekonać tych, którzy postawili Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi."," Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithinga, aby zdjął klątwę sam. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na osi. W każdym razie, muszę wiedzieć, kto stoi za tym.","Po pierwsze, mogę spróbować przekonać osobę, która wystawiła Nithing, aby sama zdjęła klątwę. Po drugie, mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym przypadku muszę wiedzieć, kto stoi za tym.","Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.",0.5033840015902933,0.22336785871125367,0.8125132918357849,0.7442381381988525,0.405042194438145,0.03246518844707061,0.7853736281394958,0.7396290898323059,0.4769424175576135,0.053020405204037335,0.8104315400123596,0.8019957542419434,0.515555746234733,0.21601402337783326,0.8112748265266418,0.787612795829773
