en_text|pl_text|bielik_prompt7_translation
So be it.|Niech będzie.|Niech tak będzie.
A year now you've promised to write somethin' for me.|Od roku obiecujesz, że napiszesz piosnkę dla mnie.|Od roku obiecujesz, że coś dla mnie napiszesz.
Freya watch over you.|Niech Freyja nad wami czuwa.|Freya czuwaj nad tobą.
You see? We're just a step away from learning the truth.|No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.|Widzisz? Jesteśmy tylko o krok od poznania prawdy.
Mhm. See you there.|Widzimy się na miejscu.|"Tłumaczenie:

Mhm. Do zobaczenia tam."
Sorry, just don't believe your little tale.|Nie wierzę w twoją historyjkę.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.
What's this?! Did you undress me?!|Hola, hola! Rozebrałeś mnie?!|Co to?! Czy mnie rozebrałeś?!
Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.|Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.|Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skellingerem.
Hmm, I dunno. All those barnacles… and they smell o' fish.|No, nie wiem. Całe w muszlach... I rybą śmierdzą.|Hmm, nie wiem. Te wszystkie małże... i śmierdzą rybami.
Don't exaggerate. It's just--|Nie przesadzaj, to przecież tylko...|Nie przesadzaj. To po prostu--
That's right.|Nie zastaniemy.|To prawda.
Oh! Sure you're not gettin' carried away there…?|Chyba cię trochę poniosło...|Och! Czyżbyś się trochę nie zagalopował tam...?
What? Why, beer, mead and strong spirits. Whaddaya expect in a tavern? Jump rope?|No... piwo, miód i gorzałkę. A coś ty chciał w karczmie robić? W łapki grać?|Co? Dlaczego, piwo, miód i mocne alkohole. Czego się spodziewasz w karczmie? Skakanka?
Hahahaha!|Ha, ha!|Ha ha ha!
Heard you're a man with troubles…|Z tego co słyszę, masz jakiś problem...|Słyszałem, że masz kłopoty...
Cerys. Where's Cerys.|Cerys. Gdzie jest Cerys?|Cerys. Gdzie jest Cerys?
Celain, celain, deffraen!|Celain, celain, deffraen!|"Tłumaczenie:

'Celain, celain, deffraen!'

Nie ma dostępnego tłumaczenia tego konkretnego zdania na język polski, ponieważ jest to fikcyjny język z gry komputerowej ""Half-Life"". Zdanie to pochodzi z tej gry i nie ma bezpośredniego odpowiednika w języku polskim."
Arvid an Tordarroch. He was dead set on comin' with us…|Arvid an Tordarroch. Tak się upierał, żeby z nami płynąć...|Arvid i Tordarroch. Był zdecydowany iść z nami...
Let us hope you're right, wanderer, let us hope you're right.|Obyś miał rację, wędrowcze, obyś miał rację.|Niech mamy nadzieję, że masz rację, wędrowcze, niech mamy nadzieję, że masz rację.
I mind fools. No matter where they're from.|Drażnią mnie głupcy. Niezależnie od tego, skąd pochodzą.|Nie lubię głupców. Nie ważne skąd są.
Thanks. Farewell.|Dzięki. Bywaj.|Dziękuję. Żegnaj.
So… what're you doin' on Undvik?|Aa... co robisz na Undvik?|Więc... co robisz na Undvik?
Seems they went that way.|Poszli chyba w tamtą stronę.|Wydaje się, że poszli tamtą drogą.
We're looking for a young woman, name of Ciri. Ashen hair, green eyes...|Szukamy dziewczyny o imieniu Ciri. Młoda... Szare włosy, zielone oczy.|Szukamy młodej kobiety o imieniu Ciri. Popielate włosy, zielone oczy...
We meet again. So? Ye change your mind? Wanna hunt the Grossbart brothers with me? Easy coin for ye.|Znowu się spotykamy. To jak? Zmieniłeś zdanie? Zapolujemy razem na braci Grossbart? Dla ciebie to będzie łatwy grosz.|Spotykamy się ponownie. No więc? Zmieniłeś zdanie? Chcesz polować na braci Grossbart ze mną? Łatwe pieniądze dla ciebie.
What?! I'll not give ye that, one dragon or many!|Co? Tyle to nawet za smoka nie dam!|Co?! Nie dam ci tego, jeden smok czy wiele!
Tried to give me one or two orders, but I do believe she's done with that now.|Kilka razy próbowała mi rozkazywać, ale chyba już jej przeszło.|Próbowała dać mi jeden lub dwa rozkazy, ale myślę, że już z tym skończyła.
Greetings.|Witaj.|Pozdrawiam.
Died at Castle Tuirseach when the Black Ones o'erran An Skellig.|Zginął na zamku Tuirseach, jak Czarni An Skellig najechali.|Umarł w Zamku Tuirseach, kiedy Czarni zniszczyli An Skellig.
It's not just about this place. There's someone, someone cursed. Gotta find them.|Nie chodzi tylko o to miejsce. Jest jeszcze ktoś – ktoś przeklęty. I muszę go znaleźć.|To nie chodzi tylko o to miejsce. Jest ktoś, kogoś przeklęty. Trzeba ich znaleźć.
I can help you.|Mogę ci pomóc.|Mogę ci pomóc.
Yeah…|Bywaj.|Tak...
You might find torches there.|Może znajdziesz tam pochodnie.|Możesz znaleźć pochodnie tam.
Got anything you're willing to sell?|Masz coś na sprzedaż?|Czy masz coś, co jesteś gotów sprzedać?
I'm busy.|Zajęta jestem.|Jestem zajęty.
Cerys, we need to talk.|Cerys, musimy pogadać.|Cerys, musimy porozmawiać.
Do I need to talk to him?|Mam z nim porozmawiać?|Czy muszę z nim porozmawiać?
And if not for me, you'd have sat on that rock till you died and rotted.|A gdybym ja nie pomógł tobie, siedziałbyś na tej skale do usranej śmierci.|A gdyby nie ja, siedziałbyś na tym kamieniu, aż umarłbyś i zgnił.
