en_text|pl_text|bielik_prompt0_translation|bielik_prompt1_translation|bielik_prompt2_translation|bielik_prompt3_translation|bielik_prompt4_translation|bielik_prompt5_translation|bielik_prompt6_translation
So be it.|Niech będzie.|"""Tak niech się stanie.""

To tłumaczenie jest dosłowne i oddaje znaczenie oryginalnego angielskiego wyrażenia ""So be it."" W języku polskim, podobnie jak w angielskim, to zdanie może być używane jako afirmacja lub akceptacja czegoś, co zostało powiedziane lub zdecydowane. Może również wyrażać rezygnację lub pogodzenie się z sytuacją."|"Tłumaczenie ""So be it."" na język polski to ""Niech tak będzie."". To jest krótkie wyrażenie, które może być używane w różnych kontekstach, aby wyrazić akceptację lub rezygnację z czegoś. Może być stosowane jako odpowiedź na decyzje, propozycje lub nawet jako sposób na potwierdzenie, że coś zostało zaakceptowane lub zrozumiane.

### Przykłady użycia:
1. **W kontekście akceptacji decyzji:**
   - Osoba A: ""Myślę, że powinniśmy zrobić to w ten sposób.""
   - Osoba B: ""So be it."" (Niech tak będzie.)
2. **Jako wyraz rezygnacji:**
   - Osoba A: ""Niestety, nie mamy innego wyboru.""
   - Osoba B: ""So be it."" (Niech tak będzie.)
3. **Potwierdzenie zrozumienia:**
   - Osoba A: ""Czy rozumiesz, co powiedziałem?""
   - Osoba B: ""So be it."" (Niech tak będzie.)

To wyrażenie jest często używane w literaturze i filmach, szczególnie w kontekście dramatycznym lub historycznym, gdzie postacie muszą podejmować trudne decyzje lub godzić się z losem."|Niech tak będzie.|"""Niech tak będzie."""|Niech tak będzie.|"Tłumaczenie zdania ""So be it."" na język polski to:

""Niech tak będzie.""

To krótkie, ale wyraziste stwierdzenie może być używane w różnych kontekstach, od akceptacji decyzji po wyrażenie zgody lub pogodzenie się z sytuacją. W języku polskim jest ono często używane jako zamiennik dla dłuższych fraz wyrażających akceptację lub rezygnację."|Niech tak będzie.
A year now you've promised to write somethin' for me.|Od roku obiecujesz, że napiszesz piosnkę dla mnie.|"""Minął już rok, odkąd obiecałeś napisać coś dla mnie."""|"Tłumaczenie tego zdania na język polski brzmi:

""Już rok obiecujesz, że coś dla mnie napiszesz.""

To zdanie wyraża lekką irytację lub zniecierpliwienie osoby mówiącej, która czeka na coś od drugiej osoby przez długi czas. Warto zauważyć, że w języku polskim często używamy formy ""już"", aby podkreślić upływ czasu i oczekiwanie na realizację obietnicy."|Już rok obiecujesz, że coś dla mnie napiszesz.|"""Minął już rok, od kiedy obiecałeś mi coś napisać."""|Już rok obiecujesz mi coś napisać.|"Oto tłumaczenie tego zdania na język polski:

""Już rok temu obiecałeś napisać coś dla mnie.""

To zdanie jest poprawnym tłumaczeniem oryginalnego angielskiego tekstu, zachowując jego znaczenie i strukturę gramatyczną. Warto zauważyć, że w języku polskim używamy czasu przeszłego ""obiecałeś"", aby wyrazić czynność, która miała miejsce w przeszłości, podobnie jak w oryginalnym zdaniu angielskim."|Już rok obiecujesz mi coś napisać.
Freya watch over you.|Niech Freyja nad wami czuwa.|"""Freya, czuwaj nad tobą.""

To zdanie jest tłumaczeniem dosłownym z języka angielskiego na polski. Warto zauważyć, że w oryginalnym tekście ""Freya watch over you"" może być interpretowane jako wyrażenie życzenia lub prośby o opiekę ze strony Frei (bogini z mitologii nordyckiej). W języku polskim użyto formy grzecznościowej ""czuwaj"", co oddaje podobne znaczenie ochrony i opieki."|"""Freya, czuwaj nad tobą.""

To zdanie jest tłumaczeniem dosłownym i może być używane jako wyrażenie życzenia ochrony lub opieki od Frei, nordyckiej bogini miłości, piękna i magii. W języku polskim częściej używa się formy ""niech cię strzeże"" lub ""bądź pod opieką""."|Freya czuwa nad tobą.|"""Freya czuwa nad tobą."""|Freya czuwa nad tobą.|"""Freya czuwa nad tobą.""

To tłumaczenie zakłada, że ""Freya"" jest imieniem własnym (nazwą bóstwa nordyckiego) i pozostaje niezmienione w tłumaczeniu. Zdanie to można interpretować jako wyrażenie opieki lub ochrony ze strony Frei."|Freya czuwa nad tobą.
You see? We're just a step away from learning the truth.|No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.|"""Widzisz? Jesteśmy tylko krok od poznania prawdy.""

To zdanie w języku angielskim brzmi: ""You see? We're just a step away from learning the truth."" Tłumaczenie na język polski to:

""Widzisz? Jesteśmy tylko krok od poznania prawdy.""

To zdanie wyraża optymizm i nadzieję, sugerując, że osiągnięcie celu lub zrozumienie czegoś jest bardzo bliskie. Może być używane w różnych kontekstach, takich jak rozwiązywanie problemu, zdobywanie nowej wiedzy czy dochodzenie do prawdy w jakiejś sprawie."|"Tłumaczenie tego zdania na język polski brzmi:

""Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.""

To zdanie wyraża nadzieję lub przekonanie, że osiągnięcie pełnej wiedzy lub zrozumienia jest bardzo bliskie. Używa ono trybu rozkazującego ""widzisz"", aby zaangażować słuchacza i skierować jego uwagę na to, jak blisko są od celu."|Widzisz? Jesteśmy zaledwie krok od poznania prawdy.|"""Widzisz? Jesteśmy zaledwie krok od poznania prawdy."""|Widzisz? Jesteśmy tylko o krok od poznania prawdy.|"Oto tłumaczenie podanego zdania na język polski:

""Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.""

To tłumaczenie oddaje znaczenie oryginalnego zdania w języku angielskim, zachowując jego strukturę i intonację. Zwróć uwagę, że w języku polskim często używamy słowa ""widzisz"" jako formy grzecznościowej lub pytającej, co jest bliskie znaczeniu angielskiego ""you see""."|Widzisz? Jesteśmy tylko o krok od poznania prawdy.
Mhm. See you there.|Widzimy się na miejscu.|"""Mhm. Do zobaczenia tam.""

To tłumaczenie uwzględnia krótką, potwierdzającą odpowiedź w języku angielskim ""See you there"", która jest często używana jako pożegnanie lub zapowiedź spotkania w określonym miejscu. W języku polskim odpowiednikiem może być ""Do zobaczenia tam""."|"Tłumaczenie tego krótkiego dialogu na język polski brzmi następująco:

""Mhm."" - To wyrażenie może oznaczać potwierdzenie, zgodę lub lekkie zdziwienie. W języku polskim często używa się podobnych dźwięków jak ""mhm"", ""aha"" czy ""tak"".

""See you there."" - Tłumaczone dosłownie to ""Do zobaczenia tam"". W języku polskim bardziej naturalne byłoby powiedzieć ""Do zobaczenia na miejscu"" lub po prostu ""Do zobaczenia"".

Cały dialog w języku polskim mógłby więc brzmieć:

""Mhm. Do zobaczenia na miejscu.""

lub

""Aha. Do zobaczenia.""

Warto pamiętać, że takie krótkie wymiany zdań często są bardzo kontekstowe i mogą mieć różne znaczenia w zależności od sytuacji."|Mhm. Do zobaczenia tam.|Tak. Do zobaczenia tam.|Tak. Do zobaczenia tam.|"Tłumaczenie tego krótkiego dialogu na język polski brzmi następująco:

""Mhm. Do zobaczenia tam.""

Wyjaśnienie poszczególnych części:
- ""Mhm"" to onomatopeja, która w języku polskim może być oddana jako ""mhmm"", ""tak"", ""aha"" lub po prostu ""mh"". Jest to dźwięk wyrażający potwierdzenie lub zgodę.
- ""See you there"" w tłumaczeniu oznacza ""Do zobaczenia tam"". Jest to zwrot używany na pożegnanie, gdy osoby rozstają się, ale planują spotkać się ponownie w określonym miejscu."|Mhm. Do zobaczenia tam.
Sorry, just don't believe your little tale.|Nie wierzę w twoją historyjkę.|"""Przepraszam, po prostu nie wierzę w twoją małą opowieść."""|"Tłumaczenie tego zdania na język polski brzmi: ""Sorry, po prostu nie wierzę w twoją małą opowieść.""

Wyjaśnienie krok po kroku:

1. ""Sorry"" - to angielskie słowo oznaczające przeprosiny lub wyrażenie żalu. W języku polskim można je przetłumaczyć jako ""przepraszam"" lub ""sorry"".

2. ""just don't believe"" - dosłownie oznacza ""po prostu nie wierzę"", ale w tym kontekście lepiej pasuje ""po prostu nie wierzę w"".

3. ""your little tale"" - dosłownie oznacza ""twoją małą opowieść"". W języku polskim często używa się określenia ""mała historia"" lub ""opowiastka"".

4. Całość zdania zachowuje swój bezpośredni i nieformalny charakter, co jest typowe dla języka potocznego.

Warto zauważyć, że w języku polskim istnieje kilka sposobów wyrażenia podobnej myśli, np.:
- ""Nie wierzę ci""
- ""Nie daję temu wiary""
- ""Nie kupuję tej historii""

Jednak proponowane tłumaczenie najlepiej oddaje oryginalne znaczenie i styl wypowiedzi."|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|"""Przepraszam, po prostu nie wierzę w twoją małą opowieść."""|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.
What's this?! Did you undress me?!|Hola, hola! Rozebrałeś mnie?!|"""Co to jest?! Czy mnie rozebrałaś?!""

To tłumaczenie z języka angielskiego na polski. Zwróć uwagę, że w języku polskim wykrzykniki są używane nieco inaczej niż w angielskim - często stawia się je na końcu zdania, a nie wewnątrz niego. W tym przypadku umieściłem wykrzyknik po słowie ""rozbrałaś"", co jest bardziej typowe dla polskiej interpunkcji w takich kontekstach."|"Tłumaczenie tego zdania na język polski brzmi:

""Co to?! Rozebrałaś mnie?!""

To wykrzyknienie wyrażające zaskoczenie i ewentualne oburzenie lub niepewność co do sytuacji, w której ktoś został rozebrany przez inną osobę."|Co to jest?! Czy mnie rozebrałaś?!|"""Co to?! Czy rozebrałaś mnie?"""|Co to?! Rozebrałaś mnie?!|"Oto tłumaczenie podanego zdania na język polski:

""Co to jest?! Czy mnie rozebrałaś?!""

To wykrzyknienie wyraża zaskoczenie i ewentualny niepokój osoby, która odkrywa, że została rozebrana przez kogoś innego."|Co to?! Rozebrałeś mnie?!
Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.|Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.|"""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligerczykiem."""|"""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silna. Musisz być z Skelligów.""

To tłumaczenie oddaje sens oryginalnego zdania, używając bardziej naturalnych i idiomatycznych zwrotów w języku polskim. Warto zauważyć, że ""być z Skelligów"" odnosi się do pochodzenia lub przynależności do grupy Skelligów, co jest specyficzne dla kontekstu książki ""Wichry wojny"" George'a R.R. Martina."|Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być ze Skelligera.|"""Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być ze Skelligera."""|Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligrem.|"Oto tłumaczenie podanego zdania na język polski:

""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.""

To zdanie jest dosyć bezpośrednie i emocjonalne, zachęcające kogoś do odzyskania siły i pewności siebie w obliczu trudnej sytuacji lub wyzwania. Określenie ""Skelligier"" prawdopodobnie odnosi się do postaci lub grupy ludzi z fikcyjnego świata, sugerując potrzebę przyjęcia określonych cech charakterystycznych dla tej grupy, takich jak odwaga, determinacja czy siła."|Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silna. Musisz być Skelligerką.
Hmm, I dunno. All those barnacles… and they smell o' fish.|No, nie wiem. Całe w muszlach... I rybą śmierdzą.|"""Hmm, nie wiem. Te wszystkie małże... i pachną rybami.""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego potoczny charakter i odniesienie do zapachu oraz obecności małży (barnacles) w kontekście środowiska morskiego lub portowego."|"Tłumaczenie tego zdania na język polski brzmi: ""Hmm, nie wiem. Te wszystkie małże... i pachną rybami.""

Warto zauważyć, że to zdanie zawiera kilka elementów charakterystycznych dla języka angielskiego, które mogą być trudne do dokładnego przetłumaczenia na inny język:

1. ""Hmm"" - jest to onomatopeja wyrażająca zamyślenie lub niepewność, która nie ma bezpośredniego odpowiednika w języku polskim.

2. ""I dunno"" - to potoczne wyrażenie oznaczające ""nie wiem"", które również nie ma dokładnego odpowiednika w języku polskim. Czasem można je oddać jako ""Nie mam pojęcia"" lub ""Nie orientuję się"".

3. ""Barnacles"" - dosłownie oznacza ""skorupiaki"", ale w tym kontekście odnosi się do małży, które są przyczepione do skał i statków. W języku polskim używamy słowa ""małże"".

4. ""Smell o' fish"" - to potoczne określenie zapachu ryb. W języku polskim powiemy raczej ""pachnie rybami"" lub ""mają zapach ryb"".

Ogólnie rzecz biorąc, tłumaczenie to stara się oddać sens oryginalnego zdania, jednocześnie dostosowując je do norm językowych i kulturowych języka polskiego."|Hmm, nie wiem. Te wszystkie małże... i pachną rybami.|"""Hmm, nie wiem. Te wszystkie pąkle... i śmierdzą rybami."""|Hmm, nie wiem. Te wszystkie skorupiaki... i śmierdzą rybami.|"Oto tłumaczenie tego zdania na język polski:

""Hmm, nie wiem. Te wszystkie małże... i tak śmierdzą rybami.""

To tłumaczenie zachowuje sens oryginalnego zdania, oddając jego potoczny charakter i odniesienie do zapachu małży. Warto zauważyć, że ""barnacles"" (małże) zostało przetłumaczone jako ""małże"", co jest najbliższym odpowiednikiem w języku polskim. Dodatkowo, fraza ""smell o' fish"" została przełożona jako ""śmierdzą rybami"", co dokładnie oddaje znaczenie oryginału."|Hmm, nie wiem. Te wszystkie skorupiaki... i śmierdzą rybami.
Don't exaggerate. It's just--|Nie przesadzaj, to przecież tylko...|"""Nie przesadzaj. To po prostu...""

To tłumaczenie odzwierciedla oryginalne zdanie w języku angielskim, zachowując jego znaczenie i strukturę gramatyczną. Warto zauważyć, że to zdanie jest niekompletne, ponieważ brakuje mu dalszej części, która mogłaby wyjaśnić, co dokładnie mówca chce powiedzieć. Jednak tłumaczenie samego początku zdania daje pełny sens w języku polskim."|Nie przesadzaj. To po prostu --|Nie przesadzaj. To po prostu--|"""Nie przesadzaj. To po prostu--"""|Nie przesadzaj. To po prostu--|"""Nie przesadzaj. To po prostu--""

To zdanie w języku angielskim jest niepełne i wydaje się być częścią dłuższej wypowiedzi, która została przerwana lub urwana. W języku polskim tłumaczenie będzie brzmiało podobnie:

""Nie przesadzaj. To po prostu--""

Warto zauważyć, że to zdanie może być użyte jako początek dłuższej rozmowy lub wyjaśnienia, które nie zostało tutaj przedstawione w całości."|Nie przesadzaj. To po prostu--
