|speaker_gender|listener_gender|en_text|pl_text|cot|cot_few_shot
0|mężczyzna|kobieta|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrą artystką?|Jestem najlepszym artystą, czy ty jesteś dobrą artystką?|Jestem najlepszym artystą. A Ty, czy jesteś dobrą artystką?
1|kobieta|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrym artystą?|Jestem najlepszą artystką, czy ty jesteś dobrym artystą?|Jestem najlepszą artystką, a ty jesteś dobrym artystą?
2|mężczyzna|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrym artystą?|Jestem najlepszym artystą, czy ty jesteś dobrym artystą?|Jestem najlepszym artystą, a ty jesteś dobrym artystą?
3|kobieta|kobieta|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrą artystką?|Jestem najlepszą artystką. Czy ty jesteś dobrą artystką?|Jestem najlepszą artystką, a ty? Jesteś dobra w tym, co robisz?
4|mężczyzna|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłeś?|Prawie go zabiłem, i co ty zrobiłeś?|Niemal go zabiłem, a co ty zrobiłeś?
5|mężczyzna|kobieta|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłaś?|Prawie go zabiłem, a co ty zrobiłaś?|Prawie go zabiłem, a co ty zrobiłaś?
6|kobieta|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłeś?|Prawie go zabiłam, i co ty zrobiłeś?|Prawie go zabiłam, i co pan zrobił?
7|kobieta|kobieta|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłaś?|Prawie go zabiłam, a co ty zrobiłaś?|Pani
8|kobieta|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłaś mi farby|Chciałam pomalować moje ściany, ale nie pożyczyłaś mi farby.|Chciałam pomalować nasze wspólne ściany, ale niestety nie pożyczyła mi pani farby.
9|kobieta|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałam pomalować moje ściany, ale nie pożyczyłeś mi farby.|Chciałam pomalować nasze ściany, ale zapomniałeś pożyczyć mi farby?
10|mężczyzna|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłaś mi farby|Chciałem pomalować moje ściany, ale ty nie pożyczyłaś mi farby.|Chciałem pomalować nasze ściany, ale ty nie pożyczyłaś mi farby.
11|mężczyzna|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałem pomalować moje ściany, ale ty nie pożyczyłeś mi farby.|Chciałem pomalować ściany, ale nie dałeś mi farby.
12|mężczyzna|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, a ty dałaś radę naprawić swój rower?|Naprawiłem samochód, czy udało ci się naprawić swój rower?
13|kobieta|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Czy udało Ci się naprawić Twój rower? Ja naprawiłam swój samochód.|Naprawiłam samochód, proszę pana, a czy udało się panu naprawić rower?
