en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
So be it.|Niech będzie.|"Tak niech będzie.

To tłumaczenie jest dosłowne i oddaje znaczenie oryginalnego wyrażenia ""So be it"" w języku angielskim, które może być używane jako potwierdzenie, akceptacja lub zgoda na coś."|Niech tak będzie.|Tak niech będzie.|Niech tak będzie.
A year now you've promised to write somethin' for me.|Od roku obiecujesz, że napiszesz piosnkę dla mnie.|"Tłumaczenie na język polski:

""Już rok obiecujesz, że coś dla mnie napiszesz.""

To tłumaczenie zachowuje znaczenie oryginalnego zdania w języku angielskim i jest poprawne gramatycznie w języku polskim."|Już rok obiecujesz mi coś napisać.|Już rok obiecujesz, że coś dla mnie napiszesz.|Minął już rok, odkąd obiecałeś napisać coś dla mnie.
Freya watch over you.|Niech Freyja nad wami czuwa.|"Tłumaczenie tego zdania na język polski brzmi:

""Freya czuwa nad tobą.""

To wyrażenie może być używane w różnych kontekstach, często w odniesieniu do ochrony lub opieki duchowej. ""Freya"" to imię nordyckiej bogini miłości, magii i wojny, co dodaje temu zwrotowi pewną mistyczną aurę. W zależności od kontekstu, może to oznaczać dosłowne poczucie bezpieczeństwa lub bardziej metaforyczną opiekę."|Freya czuwa nad tobą.|Freya czuwa nad tobą.|Freya czuwa nad tobą.
You see? We're just a step away from learning the truth.|No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.|"Oto tłumaczenie na język polski:

""Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.""

To zdanie wyraża optymizm i nadzieję, sugerując, że rozwiązanie lub pełne zrozumienie jakiegoś problemu jest bardzo blisko. Może być używane w różnych kontekstach, gdzie chce się podkreślić postęp lub zbliżenie do celu."|Widzisz? Jesteśmy zaledwie krok od poznania prawdy.|Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.|Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.
Mhm. See you there.|Widzimy się na miejscu.|"Tłumaczenie tego krótkiego dialogu na język polski brzmi następująco:

Mhm. Do zobaczenia tam.

Warto zauważyć, że ""Mhm"" to dźwięk potwierdzenia lub zgody, który może być użyty w różnych kontekstach, aby wyrazić akceptację lub zrozumienie. W języku polskim często odpowiada mu słowo ""tak"", ale może też być użyte samodzielnie jako krótka forma potwierdzenia."|Mhm. Do zobaczenia tam.|Do zobaczenia tam.|Hmm. Do zobaczenia tam.
Sorry, just don't believe your little tale.|Nie wierzę w twoją historyjkę.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|Przepraszam, po prostu nie wierzę w twoją małą opowieść.|Wybacz, po prostu nie wierzę twojej małej opowieści.
What's this?! Did you undress me?!|Hola, hola! Rozebrałeś mnie?!|"Tłumaczenie tego dialogu na język polski brzmi następująco:

""Co to? Rozebrałaś mnie?""

To dosłowne tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Warto jednak pamiętać, że w języku polskim można by użyć bardziej naturalnych form, takich jak:

""Ojej! Czy naprawdę mnie rozebrałaś?""
lub
""Ale jak to się stało? Rozebrałaś mnie?""

Wybór konkretnej formy zależy od kontekstu i relacji między osobami prowadzącymi tę rozmowę."|Co to?! Czy mnie rozebrałeś?!|"Co to? Rozebrałaś mnie?

Alternatywne wersje:
Ojej! Czy naprawdę mnie rozebrałaś?
Ale jak to się stało? Rozebrałaś mnie?"|Co to jest?! Czy mnie rozebrałeś/rozebrałaś?!
Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.|Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.|"Oto tłumaczenie na język polski:

""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.""

To zdanie wydaje się pochodzić z kontekstu literackiego lub filmowego, prawdopodobnie z serii ""Pieśń Lodu i Ognia"" George'a R.R. Martina lub jej adaptacji telewizyjnej ""Gra o Tron"". W tym uniwersum Skelligierowie są jednym z rodów walczących o władzę nad kontynentem Westeros. Zdanie sugeruje potrzebę odwagi, siły charakteru i determinacji w obliczu trudności."|Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być ze Skelligera.|Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.|Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.
Hmm, I dunno. All those barnacles… and they smell o' fish.|No, nie wiem. Całe w muszlach... I rybą śmierdzą.|"Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.

To tłumaczenie oddaje sens oryginalnego zdania, zachowując jego potoczny charakter i odniesienie do zapachu krabów (które są często nazywane ""barnacles"" w języku angielskim). Warto zauważyć, że w języku polskim użyto słowa ""kraby"", które jest bardziej odpowiednie niż dosłowne tłumaczenie ""barnacles"". Ponadto, fraza ""pachną rybami"" jest naturalnym sposobem wyrażenia zapachu krabów w języku polskim."|Hmm, nie wiem. Te wszystkie pąkle... i śmierdzą rybami.|Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.|Hmm, nie wiem. Te wszystkie skorupiaki... i śmierdzą rybami.
Don't exaggerate. It's just--|Nie przesadzaj, to przecież tylko...|"Nie przesadzaj. To po prostu --

Wygląda na to, że zdanie zostało urwane i brakuje dalszej części. Czy mógłbyś podać pełne zdanie lub kontekst, w którym ma być użyte? Dzięki temu będę mogła lepiej zrozumieć intencję i dokładnie przetłumaczyć całe wyrażenie."|Nie przesadzaj. To po prostu--|"Nie przesadzaj. To po prostu --

Proszę pamiętać, że to tłumaczenie jest niekompletne ze względu na brakującą część oryginalnego zdania."|Nie przesadzaj. To po prostu--
