|speaker_gender|listener_gender|en_text|pl_text|chain1
0|mężczyzna|kobieta|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrą artystką?|Jestem najlepszą artystką, a ty jesteś dobrą artystką?
1|kobieta|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrym artystą?|Jestem najlepszym artystą, a ty jesteś dobrym artystą?
2|mężczyzna|mężczyzna|I am the best artist, are you a good artist?|Jestem najlepszym artystą, czy ty jesteś dobrym artystą?|Jestem najlepszym artystą, a ty jesteś dobrym artystą?
3|kobieta|kobieta|I am the best artist, are you a good artist?|Jestem najlepszą artystką, czy ty jesteś dobrą artystką?|Jestem najlepszą artystką, a ty jesteś dobrą artystką?
4|mężczyzna|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłeś?|Prawie go zabiłem, a co ty zrobiłeś?
5|mężczyzna|kobieta|I almost killed him, and what did you do?|Prawie go zabiłem, a ty co zrobiłaś?|Prawie go zabiłam, a co ty zrobiłaś?
6|kobieta|mężczyzna|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłeś?|I almost killed him, and what did you do? → Prawie go zabiłem, a co ty zrobiłeś?
7|kobieta|kobieta|I almost killed him, and what did you do?|Prawie go zabiłam, a ty co zrobiłaś?|Prawie go zabiłam, a co ty zrobiłaś?
8|kobieta|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłaś mi farby|Chciałam pomalować ściany, ale nie pożyczyłaś mi farby.
9|kobieta|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałam pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałam pomalować ściany, ale nie pożyczyłeś mi farby.
10|mężczyzna|kobieta|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłaś mi farby|
11|mężczyzna|mężczyzna|I wanted to paint my walls but you didn't borrow me paint|Chciałem pomalować moje ściany ale nie pożyczyłeś mi farby|Chciałem pomalować ściany, ale nie pożyczyłeś mi farby.
12|mężczyzna|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?
13|kobieta|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?
14|mężczyzna|mężczyzna|I fixed the car, did you manage to fix your bike?|Naprawiłem samochód, czy udało ci się naprawić rower?|Naprawiłem samochód, czy udało ci się naprawić rower?
15|kobieta|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy udało ci się naprawić rower?
16|mężczyzna|kobieta|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłaś swoją?|Przeczytałam całą książkę, skończyłaś już swoją?
17|kobieta|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłeś swoją?|Przeczytałem całą książkę, skończyłeś już swoją?
18|mężczyzna|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłeś swoją?|Przeczytałem całą książkę, skończyłeś już swoją?
19|kobieta|kobieta|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłaś swoją?|Przeczytałam całą książkę, skończyłaś już swoją?
20|mężczyzna|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłaś napoje?|Ugotowałam kolację, czy przyniosłaś napoje?
21|kobieta|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłeś napoje?|Przygotowałam kolację, czy przyniosłeś napoje?
