en_text|pl_text|result_one_shot|translation_one_shot|result_three_shot|translation_three_shot
So be it.|Niech będzie.|"Zdanie po angielsku: So be it.

Tłumaczenie: [Niech tak będzie.]"|Niech tak będzie.|"Zdanie po angielsku: So be it.

Tłumaczenie: [Niech tak będzie.]"|Niech tak będzie.
A year now you've promised to write somethin' for me.|Od roku obiecujesz, że napiszesz piosnkę dla mnie.|"Zdanie po angielsku: A year now you've promised to write something for me.

Tłumaczenie: [Od roku obiecujesz, że coś dla mnie napiszesz.]"|Od roku obiecujesz, że coś dla mnie napiszesz.|Tłumaczenie: [Minął już rok odkąd obiecałeś napisać coś dla mnie.]|Minął już rok odkąd obiecałeś napisać coś dla mnie.
Freya watch over you.|Niech Freyja nad wami czuwa.|"Zdanie po angielsku: Freya watch over you.

Tłumaczenie: [Freja czuwa nad tobą.]

Warto zauważyć, że to zdanie jest nieco niepoprawne gramatycznie w języku angielskim. Poprawna forma mogłaby brzmieć ""Freya watches over you"" (Freja cię strzeże). Jednak zgodnie z instrukcją, przetłumaczyłem dokładnie tak, jak zostało podane."|Freja czuwa nad tobą.|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Freya watch over you.

Tłumaczenie: [Freya czuwa nad tobą.]

Warto zauważyć, że w tym kontekście ""watch over"" może być rozumiane jako ""opiekuje się tobą"" lub ""chroni cię"". W języku polskim często używamy zwrotu ""czuwa nad tobą"", aby wyrazić podobne znaczenie."|Freya czuwa nad tobą.
You see? We're just a step away from learning the truth.|No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.|"Zdanie po angielsku: You see? We're just a step away from learning the truth.

Tłumaczenie: [Widzisz? Jesteśmy tylko o krok od poznania prawdy.]"|Widzisz? Jesteśmy tylko o krok od poznania prawdy.|Tłumaczenie: [Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.]|Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.
Mhm. See you there.|Widzimy się na miejscu.|"Zdanie po angielsku: Mhm. See you there.

Tłumaczenie: [Mhm. Do zobaczenia tam.]"|Mhm. Do zobaczenia tam.|"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: Mhm. See you there.
Tłumaczenie: [Mhm. Do zobaczenia tam.]

To krótkie ""Mhm"" jest często używane jako potwierdzenie lub akceptacja czegoś, co zostało powiedziane, natomiast ""See you there"" oznacza ""Do zobaczenia tam"", czyli pożegnanie się z osobą przed rozstaniem, sugerując spotkanie w określonym miejscu."|Mhm. Do zobaczenia tam.
Sorry, just don't believe your little tale.|Nie wierzę w twoją historyjkę.|"Zdanie po angielsku: Sorry, just don't believe your little tale.

Tłumaczenie: [Przepraszam, po prostu nie wierzę twojej małej opowieści.]

Warto zauważyć, że to tłumaczenie może być interpretowane jako nieco ostrzejsze niż oryginalne zdanie w języku angielskim. W zależności od kontekstu i relacji między rozmówcami, mogłoby być uznane za bardziej bezpośrednie lub nawet lekceważące."|Przepraszam, po prostu nie wierzę twojej małej opowieści.|Tłumaczenie: [Przepraszam, ale po prostu nie wierzę twojej małej opowieści.]|Przepraszam, ale po prostu nie wierzę twojej małej opowieści.
What's this?! Did you undress me?!|Hola, hola! Rozebrałeś mnie?!|"Zdanie po angielsku: What's this?! Did you undress me?!

Tłumaczenie: [Co to jest?! Czy mnie rozebrałaś?!]"|Co to jest?! Czy mnie rozebrałaś?!|Tłumaczenie: [Co to jest?! Czy mnie rozebrałaś?!]|Co to jest?! Czy mnie rozebrałaś?!
Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.|Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.|"Zdanie po angielsku: Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.

Tłumaczenie: [Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być ze Skelligów.]"|Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być ze Skelligów.|Tłumaczenie: [Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.]|Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.
Hmm, I dunno. All those barnacles… and they smell o' fish.|No, nie wiem. Całe w muszlach... I rybą śmierdzą.|"Zdanie po angielsku: Hmm, I dunno. All those barnacles… and they smell o' fish.

Tłumaczenie: [Hmm, nie wiem. Wszystkie te skorupiaki... i one pachną rybami.]"|Hmm, nie wiem. Wszystkie te skorupiaki... i one pachną rybami.|"Oto tłumaczenie podanego zdania na język polski:

[Hmm, nie wiem. Te wszystkie małże... i śmierdzą rybami.]

Wyjaśnienie:
- ""Hmm"" to dźwięk wyrażający zamyślenie lub niepewność.
- ""I dunno"" to potoczne wyrażenie oznaczające ""nie wiem"".
- ""Barnacles"" to małże (w kontekście morskim).
- ""And they smell o' fish"" oznacza ""i śmierdzą rybami""."|Hmm, nie wiem. Te wszystkie małże... i śmierdzą rybami.
Don't exaggerate. It's just--|Nie przesadzaj, to przecież tylko...|"Zdanie po angielsku: Don't exaggerate. It's just--

Tłumaczenie: [Nie przesadzaj. To po prostu--]"|Nie przesadzaj. To po prostu--|Tłumaczenie: [Nie przesadzaj. To po prostu--]|Nie przesadzaj. To po prostu--
