en_text,pl_text,default,no_details,translation_extraction_llm,translation_extraction_brackets,chrf_default,bleu_default,bertscore_default,comet_default,chrf_no_details,bleu_no_details,bertscore_no_details,comet_no_details,chrf_translation_extraction_llm,bleu_translation_extraction_llm,bertscore_translation_extraction_llm,comet_translation_extraction_llm,chrf_translation_extraction_brackets,bleu_translation_extraction_brackets,bertscore_translation_extraction_brackets,comet_translation_extraction_brackets
So be it.,Niech będzie.,"Tak niech będzie.

To tłumaczenie jest dosłowne i oddaje znaczenie oryginalnego wyrażenia ""So be it"" w języku angielskim, które może być używane jako potwierdzenie, akceptacja lub zgoda na coś.",Niech tak będzie.,Tak niech będzie.,Niech tak będzie.,0.34096782195995257,0.006471824245088331,0.6516391038894653,0.5926163792610168,0.6730543568903075,0.13512001548070346,0.9474651217460632,0.9604095816612244,0.8630929098378887,0.11362193664674995,0.9285282492637634,0.9603573679924011,0.6730543568903075,0.13512001548070346,0.9474651217460632,0.9604095816612244
A year now you've promised to write somethin' for me.,"Od roku obiecujesz, że napiszesz piosnkę dla mnie.","Tłumaczenie na język polski:

""Już rok obiecujesz, że coś dla mnie napiszesz.""

To tłumaczenie zachowuje znaczenie oryginalnego zdania w języku angielskim i jest poprawne gramatycznie w języku polskim.",Już rok obiecujesz mi coś napisać.,"Już rok obiecujesz, że coś dla mnie napiszesz.","Minął już rok, odkąd obiecałeś napisać coś dla mnie.",0.46668389621909584,0.015718877363021206,0.720068097114563,0.6005298495292664,0.304898804326033,0.0,0.7773565053939819,0.7656481862068176,0.5883392699306637,0.06500593260343691,0.8840184211730957,0.8724539279937744,0.31599857741184995,0.050712153369465586,0.7718170881271362,0.8385061621665955
Freya watch over you.,Niech Freyja nad wami czuwa.,"Tłumaczenie tego zdania na język polski brzmi:

""Freya czuwa nad tobą.""

To wyrażenie może być używane w różnych kontekstach, często w odniesieniu do ochrony lub opieki duchowej. ""Freya"" to imię nordyckiej bogini miłości, magii i wojny, co dodaje temu zwrotowi pewną mistyczną aurę. W zależności od kontekstu, może to oznaczać dosłowne poczucie bezpieczeństwa lub bardziej metaforyczną opiekę.",Freya czuwa nad tobą.,Freya czuwa nad tobą.,Freya czuwa nad tobą.,0.15694853833885639,0.0032047574588556275,0.6259849071502686,0.6561652421951294,0.26990779943043564,0.06257106818159155,0.802811324596405,0.9302274584770203,0.26990779943043564,0.06257106818159155,0.802811324596405,0.9302274584770203,0.26990779943043564,0.06257106818159155,0.802811324596405,0.9302274584770203
You see? We're just a step away from learning the truth.,"No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.","Oto tłumaczenie na język polski:

""Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.""

To zdanie wyraża optymizm i nadzieję, sugerując, że rozwiązanie lub pełne zrozumienie jakiegoś problemu jest bardzo blisko. Może być używane w różnych kontekstach, gdzie chce się podkreślić postęp lub zbliżenie do celu.",Widzisz? Jesteśmy zaledwie krok od poznania prawdy.,Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.,Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.,0.29423286096162704,0.008647922020227043,0.6868367195129395,0.6770681738853455,0.3009265249145468,0.039447492477737316,0.8001084923744202,0.9217550158500671,0.3035660358609747,0.04037102236950707,0.7893146872520447,0.9279666543006897,0.302959122623705,0.04037102236950707,0.804166853427887,0.9206579923629761
Mhm. See you there.,Widzimy się na miejscu.,"Tłumaczenie tego krótkiego dialogu na język polski brzmi następująco:

Mhm. Do zobaczenia tam.

Warto zauważyć, że ""Mhm"" to dźwięk potwierdzenia lub zgody, który może być użyty w różnych kontekstach, aby wyrazić akceptację lub zrozumienie. W języku polskim często odpowiada mu słowo ""tak"", ale może też być użyte samodzielnie jako krótka forma potwierdzenia.",Mhm. Do zobaczenia tam.,Do zobaczenia tam.,Hmm. Do zobaczenia tam.,0.11106015787723388,0.003522208809549654,0.6030573844909668,0.48109859228134155,0.0837719298245615,0.0,0.7214632630348206,0.7143959999084473,0.07698778436105631,0.0,0.7034245729446411,0.7749369144439697,0.0837719298245615,0.0,0.714309811592102,0.7431405186653137
"Sorry, just don't believe your little tale.",Nie wierzę w twoją historyjkę.,"Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Wybacz, po prostu nie wierzę twojej małej opowieści.",0.4866005198618509,0.11868405219520975,0.829434335231781,0.8851299285888672,0.4866005198618509,0.11868405219520975,0.829434335231781,0.885129988193512,0.4866005198618509,0.11868405219520975,0.829434335231781,0.885129988193512,0.33497044216318944,0.02777619034011792,0.7901351451873779,0.8540813326835632
What's this?! Did you undress me?!,"Hola, hola! Rozebrałeś mnie?!","Tłumaczenie tego dialogu na język polski brzmi następująco:

""Co to? Rozebrałaś mnie?""

To dosłowne tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Warto jednak pamiętać, że w języku polskim można by użyć bardziej naturalnych form, takich jak:

""Ojej! Czy naprawdę mnie rozebrałaś?""
lub
""Ale jak to się stało? Rozebrałaś mnie?""

Wybór konkretnej formy zależy od kontekstu i relacji między osobami prowadzącymi tę rozmowę.",Co to?! Czy mnie rozebrałeś?!,"Co to? Rozebrałaś mnie?

Alternatywne wersje:
Ojej! Czy naprawdę mnie rozebrałaś?
Ale jak to się stało? Rozebrałaś mnie?",Co to jest?! Czy mnie rozebrałeś/rozebrałaś?!,0.18754590960416187,0.0,0.6129612326622009,0.6108893156051636,0.3798087269113144,0.0,0.8115312457084656,0.8980537056922913,0.3238860852555356,0.0,0.7024710178375244,0.7357476353645325,0.36965584310907057,0.0,0.7866238355636597,0.7744422554969788
"Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.","Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.","Oto tłumaczenie na język polski:

""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.""

To zdanie wydaje się pochodzić z kontekstu literackiego lub filmowego, prawdopodobnie z serii ""Pieśń Lodu i Ognia"" George'a R.R. Martina lub jej adaptacji telewizyjnej ""Gra o Tron"". W tym uniwersum Skelligierowie są jednym z rodów walczących o władzę nad kontynentem Westeros. Zdanie sugeruje potrzebę odwagi, siły charakteru i determinacji w obliczu trudności.","Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być ze Skelligera.","Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.","Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.",0.47851226410623954,0.07865447890488739,0.7080004215240479,0.7466234564781189,0.6670910303367461,0.4405136963304348,0.905489981174469,0.8458576202392578,0.6321669469673293,0.43060929782323654,0.8894986510276794,0.9015880227088928,0.5977761660882264,0.42914185496987844,0.8777856826782227,0.9096550941467285
"Hmm, I dunno. All those barnacles… and they smell o' fish.","No, nie wiem. Całe w muszlach... I rybą śmierdzą.","Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.

To tłumaczenie oddaje sens oryginalnego zdania, zachowując jego potoczny charakter i odniesienie do zapachu krabów (które są często nazywane ""barnacles"" w języku angielskim). Warto zauważyć, że w języku polskim użyto słowa ""kraby"", które jest bardziej odpowiednie niż dosłowne tłumaczenie ""barnacles"". Ponadto, fraza ""pachną rybami"" jest naturalnym sposobem wyrażenia zapachu krabów w języku polskim.","Hmm, nie wiem. Te wszystkie pąkle... i śmierdzą rybami.","Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.","Hmm, nie wiem. Te wszystkie skorupiaki... i śmierdzą rybami.",0.19117706878106114,0.006880169173507777,0.6339297294616699,0.5565613508224487,0.3968087755536656,0.050712153369465586,0.841719388961792,0.8790218234062195,0.30396988194602553,0.050712153369465586,0.809640645980835,0.7632348537445068,0.3958485608349953,0.050712153369465586,0.8273947834968567,0.8143042922019958
Don't exaggerate. It's just--,"Nie przesadzaj, to przecież tylko...","Nie przesadzaj. To po prostu --

Wygląda na to, że zdanie zostało urwane i brakuje dalszej części. Czy mógłbyś podać pełne zdanie lub kontekst, w którym ma być użyte? Dzięki temu będę mogła lepiej zrozumieć intencję i dokładnie przetłumaczyć całe wyrażenie.",Nie przesadzaj. To po prostu--,"Nie przesadzaj. To po prostu --

Proszę pamiętać, że to tłumaczenie jest niekompletne ze względu na brakującą część oryginalnego zdania.",Nie przesadzaj. To po prostu--,0.32187993573288004,0.004503778123700044,0.6826387643814087,0.5070489645004272,0.4095658758113638,0.05372849659117709,0.8149694800376892,0.8827332854270935,0.37955010858559074,0.011451997463067555,0.7239233255386353,0.5986080765724182,0.4095658758113638,0.05372849659117709,0.8149694800376892,0.8827332854270935
