default,no_details,translation_extraction_llm,translation_extraction_brackets,chrf_default,bleu_default,bertscore_default,chrf_translation_extraction_llm,bleu_translation_extraction_llm,bertscore_translation_extraction_llm,chrf_translation_extraction_brackets,bleu_translation_extraction_brackets,bertscore_translation_extraction_brackets
"Tak niech będzie.

To tłumaczenie jest dosłowne i oddaje znaczenie oryginalnego wyrażenia ""So be it"" w języku angielskim, które może być używane jako potwierdzenie, akceptacja lub zgoda na coś.",Niech tak będzie.,Tak niech będzie.,Niech tak będzie.,0.24696188773095162,0.006471824245088331,0.6628124117851257,0.5014679764679765,0.11362193664674995,0.9355863928794861,1.0,0.5623413251903491,1.0
"Tłumaczenie na język polski:

""Już rok obiecujesz, że coś dla mnie napiszesz.""

To tłumaczenie zachowuje znaczenie oryginalnego zdania w języku angielskim i jest poprawne gramatycznie w języku polskim.",Już rok obiecujesz mi coś napisać.,"Już rok obiecujesz, że coś dla mnie napiszesz.","Minął już rok, odkąd obiecałeś napisać coś dla mnie.",0.43213078184325754,0.007987276352377327,0.6996962428092957,0.6326473271300858,0.06500593260343691,0.8461759090423584,0.4205697581502152,0.023980296761827107,0.8146597743034363
"Tłumaczenie tego zdania na język polski brzmi:

""Freya czuwa nad tobą.""

To wyrażenie może być używane w różnych kontekstach, często w odniesieniu do ochrony lub opieki duchowej. ""Freya"" to imię nordyckiej bogini miłości, magii i wojny, co dodaje temu zwrotowi pewną mistyczną aurę. W zależności od kontekstu, może to oznaczać dosłowne poczucie bezpieczeństwa lub bardziej metaforyczną opiekę.",Freya czuwa nad tobą.,Freya czuwa nad tobą.,Freya czuwa nad tobą.,0.3275085666639082,0.006777236886581492,0.6832559704780579,1.0,1.0,0.9999998807907104,1.0,1.0,0.9999998807907104
"Oto tłumaczenie na język polski:

""Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.""

To zdanie wyraża optymizm i nadzieję, sugerując, że rozwiązanie lub pełne zrozumienie jakiegoś problemu jest bardzo blisko. Może być używane w różnych kontekstach, gdzie chce się podkreślić postęp lub zbliżenie do celu.",Widzisz? Jesteśmy zaledwie krok od poznania prawdy.,Widzisz? Jesteśmy zaledwie o krok od poznania prawdy.,Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.,0.6226762038418615,0.025449372629507847,0.7470021843910217,0.9372570927282444,0.5,0.97776198387146,0.7659284359173583,0.4111336169005197,0.9476764798164368
"Tłumaczenie tego krótkiego dialogu na język polski brzmi następująco:

Mhm. Do zobaczenia tam.

Warto zauważyć, że ""Mhm"" to dźwięk potwierdzenia lub zgody, który może być użyty w różnych kontekstach, aby wyrazić akceptację lub zrozumienie. W języku polskim często odpowiada mu słowo ""tak"", ale może też być użyte samodzielnie jako krótka forma potwierdzenia.",Mhm. Do zobaczenia tam.,Do zobaczenia tam.,Hmm. Do zobaczenia tam.,0.3795787383075317,0.043839733901574855,0.6501445174217224,0.7873367743092522,0.40293516672844226,0.8387163877487183,0.8846075564728816,0.3976353643835253,0.9461508393287659
"Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Przepraszam, po prostu nie wierzę w twoją małą opowieść.","Wybacz, po prostu nie wierzę twojej małej opowieści.",1.0,1.0,1.0,1.0,1.0,1.0,0.5111973661617684,0.3050975216056289,0.8590571284294128
"Tłumaczenie tego dialogu na język polski brzmi następująco:

""Co to? Rozebrałaś mnie?""

To dosłowne tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Warto jednak pamiętać, że w języku polskim można by użyć bardziej naturalnych form, takich jak:

""Ojej! Czy naprawdę mnie rozebrałaś?""
lub
""Ale jak to się stało? Rozebrałaś mnie?""

Wybór konkretnej formy zależy od kontekstu i relacji między osobami prowadzącymi tę rozmowę.",Co to?! Czy mnie rozebrałeś?!,"Co to? Rozebrałaś mnie?

Alternatywne wersje:
Ojej! Czy naprawdę mnie rozebrałaś?
Ale jak to się stało? Rozebrałaś mnie?",Co to jest?! Czy mnie rozebrałeś/rozebrałaś?!,0.2447200573663898,0.003384129602542209,0.649407684803009,0.46537503721303347,0.014216645907653848,0.750618040561676,0.7838195423374259,0.09554427922043669,0.9209151268005371
"Oto tłumaczenie na język polski:

""Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.""

To zdanie wydaje się pochodzić z kontekstu literackiego lub filmowego, prawdopodobnie z serii ""Pieśń Lodu i Ognia"" George'a R.R. Martina lub jej adaptacji telewizyjnej ""Gra o Tron"". W tym uniwersum Skelligierowie są jednym z rodów walczących o władzę nad kontynentem Westeros. Zdanie sugeruje potrzebę odwagi, siły charakteru i determinacji w obliczu trudności.","Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być ze Skelligera.","Weź się w garść. Jeśli mamy mieć jakąkolwiek szansę, musisz być silny. Musisz być Skelligierem.","Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.",0.6408600291003189,0.16236590101582973,0.736095666885376,0.9015085386384151,0.8657099140685622,0.9670790433883667,0.7429035564326596,0.6783686168526631,0.9267346262931824
"Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.

To tłumaczenie oddaje sens oryginalnego zdania, zachowując jego potoczny charakter i odniesienie do zapachu krabów (które są często nazywane ""barnacles"" w języku angielskim). Warto zauważyć, że w języku polskim użyto słowa ""kraby"", które jest bardziej odpowiednie niż dosłowne tłumaczenie ""barnacles"". Ponadto, fraza ""pachną rybami"" jest naturalnym sposobem wyrażenia zapachu krabów w języku polskim.","Hmm, nie wiem. Te wszystkie pąkle... i śmierdzą rybami.","Hmm, nie wiem. Te wszystkie kraby... i pachną rybami.","Hmm, nie wiem. Te wszystkie skorupiaki... i śmierdzą rybami.",0.38556765413960764,0.059517697779473064,0.6700186729431152,0.6318933374788155,0.4854917717073234,0.9333442449569702,0.8275391357199653,0.5969491792019646,0.9583136439323425
"Nie przesadzaj. To po prostu --

Wygląda na to, że zdanie zostało urwane i brakuje dalszej części. Czy mógłbyś podać pełne zdanie lub kontekst, w którym ma być użyte? Dzięki temu będę mogła lepiej zrozumieć intencję i dokładnie przetłumaczyć całe wyrażenie.",Nie przesadzaj. To po prostu--,"Nie przesadzaj. To po prostu --

Proszę pamiętać, że to tłumaczenie jest niekompletne ze względu na brakującą część oryginalnego zdania.",Nie przesadzaj. To po prostu--,0.5522172573860038,0.0560569929753793,0.7154520153999329,0.7223085678552947,0.11986062961075741,0.7788732051849365,1.0,1.0,1.0
