en_text,pl_text,result_one_shot,translation_one_shot,result_three_shot,translation_three_shot,chrf_translation_one_shot,bleu_translation_one_shot,bertscore_translation_one_shot,comet_translation_one_shot,chrf_translation_three_shot,bleu_translation_three_shot,bertscore_translation_three_shot,comet_translation_three_shot
So be it.,Niech będzie.,"Zdanie po angielsku: So be it.

Tłumaczenie: [Niech tak będzie.]",Niech tak będzie.,"Zdanie po angielsku: So be it.

Tłumaczenie: [Niech tak będzie.]",Niech tak będzie.,0.6730543568903075,0.13512001548070346,0.9474651217460632,0.9604095816612244,0.6730543568903075,0.13512001548070346,0.9474651217460632,0.9604095816612244
A year now you've promised to write somethin' for me.,"Od roku obiecujesz, że napiszesz piosnkę dla mnie.","Zdanie po angielsku: A year now you've promised to write something for me.

Tłumaczenie: [Od roku obiecujesz, że coś dla mnie napiszesz.]","Od roku obiecujesz, że coś dla mnie napiszesz.",Tłumaczenie: [Minął już rok odkąd obiecałeś napisać coś dla mnie.],Minął już rok odkąd obiecałeś napisać coś dla mnie.,0.7104700943354961,0.3655552228545123,0.9116063117980957,0.8914844393730164,0.3128838360609117,0.050712153369465586,0.7716178894042969,0.8419939875602722
Freya watch over you.,Niech Freyja nad wami czuwa.,"Zdanie po angielsku: Freya watch over you.

Tłumaczenie: [Freja czuwa nad tobą.]

Warto zauważyć, że to zdanie jest nieco niepoprawne gramatycznie w języku angielskim. Poprawna forma mogłaby brzmieć ""Freya watches over you"" (Freja cię strzeże). Jednak zgodnie z instrukcją, przetłumaczyłem dokładnie tak, jak zostało podane.",Freja czuwa nad tobą.,"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Freya watch over you.

Tłumaczenie: [Freya czuwa nad tobą.]

Warto zauważyć, że w tym kontekście ""watch over"" może być rozumiane jako ""opiekuje się tobą"" lub ""chroni cię"". W języku polskim często używamy zwrotu ""czuwa nad tobą"", aby wyrazić podobne znaczenie.",Freya czuwa nad tobą.,0.2539497027961433,0.06257106818159155,0.7778450846672058,0.9318238496780396,0.26990779943043564,0.06257106818159155,0.802811324596405,0.9302274584770203
You see? We're just a step away from learning the truth.,"No właśnie. A teraz jesteśmy krok od tego, żeby poznać prawdę.","Zdanie po angielsku: You see? We're just a step away from learning the truth.

Tłumaczenie: [Widzisz? Jesteśmy tylko o krok od poznania prawdy.]",Widzisz? Jesteśmy tylko o krok od poznania prawdy.,Tłumaczenie: [Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.],Widzisz? Jesteśmy tylko jeden krok od poznania prawdy.,0.29555162976487376,0.04037102236950707,0.8022441267967224,0.9277765154838562,0.302959122623705,0.04037102236950707,0.804166853427887,0.9206579923629761
Mhm. See you there.,Widzimy się na miejscu.,"Zdanie po angielsku: Mhm. See you there.

Tłumaczenie: [Mhm. Do zobaczenia tam.]",Mhm. Do zobaczenia tam.,"Oczywiście! Oto tłumaczenie podanego zdania na język polski:

Zdanie po angielsku: Mhm. See you there.
Tłumaczenie: [Mhm. Do zobaczenia tam.]

To krótkie ""Mhm"" jest często używane jako potwierdzenie lub akceptacja czegoś, co zostało powiedziane, natomiast ""See you there"" oznacza ""Do zobaczenia tam"", czyli pożegnanie się z osobą przed rozstaniem, sugerując spotkanie w określonym miejscu.",Mhm. Do zobaczenia tam.,0.0837719298245615,0.0,0.7214632630348206,0.7143959999084473,0.0837719298245615,0.0,0.7214632630348206,0.7143959999084473
"Sorry, just don't believe your little tale.",Nie wierzę w twoją historyjkę.,"Zdanie po angielsku: Sorry, just don't believe your little tale.

Tłumaczenie: [Przepraszam, po prostu nie wierzę twojej małej opowieści.]

Warto zauważyć, że to tłumaczenie może być interpretowane jako nieco ostrzejsze niż oryginalne zdanie w języku angielskim. W zależności od kontekstu i relacji między rozmówcami, mogłoby być uznane za bardziej bezpośrednie lub nawet lekceważące.","Przepraszam, po prostu nie wierzę twojej małej opowieści.","Tłumaczenie: [Przepraszam, ale po prostu nie wierzę twojej małej opowieści.]","Przepraszam, ale po prostu nie wierzę twojej małej opowieści.",0.32284592267219314,0.02777619034011792,0.7803054451942444,0.8552148342132568,0.3192650210598295,0.023980296761827107,0.7789661884307861,0.8625513315200806
What's this?! Did you undress me?!,"Hola, hola! Rozebrałeś mnie?!","Zdanie po angielsku: What's this?! Did you undress me?!

Tłumaczenie: [Co to jest?! Czy mnie rozebrałaś?!]",Co to jest?! Czy mnie rozebrałaś?!,Tłumaczenie: [Co to jest?! Czy mnie rozebrałaś?!],Co to jest?! Czy mnie rozebrałaś?!,0.3081290594947817,0.0,0.7830235362052917,0.8656660318374634,0.3081290594947817,0.0,0.7830235362052917,0.8656660318374634
"Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.","Weź się w garść. Jeśli mamy mieć jakieś szanse, musisz być silny. Pokaż, że jesteś ze Skellige.","Zdanie po angielsku: Get yourself together. If we're to stand a chance, you need to be strong. You need to be a Skelliger.

Tłumaczenie: [Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być ze Skelligów.]","Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być ze Skelligów.","Tłumaczenie: [Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.]","Weź się w garść. Jeśli mamy mieć szansę, musisz być silny. Musisz być Skelligierczykiem.",0.6139452952070111,0.4409928765478172,0.9008138179779053,0.8838644623756409,0.5977761660882264,0.42914185496987844,0.8777856826782227,0.9096550941467285
"Hmm, I dunno. All those barnacles… and they smell o' fish.","No, nie wiem. Całe w muszlach... I rybą śmierdzą.","Zdanie po angielsku: Hmm, I dunno. All those barnacles… and they smell o' fish.

Tłumaczenie: [Hmm, nie wiem. Wszystkie te skorupiaki... i one pachną rybami.]","Hmm, nie wiem. Wszystkie te skorupiaki... i one pachną rybami.","Oto tłumaczenie podanego zdania na język polski:

[Hmm, nie wiem. Te wszystkie małże... i śmierdzą rybami.]

Wyjaśnienie:
- ""Hmm"" to dźwięk wyrażający zamyślenie lub niepewność.
- ""I dunno"" to potoczne wyrażenie oznaczające ""nie wiem"".
- ""Barnacles"" to małże (w kontekście morskim).
- ""And they smell o' fish"" oznacza ""i śmierdzą rybami"".","Hmm, nie wiem. Te wszystkie małże... i śmierdzą rybami.",0.2979088155155208,0.0446323613785333,0.7893686294555664,0.6720861792564392,0.40091386586565253,0.050712153369465586,0.8323947191238403,0.8414265513420105
Don't exaggerate. It's just--,"Nie przesadzaj, to przecież tylko...","Zdanie po angielsku: Don't exaggerate. It's just--

Tłumaczenie: [Nie przesadzaj. To po prostu--]",Nie przesadzaj. To po prostu--,Tłumaczenie: [Nie przesadzaj. To po prostu--],Nie przesadzaj. To po prostu--,0.4095658758113638,0.05372849659117709,0.8149694800376892,0.8827330470085144,0.4095658758113638,0.05372849659117709,0.8149694800376892,0.8827330470085144
That's right.,Nie zastaniemy.,"Zdanie po angielsku: That's right.

Tłumaczenie: [To jest prawidłowe.]

W tym przypadku, ""That's right"" można również przetłumaczyć jako ""To jest poprawne"", ale ""To jest prawidłowe"" brzmi bardziej naturalnie w kontekście potwierdzania czegoś.",To jest prawidłowe.,"To zdanie jest krótkie i proste, więc jego tłumaczenie na język polski brzmi:

[To prawda.]",To prawda.,0.09411640990588367,0.0,0.6708067059516907,0.5355703830718994,0.037037037037037125,0.0,0.7191104292869568,0.5284372568130493
