en_text|pl_text|bielik_translation_0.0|bielik_translation_0.1|bielik_translation_0.2|bielik_translation_0.3|bielik_translation_0.4|bielik_translation_0.5|bielik_translation_0.6|bielik_translation_0.7|bielik_translation_0.8|bielik_translation_0.9|bielik_translation_1.0
Fire!|Gorze!|Worse!|Worse!|Worse!|Worse!|Worse!|Worst!|Worse!|Horrible!|Horrible!|Horrible!|""" horse!"""
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|I will only listen to this king who kills the god and possesses the goddess.|I will only listen to this king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will only listen to this king who kills the god and possesses the goddess.|I will only listen to this king who kills the god and possesses the goddess.|I will only listen to this king who kills the god and possesses the goddess.|I will only listen to the king who kills the god and possesses the goddess.|I will only listen to this king who kills the god and possesses the goddess.
Britt wasn't lying.|A więc Britt nie kłamała.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt was not lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Brit didn't lie.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.|You don't believe in gods, Lugos.|You don't believe in gods, Lugos.|You don't believe in gods, Lugos.|You do not believe in gods, Lugos.|You do not believe in gods, Lugos.
Where, exactly?|A skąd?|And from where?|And from where?|And from where?|And from where?|And from where?|And from where?|And from where?|And where?|And from where?|And from where?|And where?
Gwent - let's play.|Zagrajmy w gwinta.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play Gwint.|Let's play gwint.|Let's play gwint.
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Time among the living is a moment.|Time among the living is a moment.|Time among the living is a moment.|Time among the living is a fleeting moment.|Time among the living is a moment.|Time among the living is a moment.|Time among the living is a moment.|Time among the living is a fleeting moment.|Time among the living is a moment.|Time among the living is a moment.|Time among the living is a moments.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have collected so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information that we have managed to collect so far, it will push us further...|Perhaps if we organize the information we've managed to collect so far, it will push us forward...
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew you would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew you would come up with something!
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse, writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a stick. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a pole. Either way, I need to know who is behind this.|Firstly, I can persuade the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a wooden stick. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to reverse the charm themselves... Or I can counteract the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.|First of all, I can convince the person who cast the nithing to reverse the charm themselves... Or I can counteract the curse by writing their name on a rod. Either way, I need to know who is behind it.
