en_text|pl_text|bielik_translation_0.0|bielik_translation_0.1|bielik_translation_0.2|bielik_translation_0.3|bielik_translation_0.4|bielik_translation_0.5|bielik_translation_0.6|bielik_translation_0.7|bielik_translation_0.8|bielik_translation_0.9|bielik_translation_1.0
Fire!|Gorze!|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|"""Worse!"""|'Worse!'|'Worse!'
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|I will only listen to the king who kills the god and possesses the goddess.|I will only listen to the king who kills the god and possesses the goddess.|I will only listen to the king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will listen only to that king who kills the god and possesses the goddess.|I will only listen to the king who kills the god and possesses the goddess.|I will only listen to the king who kills the god and possesses the goddess.|"""I will listen only to that king who kills the god and possesses the goddess."""|"""I will only listen to the king who kills the god and possesses the goddess."""|I will only listen to the king who kills the god and possesses the goddess.|I will only obey the king who will kill the god and possess the goddess.
Britt wasn't lying.|A więc Britt nie kłamała.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt was not lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.|So Britt wasn't lying.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|You don't believe in gods, Lugos.|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""|"""You don't believe in gods, Lugos."""
Where, exactly?|A skąd?|"Where from?

(Note: I removed the punctuation and translated the phrase as a question.)"|"""Where from?"""|"""Where from?"""|"""Where from?"""|"Where from?

Tłumaczenie: ""Where from?"" jest najbliższym odpowiednikiem polskiego zwrotu ""A skąd?"" w języku angielskim."|"Where from?

(Tłumaczenie bez dodatkowych wyjaśnień.)"|"""Where from?""

**Tłumaczenie:**
- ""A skąd?"" -> ""Where from?"""|"""And where from?"""|"Where from?

**Samo tłumaczenie:**
""Where from?""

---

**Uwaga:** W tym przypadku ""where from"" można również przetłumaczyć jako ""from where"", co oznacza to samo co ""Where from?"". Obie formy są poprawne i zrozumiałe w języku angielskim."|"Where from?

(Tłumaczyłem dosłownie, bez dodawania dodatkowych wyjaśnień, zgodnie z instrukcją.)"|"Where from?

### Wyjaśnienie krok po kroku:
1. ""A skąd?"" - To jest oryginalne zdanie w języku polskim.
2. Przekształcenie zdania ""A skąd?"" na rzeczownik, który odpowiada znaczeniu pytania o lokalizację lub początek/źródło.
3. W języku angielskim odpowiednikiem takiego pytania będzie ""Where from?"".
4. Tłumaczenie jest bezpośrednie i dokładne, zgodnie z poleceniem nie zawiera żadnych dodatkowych wyjaśnień.

""Where from?"" to standardowe pytanie używane w języku angielskim do zapytania się kogoś o zasób, początek lub miejsce, w tym przypadku odnosząc się do brakującego elementu w danej sytuacji lub historii."
Gwent - let's play.|Zagrajmy w gwinta.|"""Let's play Gwint."""|"""Let's play Gwint."""|"""Let's play Gwint."""|"""Let's play Gwint."""|"""Let's play gwint."""|"""Let's play gwint."""|"""Let's play Gwint."""|"""Let's play gwint."""|Let's play Gwint.|"""Let's play Gwint."""|"""Let's play gwint."""
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Time among the living is a fleeting moment.|Time among the living is a fleeting moment.|"""The time among the living is a moment."""|'Time among the living is a moment.'|Time among the living is a fleeting moment.|'Time among the living is a fleeting moment.'|Time among the living is a fleeting moment.|Time among the living is a fleeting moment.|"""Time among the living is a fleeting moment."""|"""Time among the living is a fleeting moment."""|"""The time among the living is a glimpse."""
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|"""Maybe if we organize the information we've managed to collect so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to collect so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to collect so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to gather so far, it will push us further..."""|"""Maybe if we organize the information we've managed to collect so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to collect so far, it will push us further..."""|"""Maybe if we organize the information we've managed to gather so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to gather so far, it will push us forward..."""|"""Perhaps if we organize the information we've managed to gather so far, it will push us further."""|"""Maybe if we organize the information we've managed to collect so far, it will push us forward..."""|"""Maybe if we organize the information we've managed to gather so far, it will push us forward..."""
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|Exactly! I knew she would come up with something!|"""Exactly! I knew she would come up with something!"""|That's it! I knew you would come up with something.|That's right! I knew she would come up with something.
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Firstly, I can persuade the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can persuade the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|First, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can persuade the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stake. Either way, I need to know who is behind this.|Firstly, I can persuade the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a stick. Either way, I need to know who is behind this.|Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a stick. Either way, I need to know who is behind it.|First, I can convince the person who put a curse to reverse it themselves... Or I can rebound the curse by writing their name on a stake. Either way, I need to know who is behind it.|Firstly, I can persuade the person who cast the nithing to counteract it themselves... Or reflect the curse by writing their name on a stake. Either way, I need to know who is responsible.|First, I can persuade the person who cast the javelin to counter-charm themselves... Or reflect the curse by writing their name on a hazel rod. Either way, I need to know who is responsible for it.
Mhm. Guess I gotta investigate…|Mhm. A więc śledztwo...|Hmm. So the investigation...|Hmm. So the investigation...|Hmm. So the investigation...|Hmm. So the investigation...|Mhm. So the investigation...|Hmm. So the investigation...|Uh-huh. So the investigation...|Ah. So the investigation...|Mhm. So the investigation...|Hmm. So the investigation...|Ah. So the investigation...
