en_text|pl_text|bielik_prompt0_translation|bielik_prompt1_translation|bielik_prompt2_translation|bielik_prompt3_translation|bielik_prompt4_translation|bielik_prompt5_translation|bielik_prompt6_translation
Fire!|Gorze!|"""Pożar!""

To tłumaczenie jest dosłownym przekładem angielskiego słowa ""fire"" na język polski, które oznacza pożar lub ogień w sensie niebezpieczeństwa. W kontekście alarmu lub wezwania do natychmiastowej uwagi, używamy słowa ""pożar"", ponieważ odnosi się ono bezpośrednio do sytuacji zagrożenia i wymaga natychmiastowej reakcji."|"Tłumaczenie słowa ""Fire!"" (Ogień!) na język polski to:

""Pożar!"" lub ""Ogień!""

Obie formy są poprawne i powszechnie używane w sytuacji, gdy chcemy ostrzec innych przed pojawieniem się ognia lub pożaru."|Pożar!|Pożar!|Pożar!|"Podane zdanie ""Fire!"" w języku angielskim tłumaczy się na język polski jako:

""Pożar!""

To słowo jest używane w sytuacji, gdy chcemy ostrzec innych o pożarze lub wezwać pomoc w razie wybuchu ognia. Jest to krótkie, ale bardzo ważne słowo, które może uratować życie w nagłych sytuacjach."|Pożar!
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|"""Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.""

To zdanie jest metaforą i może być interpretowane na różne sposoby w zależności od kontekstu. Ogólnie oznacza ono gotowość do lojalnej służby komuś, kto potrafi dokonać niezwykłych czynów lub pokonać niemożliwe przeszkody. W tym przypadku ""zabicie boga"" i ""zaoranie bogini"" to metaforyczne określenia wyjątkowych osiągnięć lub zwycięstw nad potężnymi siłami."|"""Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.""

To zdanie wydaje się być cytatem lub powiedzeniem w języku angielskim. Tłumaczenie na język polski zachowuje oryginalną strukturę i sens tego wyrażenia. Warto jednak pamiętać, że może ono zawierać pewne niuansy kulturowe lub literackie, które mogłyby nie być w pełni oddane w tłumaczeniu."|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.|"""Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem."""|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.|"""Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego metaforyczny charakter i wyrażając gotowość mówiącego do lojalności wobec osoby o niezwykłych umiejętnościach lub możliwościach."|Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.
Britt wasn't lying.|A więc Britt nie kłamała.|"""Britt nie kłamała."""|"Tłumaczenie zdania ""Britt wasn't lying"" na język polski brzmi:

""Britt nie kłamała.""

W tym tłumaczeniu:
- ""Britt"" pozostaje bez zmian, ponieważ jest to imię własne.
- ""wasn't"" (forma przecząca czasownika ""to be"") tłumaczymy jako ""nie była"".
- ""lying"" oznacza ""kłamanie"", a forma przeszła tego czasownika w stronie biernej to ""była kłamana"". Jednak w języku polskim używamy formy czynnej ""kłamała"".

Dlatego całe zdanie brzmi: ""Britt nie kłamała."""|Britt nie kłamała.|"""Britt nie kłamała."""|Britt nie kłamała.|"Oto tłumaczenie podanego zdania na język polski:

""Britt nie kłamała.""

To zdanie w języku angielskim wyraża negację, co oznacza, że Britt nie mówiła nieprawdy lub nie oszukiwała. W języku polskim używamy formy ""nie kłamała"", aby oddać ten sam sens."|Britt nie kłamała.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos.""

To tłumaczenie jest dosłowne i zachowuje oryginalną strukturę zdania. W języku polskim często używa się formy ""nie wierzyć"", a nie ""nie wierzysz"", ale w tym przypadku zachowałem oryginalną formę czasownika, aby jak najwierniej oddać znaczenie zdania."|"""Nie wierzysz w bogów, Lugosie."""|"""Nie wierzysz w bogów, Lugos."""|"""Nie wierzysz w bogów, Lugos."""|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos.""

To tłumaczenie zachowuje znaczenie oryginalnego zdania, które wyraża stwierdzenie lub pytanie o brak wiary w bogów przez osobę o imieniu Lugos. W języku polskim struktura zdania pozostaje podobna, a imię ""Lugos"" jest niezmienione, ponieważ jest to nazwa własna."|"""Nie wierzysz w bogów, Lugos."""
Where, exactly?|A skąd?|"Tłumaczenie na język polski:

""Gdzie dokładnie?""

To pytanie jest używane w sytuacji, gdy ktoś chce uzyskać bardziej szczegółową informację o lokalizacji lub położeniu czegoś. Może być stosowane w różnych kontekstach, takich jak rozmowa o miejscu spotkania, adresie, czy też lokalizacji obiektu lub wydarzenia."|"Tłumaczenie zdania ""Where, exactly?"" na język polski brzmi:

""Dokładnie gdzie?""

To pytanie jest używane w sytuacji, gdy ktoś chce uzyskać bardziej precyzyjną informację o lokalizacji lub położeniu czegoś. Może być stosowane w różnych kontekstach, takich jak rozmowa o miejscu spotkania, lokalizacji budynku czy nawet szczegółowym opisie trasy."|Gdzie dokładnie?|"""Gdzie dokładnie?"""|Gdzie dokładnie?|"Oto tłumaczenie zdania ""Where, exactly?"" na język polski:

""Dokładnie gdzie?""

To pytanie jest używane w sytuacji, gdy ktoś chce uzyskać bardziej precyzyjną informację o lokalizacji lub położeniu czegoś. Może być stosowane zarówno w kontekście geograficznym (np. ""Gdzie dokładnie znajduje się ten sklep?""), jak i w innych sytuacjach wymagających szczegółowej odpowiedzi."|Dokładnie gdzie?
Gwent - let's play.|Zagrajmy w gwinta.|"""Gwent - zagrajmy.""

To tłumaczenie jest dosłowne i oddaje znaczenie oryginalnego zdania w języku angielskim. ""Gwent"" to nazwa własna (nazwa gry karcianej), a ""let's play"" można przetłumaczyć jako ""zagrajmy"". W języku polskim często używa się formy ""zagrajmy"", aby zaproponować wspólną grę lub rozgrywkę."|"Tłumaczenie zdania ""Gwent - let's play"" na język polski brzmi:

""Gwent - zagrajmy.""

Warto dodać, że ""Gwent"" to nazwa własna i nie wymaga tłumaczenia. Jest to tytuł gry karcianej osadzonej w uniwersum Warhammer: Age of Sigmar."|Gwent - zagrajmy.|"""Walia - zagrajmy."""|Gwent - zagrajmy.|"""Gwent - zagrajmy.""

Wyjaśnienie krok po kroku:

1. ""Gwent"" - to nazwa własna, która nie wymaga tłumaczenia.
2. ""let's play"" - to wyrażenie w języku angielskim oznaczające ""zagrajmy"".
3. W języku polskim używamy formy ""zagrajmy"", aby wyrazić propozycję wspólnej gry lub rozpoczęcia czegoś razem.
4. Zatem całe zdanie brzmi: ""Gwent - zagrajmy.""

To tłumaczenie jest dosłowne i najbardziej odpowiednie w kontekście zaproszenia do gry w Gwenta, popularną grę karcianą osadzoną w uniwersum Warhammer: Age of Sigmar."|Gwent - zagrajmy.
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|"""Nasz czas pośród żyjących jest tylko mrugnięciem oka.""

To zdanie to metafora, która porównuje krótki okres naszego życia do bardzo krótkiego momentu - mrugnięcia oka. Jest to wyraz refleksji nad ulotnością ludzkiego istnienia i przypomnienie, że życie jest cenne i należy je doceniać oraz przeżywać świadomie."|"Tłumaczenie tego zdania na język polski brzmi:

""Nasz czas pośród żywych to ledwie mgnienie oka.""

To wyrażenie jest metaforą, która sugeruje, że nasze życie na ziemi jest bardzo krótkie i ulotne w porównaniu do wieczności. Jest to powszechny motyw w literaturze i filozofii, przypominający o tymczasowości ludzkiego istnienia i konieczności doceniania każdej chwili."|Nasze życie pośród żyjących jest tylko mgnieniem oka.|"""Nasz czas pośród żyjących to mrugnięcie oka."""|Nasze życie pośród żyjących jest jak mrugnięcie oka.|"Nasze życie pośród żyjących jest tylko mgnieniem oka.

To zdanie można również oddać w bardziej dosłownym tłumaczeniu:
""Nasz czas wśród żywych to tylko mrugnięcie okiem.""

Obie wersje zachowują sens oryginalnego angielskiego wyrażenia, które porównuje krótki okres życia człowieka do ulotnego momentu, jakim jest mrugnięcie oka."|Nasz czas pośród żyjących to mrugnięcie oka.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|"""Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która pozwoliłaby nam pójść naprzód..."""|"Tłumaczenie tego zdania na język polski brzmi:

""Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która pozwoliłaby nam pójść do przodu...""

To zdanie sugeruje refleksję nad dotychczasową wiedzą i umiejętnościami oraz gotowość do ich ponownego rozważenia w celu znalezienia nowych rozwiązań lub perspektyw."|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która pozwoliłaby nam pójść do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która pchnęłaby nas do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która mogłaby nas popchnąć naprzód...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|"""Dokładnie! Wiedziałem to - ona wszystko zmyśliła!"""|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.|"""Dokładnie! Wiedziałem to - wymyśliła całą tę historię!"""|Dokładnie! Wiedziałem to - ona wszystko zmyśliła.|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|"""Najpierw - mogę spróbować przekonać tego, kto rzucił klątwę, żeby sam ją zdjął. Drugie wyjście to odbicie klątwy z powrotem na osobę, która ją rzuciła, poprzez napisanie jej imienia na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi."""|"Tłumaczenie na język polski:

""Najpierw - mogę spróbować przekonać tego, kto rzucił Nithing, żeby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.""

To tłumaczenie oddaje sens oryginalnego tekstu, uwzględniając kontekst i specyficzne elementy języka użytego w oryginalnym zdaniu."|Najpierw - mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.|"""Najpierw - mogę spróbować przekonać osobę, która postawiła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi."""|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby zdjął klątwę samodzielnie. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.|"Oto tłumaczenie podanego zdania na język polski:

""Najpierw - mogę spróbować przekonać osobę, która postawiła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.""

To tłumaczenie oddaje sens oryginalnego zdania, uwzględniając kontekst i specyficzne elementy takie jak ""Nithing"" (przypuszczalnie odnoszące się do jakiegoś rodzaju magicznego artefaktu lub rytuału) oraz ""drzewca"". Zwróć uwagę, że niektóre wyrażenia mogłyby brzmieć bardziej naturalnie po polsku, ale starano się zachować możliwie bliski odpowiednik oryginału."|Najpierw - mogę spróbować przekonać tego, kto postawił Nithing, aby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.
