en_text|pl_text|bielik_translation|mixtral-8x22B_translation|llama3.1_translation|google_translation
Fire!|Gorze!|Pożar!| Ogień!|Ognia!|Ogień!
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.| Znajdź mi króla, który zabije boga i podora boginię, i będę jego człowiekiem.|'Znajdź mi króla który zabił boga i zaora boginię, to będę jego człowiekiem.'|Znajdź mi króla, który zabije boga i zrujnuje boginię, a ja będę jego człowiekiem.
Britt wasn't lying.|A więc Britt nie kłamała.|Britt nie kłamał.| Britt nie kłamała.|Britt nie kłamał.|Britt nie kłamał.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz bogom, Lugos.|Nie wierzysz w bogów, Lugosie.
Where, exactly?|A skąd?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?
Gwent - let's play.|Zagrajmy w gwinta.|Gwent - zagrajmy.| Chodź, zagramy w Gwenta.|Gwent – zagrajmy.|Gwint - zagrajmy.
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Nasz czas pośród żywych to zaledwie mrugnięcie oka.| Nasze życie wśród żywych to tylko mgnienie oka.|Nasz czas wśród żywych to jedynie mrugnięcie okiem.|Nasz czas wśród żywych jest zaledwie mrugnięciem oka.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|Może powinniśmy jeszcze raz przyjrzeć się temu, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnie nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możeśmy pominąć istotną podpowiedź, która mogłaby nas posunąć naprzód ...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który mógłby nas pchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przegapić wskazówkę, która popchnęłaby nas do przodu…
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie tak! Wiedziałem, że to ona się wszystko wyimaginowała!|"""Oczywiście! Wiedziałem - zmyślała całą tę historię!"""|Dokładnie! Wiedziałem - ona to wszystko wymyśliła!
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|"Najpierw mogę spróbować przekonać tego, kto rzucił Ninio (jeżeli dobrze zrozumiałem „Nithing”), żeby zdjął klątwę. Drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. Jestem w sytuacji, gdzie muszę się dowiedzieć, kto za tym stoi. (Ninio to norweskie ""nidingr"", co może odnosić się do rodzaju klątwy.)

**Tłumaczenie:**
Pierwsze - mogę spróbować przekonać kogoś, kto postawił [nie jestem pewien kontekstu, potrzebne dodatkowe informacje], aby zdjął przekleństwo samodzielnie. Drugie - mogę odbić przekleństwo z powrotem na osobę, która je rzuciła, pisząc jej nazwisko na pocisku. W obu przypadkach konieczne jest ustalenie, kto za tym stoi."|" Pierwotnie - mogę próbować przekonać tego, kto ustanowił ""nidinga"" do samodzielnego zniesienia klątwy. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, napisując jego imię na osi. W każdym razie muszę poznać, kto stoi za tym."|Po pierwsze – mogę spróbować przekonać tego, kto wstawił Nithinga, aby sam TEN podniósł klątwę. Po drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym wszystkim.|Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.
Mhm. Guess I gotta investigate…|Mhm. A więc śledztwo...|Mhm. Chyba muszę zbadać...| Ogólnie rzecz biorąc. Zatrudnia to mnie sprawdzeniem..|Hm. Wygląda na to że muszę to sprawdzić…|Mhm. Chyba muszę to zbadać…
