en_text|pl_text|bielik_translation|mixtral-8x22B_translation|llama3.1_translation|google_translation
Fire!|Gorze!|Pożar!| Ogień!|Ogień!|Ogień!
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zrujnuje boginię, a ja będę jego człowiekiem.
Britt wasn't lying.|A więc Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamał.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz bogom, Lugosu.|Nie wierzysz w bogów, Lugosie.
Where, exactly?|A skąd?|Dokładnie gdzie?| Dokładnie, gdzie?|"""Gdzie dokładnie?"""|Gdzie dokładnie?
Gwent - let's play.|Zagrajmy w gwinta.|Gwent - zagrajmy.|" ""Gwent - Zachodźmy do gry."""|Gwent - grajmy.|Gwint - zagrajmy.
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Nasz czas pośród żyjących to zaledwie mgnienie oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasza obecność wśród żywych jest tylko mrugnięciem oka.|Nasz czas wśród żywych jest zaledwie mrugnięciem oka.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możliwe, że przeoczyliśmy istotną wskazówkę, która pozwoliłaby nam posunąć się do przodu...|Może powinniśmy ponownie przeanalizować to czego się nauczyliśmy. Być może przeoczyliśmy jakiś trop, który mógłby nas posunąć do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przegapić wskazówkę, która popchnęłaby nas do przodu…
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Dokładnie! Wiedziałem - ona wszystko to zmyśliła!| Właśnie tak! Wiedziałem/am - wymyśliła to cała!|Dokładnie. Wiedziałem, że tak było - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - ona to wszystko wymyśliła!
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Pierwsze - mogę spróbować przekonać tych, którzy postawili Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithinga, aby zdjął klątwę sam. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na osi. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze, mogę spróbować przekonać osobę, która wystawiła Nithing, aby sama zdjęła klątwę. Po drugie, mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym przypadku muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.
Mhm. Guess I gotta investigate…|Mhm. A więc śledztwo...|Mhm. Chyba muszę zainwestygować...|" ""Mhm. Zgaduję, że muszę to zbadać..."" jest w języku polskim: ""Hm. Zgaduję, że muszę to zbadać...""."|Mhm. Wygląda na to, że muszę to zbadać…|Mhm. Chyba muszę to zbadać…
Elemental Empires - by Gianbattista.|„Mocarstwa żywiołów”, Gianbattista.|"Empire Surowców - autor: Gianbattista. (""Empire"" is a brand name, so I left it untranslated.)

---
To translate ""Elemental Empires"" into Polish, I would say ""Empire of Elements"". By maintaining the name Empire as it is (since it's a trademark) and translating ""elements"" into ""surowców"", I got ""Empire of Surowców"". Here's the translated sentence without explanations:

---

Elemental Empires - author: Gianbattista.
Empire of Surowców - autor: Gianbattista."|" ""Elemental Empires - przez Gianbattistę."""|Cesarstwa Elementalne - autorstwa Gianbattisty.|Imperia Żywiołów - autorstwa Gianbattisty.
Swords, eh? Have it your way.|Na miecze? Jak chcesz.|Miecze, co? Miej po swojemu.| Miecze, no tak. Niech tak będzie według ciebie.|Miecze, niech tak będzie.|Miecze, co? Zrób to po swojemu.
Who, then?|To kto?|Kto więc?| 'Kto więc?'|A któż zatem?|Kto zatem?
Greetings, White One.|Witaj, białowłosy.|Pozdrowienia, Biały.| Witaj, Biały.|"""Zdrowienia, Biała Jedno."""|Witaj, Biały.
Got back your stolen horn - and I, uh, killed the thieves.|Odzyskałem skradziony róg – i zabiłem złodziei.|Odzyskałeś skradziony róg - a ja, eh, zabiłem złodziei.| Odzyskałeś swój skradziony róg - a ja, uh, zabiłem złodziei.|Odzyskałem Twoi skradzioną róg i, eh, zabiłem zlodziei.|Odzyskałem twój skradziony róg - i, uhm, zabiłem złodziei.
The guest room. Come.|Chodźmy do pokoju gościnnego.|Gospodarz. Przyjdź. (Translation of the given phrase into Polish without any explanations.)| Pokój gościnny. Chodź.|Pokój gościnny. Proszę.|Pokój gościnny. Przyjdź.
Enter. Jarl's still speakin' to his seer, but they should finish soon.|Wejdź. Jarl rozmawia jeszcze z wróżem. Zaraz powinien skończyć.|Wchodź. Jarl nadal rozmawia ze swoim wróżbitą, ale powinni skończyć wkrótce.| Wchodź. Jarl wciąż rozmawia ze swoim prorokiem, ale powinni skończyć wkrótce.|Wejdź. Jarla wciąż rozmawia z jego wróżką, ale powinni niedługo skończyć.|Wejdź. Jarl wciąż rozmawia ze swoim jasnowidzem, ale niedługo powinni skończyć.
Save me!|Ratunku!|Ratuj mnie!| Zapisz mnie!|Ratuj mnie!|Ratuj mnie!
We learned something about Ciri.|Dowiedzieliśmy się czegoś o Ciri.|Dowiedzieliśmy się czegoś o Ciri.| Wiedzieliśmy coś o Ciri.|Poznaliśmy co nieco o Cirze.|Dowiedzieliśmy się czegoś o Ciri.
We're gonna choke and die.|A mogliśmy zostać na uczcie.|Zadławimy się i umrzemy.| Będziemy dusić się i umierać.|Zdusimy się i zemrzemy.|Udusimy się i umrzemy.
Go to the wake with me?|Zechcesz mi towarzyszyć na uczcie?|Chodź ze mną na czuwanie?| Idź ze mną na pogrzeb?|Pójdź ze mną na czuwanie?|Pójdziesz ze mną na stypę?
Told ye, he's a witcher, a cunning man. He knows these things!|Mówiłem ci, że to wiedźmin. Czarownik. Wie takie rzeczy.|Mówiłem wam, że to wiedźmin, przebiegły człowiek. On się na tych rzeczach zna!| Powiedziałem, on jest wiedźminem, sprytnym mężczyzną. On wie te rzeczy!|Powiedziałem wam, że on jest wiedźminem, cwaniakiem. On wie o tym!|Mówiłem ci, że to wiedźmin, przebiegły człowiek. On takie rzeczy wie!
Think the djinn killed him?|To dżinn go zabił?|Myślisz, że dżin go zabił?| Myślisz, że dżin zabił go?|Czy myślisz, że dżin go zabił?|Myślisz, że zabił go dżin?
Come. There's a ledge outside this window. We must pass along it.|Podejdź tutaj. Wyjdziemy przez okno i dalej przedostaniemy się po gzymsie.|Chodź. Jest parapet na zewnątrz tego okna. Musimy przejść po nim.| Przyjdź. Jest poziom poza tym oknem. Musimy nim przejść.|Chodź. Jest tam parapec obok tego okna. Musimy przejść tędy.|Chodź. Za tym oknem jest półka. Musimy przejść wzdłuż niej.
Love.|Na miłość.|Miłość.| Miłość.|Miłość.|Miłość.
Thanks, mate. Fayrlund - you know the place? I've me forge there. Come and visit, I'll have a reward for ye.|Dzięki, chłopie... Wiesz, gdzie jest Ferlund? Mam tam kuźnię. Wpadnij w odwiedziny, a dam ci coś w nagrodę.|Dzięki, kumplu. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Wpadnij z wizytą, czeka na ciebie nagroda.| Dzięki, kolego. Fayrlund - czy znasz to miejsce? Mam tam swoją kuźnię. Zawitaj, przygotuję nagrodę dla Ciebie.|Dziękuję, kolego. Fayrlund - znasz to miejsce? Mam tam swoją kuźnię. Przyjdź i odwiedź mnie, będę miał dla ciebie nagrodę.|Dzięki, kolego. Fayrlund - znasz to miejsce? Mam tam kuźnię. Przyjdź i odwiedź, będę miał dla ciebie nagrodę.
Welcome to the Temple of Freya. I'm Kurisu. How can I help?|Witaj w świątyni Freyji. Jestem Kurisu. W czym mogę ci pomóc?|Witaj w świątyni Freyi. Jestem Kurisu. W czym mogę pomóc?| Witamy w Świątyni Freji. Jestem Kurisu. W jaki sposób mogę pomóc?|Witaj w Świątyni Freyi. Jestem Kurisu. W jaki sposób mogę Ci pomóc?|Witaj w Temple of Freya. Jestem Kurisu. Jak mogę pomóc?
And a most humble greeting to you, sir. Name's Karl, but Whistling Whacker they call me.|Kłaniam się uniżenie. Jestem Karl, zwany Świszczącą Pałą.|I najbardziej pokorne pozdrowienia dla pana, sir. Nazywam się Karl, ale wołają mnie Gwiżdżący Łobuz.| I na najbardziej skromne pozdrowienia dla Pana. Mam na imię Karl, ale nazywają mnie Gwizdającym Przedewniqiem.|"""A najpokorniejsze pozdrowienia dla ciebie , panie. Nazywam się Karl, ale zwą mnie Wiśniakiem."""|I najskromniejsze pozdrowienia dla pana. Nazywam się Karl, ale nazywają mnie Whistling Whacker.
Berserkers… But how'd they come to be here?|Berserkowie... Tylko skąd się tutaj wzięli?|Berserkowie... Ale jak się tutaj znaleźli?| 'Berserkerzy... Ale jak się znaleźli tu?'|Szałowcy... Ale jakim sposobem się tu znaleźli?|Berserkerzy... Ale skąd się tu wzięli?
Dammit. Probably marked one of the villagers.|Zraza. Pewnie naznaczył kogoś w wiosce.|Cholera. Prawdopodobnie oznaczył jednego z mieszkańców wsi.| Śmierdź. Prawdopodobnie zaznaczono jednego z mieszkańców wioski.|Cholera. Prawdopodobnie oznaczyłem jednego z mieszkańców wioski.|Do cholery. Prawdopodobnie oznaczył jednego z mieszkańców wioski.
You've seen Udalryk. It won't be an easy fight.|Widziałaś Udalryka. To nie będzie łatwa walka.|Widziałeś Udalryka. To nie będzie łatwa walka.| Ty widziałeś Udalryka. Nie będzie to łatwa walka.|'Widziałeś Udalryka. Nie będzie to łatwa walka.'|Widziałeś Udalryka. To nie będzie łatwa walka.
Clouds obscure the sky and turmoil grips the sea. Defend us, Great Mother.|Niebo jest pochmurne, a morze wzburzone. Matko, stań w naszej obronie.|Chmury przesłaniają niebo i nawałnica włada morzem. Broń nas, Wielka Matko.| Chmury ukrywają niebo, a zamęt ogarnia morze. Bronią nas, Wielka Maciorze.|Chmury przesłaniają niebo, a morze ogarnia zawiej. Obroń nas, Wielka Matko.|Chmury przesłaniają niebo, a zamęt ogarnia morze. Broń nas, Wielka Matko.
Water Hag|Baba wodna|Wodna Wiedźma| Wodna Wiedźma|Wodnik Wodna Zjawa|Wodna wiedźma
What is it? That a name?|O co chodzi? To jakieś imię?|Co to jest? Czy to imię?| Co to jest? To imię?|Co to jest? To nazwa?|Co to jest? To imię?
It's not drowners this time. It's Cerys. I'm looking for her.|Tym razem nie chodzi o utopce, tylko o Cerys. Szukam jej.|To nie są nurki tym razem. To Cerys. Szukam jej.| Nie są to tym razem topielce. To Cerys. Szukam jej.|To nie topielec tym razem. To Cerys. Szukam jej.|Tym razem to nie utopce. To Cerys. Szukam jej.
Hm, now that you mentioned him… just noticed Hjalmar's not here.|Skoro już się zgadało... Nie widzę wśród was Hjalmara.|Hm, teraz gdy o nim wspomniałeś... właśnie zauważyłem, że Hjalmara tu nie ma.| Hm, teraz, gdy wspomniałeś o nim... dopiero zauważyłem, że Hjalmar nie jest tutaj.|Chyba teraz gdy o nim wspomniałeś... zauważyłem, że Hjalmara nie ma tutaj.|Hm, skoro o nim wspomniałeś… właśnie zauważyłem, że Hjalmara tu nie ma.
Sorry, not interested.|Nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany.| Przepraszam, nie jestem zainteresowany.|Przepraszam, nie jestem zainteresowany/a.|Przykro mi, nie jestem zainteresowany.
He probably thought they'd take him someplace safe.|Pewnie myślał, że zabiorą go w bezpieczne miejsce.|Prawdopodobnie sądził, że zabiorą go w jakieś bezpieczne miejsce.| Prawdopodobnie myślał, że zabiorą go gdzieś w bezpieczne miejsce.|Prawdopodobnie myślał, że zabiorą go w bezpieczne miejsce.|Pewnie myślał, że zabiorą go w jakieś bezpieczne miejsce.
What?|Co?|Co?| Co?|Co?|Co?
I know you feel better, but you're yet too week to embark on a journey.|Wiem, że czujesz się lepiej, ale jesteś jeszcze zbyt słaba, żeby wyruszać w podróż.|Wiem, że czujesz się lepiej, ale jesteś wciąż zbyt słaby, aby wyruszyć w podróż.| Wiem, że czujesz się lepiej, ale jesteś jeszcze za słaby, aby wyruszyć w podróż.|Wiem, że czujesz się lepiej, ale jeszcze jesteś zbyt słaby aby ruszyć w podróż.|Wiem, że czujesz się lepiej, ale jesteś jeszcze za słaby, żeby wyruszyć w podróż.
Wouldn't mind a look at your stock.|Chętnie się rozejrzę.|Nie miałbym nic przeciwko rzuceniu okiem na twój zapas.| Nie miałbym nic przeciwko odglądaniu Twoich zapasów.|Nie miałbym nic przeciwko, gdybym mógł zobaczyć twoje zapasy.|Nie miałbym nic przeciwko obejrzeniu Twoich akcji.
Silence. 'Tis her decision.|Milczcie. To jej decyzja.|Cisza. To jej decyzja.| 'Cisza. To jej decyzja.'|Milczenie. To jej decyzja.|Cisza. To jej decyzja.
The witcher known as the White Wolf, I know. They tell stories about you every day 'round here. Lookin' for an open seat at the table?|Wiedźmin zwany Białym Wilkiem, wiem. Już zdążyli cię tu obgadać. Szukasz wolnego miejsca przy stole?|"""Biały Wilk,"" znam te opowieści. Co dzień tutaj o was mówią. ""Szukasz wolnego miejsca przy stole?"""| Translation: 'Wiedźmin znany jako Biały Wilk, znam. Mówią o tobie historie każdego dnia w tych okolicach. Szukasz miejsca przy stole?'|"""Wiedźmin zwanym Białym Wilkiem znam. Opowiadają o tobie każdego dnia tu wszędzie. Szukasz wolnego miejsca przy stole?"""|Wiedźmin znany jako Biały Wilk, wiem. Opowiadają o tobie historie każdego dnia &#39;w okolicy. Szukasz wolnego miejsca przy stole?
She's always liked competin' with me. I've always won in the end so far, though.|Zawsze lubiła się ze mną ścigać. Ale dotąd to zawsze ja wygrywałem.|Ona zawsze lubiła ze mną rywalizować. Dotychczas wygrywałem na końcu, jednak.| Ona zawsze lubiła ze mną konkurować. Do tej pory zawsze wygrywałem, jednakże.|Ona zawsze lubiła ze mną rywalizować. Jak dotąd zawsze wygrywałem jednak.|Zawsze lubiła ze mną rywalizować. Ale jak dotąd zawsze wygrywałem.
Lost to a witcher, Sparrowhawk. That'd likely happen to any of us.|Przegrałaś z wiedźminem, Przepiórko. Każdy z nas by przegrał.|Stracony dla wiedźmina, Sokół. To mogłoby się przytrafić któremukolwiek z nas.| 'Pokonany przez Wiedźmina, Sparrowhawk. Także by to mógłbyśmy sprawić każdy z nas.'|Przegrał z wiedźminem, Krogulec. To mogło przydarzyć się każdemu z nas.|Stracony przez wiedźmina, Krogulec. To prawdopodobnie przytrafiłoby się każdemu z nas.
Wouldn't mind waiting if I had a free year or two. Sadly, I'm in a hurry.|Gdybym miał wolny rok czy dwa, mógłbym poczekać. Ale niestety się spieszę.|Nie przeszkadzałoby mi czekanie, gdybym miał wolny rok czy dwa. Niestety, spieszę się.| Nie miałbym nic przeciw czekaniu, gdybym miał rok czy dwa wolnego czasu. Niestety, jestem w pośpiechu.|Nie miałabym nic przeciwko czekaniu, gdybym miała wolny rok lub dwa. Niestety, śpieszę się.|Nie miałbym nic przeciwko czekaniu, gdybym miał wolny rok lub dwa. Niestety, spieszę się.
Why not? 'Cause I don't shriek threats and warn ye of your death? Well, that's simple enough - plain bored o' that.|Bo co? Bo nie wykrzykuję gróźb i nie straszę cię śmiercią? Cóż, zwyczajnie mi się znudziło.|Dlaczego nie? Bo nie wrzeszczę gróźb i nie ostrzegam was przed śmiercią? No cóż, to chyba proste - po prostu jestem znudzony tym.| Dlaczego nie? Ponieważ nie krzyczę ci groźb i nie ostrzegam, że umrzesz? No to jest bardzo proste - po prostu jestem znużony tym.|Dlaczego nie? Bo nie wykrzykuję strasznych gróźb i nie ostrzegam was przed śmiercią? Cóż, jest to wystarczająco proste – po prostu nudzi mnie to.|Czemu nie? Bo nie krzyczę gróźb i nie ostrzegam was przed śmiercią? Cóż, to dość proste - po prostu mnie to nudzi.
