en_text|pl_text|google_translation|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Fire!|Gorze!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| Ogień!|Ogień!
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|Znajdź mi króla, który zabije boga i zrujnuje boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabiłboga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i uprawiał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i przeorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabiłboga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i orze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabiłboga i zaora boginię,a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zorze ziemię bogini, i będę jego człowiekiem.|Znajdź mi króla, który zabiłboga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.| Znajdź mi króla, który zabije boga i zorze ziemię bogini, a ja będę jego człowiekiem.|'Znajdź mi króla, który zabije boga i zaora boginię, a ja będę jego człowiekiem.'
Britt wasn't lying.|A więc Britt nie kłamała.|Britt nie kłamał.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamał.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamał.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamał.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt się nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamał.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugosie.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| 'Nie wierzysz w bogów, Lugos.'|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugosie.|"""Nie wierzysz w bogów, Lugos."""| Nie wierysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugo.|Nie wierzysz w bogów, Luatos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|"""Nie wierzysz w bogów, Lugos."""| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.
Where, exactly?|A skąd?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie, gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Dokładnie gdzie?| Dokładnie gdzie?|Dokładnie gdzie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie, gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie, gdzie?|gdzie dokładnie?
Gwent - let's play.|Zagrajmy w gwinta.|Gwint - zagrajmy.|Gwent - zagrajmy.| Gwent - zagrajmy.|Gwent - zagrajmy.|Gwent - zagrajmy.| Gwent - zagrajmy.|Gwent - zagrajmy.|Gwent - zagrajmy.| Chodź, zagramy w Gwenta.|Gwent - zagrajmy.|Gwent - zagrajmy.| Chodźmy zagrać w Gwenta.|Gwent - zagrajmy.|Gwent - zagrajmy.| Gwent - zagrajmy.|Gwent - zagrajmy.|Gwent - zagrajmy.| Chodźmy zagrać w Gwenta.|Gwent - zagrajmy.|Gwent - zagrajmy.| 'Gwent - chodźmy zagrać.'|Gwent – zagrajmy.|Gwent - zagrajmy.| Chodźmy zagrać w Gwenta.|Gra w Gwinta.|Gwent - zagrajmy.| Gwint - zagrajmy.|"""Gwent - zagrajmy."""|Gwent - zagrajmy.| Grajmy w Gwenta.|Gwent - zagrajmy.|Gwent - zagrajmy.| Gwint - zagrajmy.|Wiedźmin: Gwint - gra dla wielu graczy.
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Nasz czas wśród żywych jest zaledwie mrugnięciem oka.|Nasze życie pośród żyjących jest tylko mgnieniem oka.| Nasze życie wśród żywych to zaledwie mgnienie oka.|Nasz czas wśród żywych to jedynie mrugnięcie oka.|Nasze życie pośród żyjących jest tylko mgnieniem oka.| Nasze życie wśród żywych to zaledwie mgnienie oka.|Nasz czas wśród żywych to jedynie mrugnięcie oka.|Nasze życie pośród żyjących jest tylko mgnieniem oka.| Nasze życie wśród żywych to tylko mgnienie oka.|Nasz czas wśród żywych to tylko mrugnięcie oka.|Nasze życie pośród żyjących jest jak mrugnięcie oka.| Nasze życie wśród żywych to zaledwie mgnienie oka.|Nasz czas wśród żywych to jedynie mrugnięcie oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to zaledwie mruganie okiem.|Nasz czas wśród żywych jest tylko mrugnięciem oka.|Nasze życie pośród żyjących jest ledwie mgnieniem oka.| Nasze życie wśród żywych to tylko mgnienie oka.|Nasz czas wśród żywych to jedynie mrugnięcie oka.|Nasze życie pośród żyjących jest tylko mrugnięciem oka.| Nasz czas pośród żywych jest tylko mgnieniem oka.|Nasza obecność wśród żywych to jedynie mrugnięcie oka.|Nasze życie pośród żyjących jest jedynie mgnieniem oka.| Nasz czas wśród żywych to tylko mrużenie oka.|Nasz czas pośród żywych jest jedynie mrugnięciem oka.|Nasz czas pośród żyjących to mrugnięcie oka.| Nasz czas wśród żyjących to ledwie mrużenie oka.|Nasz czas pośród żyjących to tylko miganie oka.|Nasz czas wśród żyjących to tylko mgnienie oka.| Nasz czas wśród żywych to niczym mruganie oka.|Nasz czas pośród żywych jest tylko mrugnięciem oka.|Nasze życie pośród żywych jest tylko mgnieniem oka.| Nasz czas wśród żywych to tylko mgnienie oka.|Nasz czas pośród żywych jest tylko mrugnięciem oka.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przegapić wskazówkę, która popchnęłaby nas do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy przewodnik, który mógłby nas posuwać do przodu...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy wskazówkę, która pozwoliłaby nam pchnąć się do przodu…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który mógłby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Może pominęliśmy przewodnik, który mógłby nas posuwać do przodu…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć naprzód...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przeoczyliśmy wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co nauczyliśmy się. Możliwe, że pominęliśmy przewodnik, który mógłby nas posuwać do przodu…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć przewodnik, który nas przyspieszy…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć naprzód...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możemy przeoczyć wskazówkę, która nas posunie do przodu…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który mógłby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co nauczyliśmy się. Możliwe, że pominęliśmy wskazówkę, która posunęłaby nas do przodu…|Być może powinniśmy ponownie przeanalizować to co już wiemy. Być może przegapiliśmy jakąś wskazówkę, która mogłaby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...||Być może powinniśmy ponownie przyjrzeć się temu czego się nauczyliśmy. Być może przeoczyliśmy jakiś trop który mogłby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może warto ponownie przeanalizować to, co się dowiedzieliśmy. Możemy przeoczyć wskazówkę, która przesunie nas do przodu...|'Może powinniśmy ponownie przeanalizować to co już wiemy. Być może przegapiliśmy jakąś wskazówkę, która mogła by nas zaprowadzić dalej...'|Może powinniśmy jeszcze raz przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć przewodnią nić, która nas posuwa naprzód...|Być może powinniśmy ponownie przyjrzeć się temu, czego już się nauczyliśmy. Być może przeoczyliśmy jakiś detal, który pomoże nam ruszyć dalej...|Może powinniśmy ponownie rozważyć to, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może warto by odnieść się do tego, czego się nauczyliśmy. Możemy przeoczyć jakieś wskazówki, które mogłyby nas posuwać w przód...|Może powinniśmy przeanalizować jeszcze raz to, czego się nauczyliśmy. Być może przegapiliśmy jakiś trop, który mogłby nas popchnąć do przodu...
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem, że tak będzie - ona wymyśliła całą tę historię!|Dokładnie! Wiedziałem to - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem, że tak będzie - ona wymyśliła całą tę historię!|Dokładnie! Wiedziałem to - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem! - Ona wymyśliła całą tę historię!|Dokładnie! Wiedziałem to - wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem, że tak będzie - wymyśliła całą tę historię!|Dokładnie! Wiedziałem to – wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem, że tak będzie - wymyśliła całą tę historię!|"""Oczywiście! Wiedziałem to - wszystko zmyśliła!"""|Dokładnie! Wiedziałem to - ona wszystko zmyśliła!| Dokładnie tak! Wiedziałem, że wymyśliła to wszystko!|Dokładnie! Wiedziałem to – wszystko zmyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem! - Wymyśliła całą tę historię!|Dokładnie! Wiedziałem to – wszystko wymyśliła!|Dokładnie! Wiedziałem to - ona wszystko zmyśliła!|" ""Dokładnie! Wiedziałem! Ona wymyśliła całą tę sprawę!"""|"""Oczywiście! Wiedziałem to – wszystko wymyśliła!"""|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Dokładnie! Wiedziałem to - wymyśliła to całe!|Dokładnie! Wiedziałem - wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Dokładnie! Wiedziałem to - wymyśliła całą tę historię!|Dokładnie! Wiedziałem, że tak jest - wszystko to wymyśliła.|Dokładnie! Wiedziałem - ona to wszystko zmyśliła.| Faktycznie! Wiedziałem - ona wymyśliła całą tę historię!|Oczywiście, wiedziałem, całą sprawę wymyśliła.
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Najpierw - mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Najpierw - mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Najpierw - mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym wszystkim.|Najpierw - mogę spróbować przekonać tego, kto rzucił Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.||Po pierwsze – mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie – mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Najpierw mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Druga opcja to odbicie klątwy z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto wzniósł Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, napisując jego imię na osi. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W obu przypadkach muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na osobę, która ją rzuciła, pisząc jej imię na grocie strzały. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto wzniósł Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, poprzez napisanie jego imienia na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Najpierw mogę spróbować przekonać osobę, która powiesiła Nithinga do zdjęcia klątwy samemu. Po drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił pisząc jego imię na drzewcu. W każdym przypadku muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która rzuciła Nithing, żeby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithing, aby zdjął klątwę sam. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, poprzez napisanie ich imienia na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga do zdjęcia klątwy samemu. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym wszystkim.|Po pierwsze - mogę spróbować przekonać osobę, która rzuciła Nithing, żeby sama zdjęła klątwę. Po drugie - mogę odbić klątwę z powrotem na osobę, która ją rzuciła, pisząc jej imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam podniósł klątwę. Po drugie - mogę odbić klątwę na tego, kto ją rzucił, pisząc ich imię na szyjce. W każdym wypadku muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać tego, kto powiesił Nithinga, aby samodzielnie zdjął klątwę. Po drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać tego, kto rzucił klątwę Nithinga, aby sami ją zdjęli. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto stoi za tym.| Pierwsze - Mogę spróbować przekonać tego, kto wzniósł Nithing, aby zdjęli klątwę sami. Drugie - Mogę odbić klątwę i odesłać ją temu, kto ją rzucił, poprzez napisanie ich imienia na osi. W każdym razie, muszę poznać kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę odpowiedzialną za postawienie Nithinga do zdjęcia klątwy samemu. Po drugie - mogę odbić odpowiedź na kogoś, kto ją rzucił pisząc jego imię na grocie. W każdym przypadku muszę wiedzieć, kto stoi za tym wszystkim.|Najpierw mogę spróbować przekonać osobę, która rzuciła Nithing, aby sama zdjęła klątwę. Po drugie, mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.| Najpierw - mogę próbować przekonać tego, kto postawił Nithinga, by sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie, muszę poznać, kto stoi za tym.|Pierwsze – Mogę spróbować przekonać tego, kto ustawił Nithinga, aby samodzielnie zdjęli klątwę. Drugie – Mogę odbić przekleństwo z powrotem w osobę, która je rzuciła pisząc ich imię na drzewcu. W każdym przypadku, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać tego, kto rzucił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto wzniósł Nithing, aby zdjął on sam przekleństwo. Druga opcja - mogę odbić przekleństwo z powrotem na tego, kto je rzucił, napisując jego imię na wałku. W każdym razie, muszę poznać, kto za tym stoi.|Pierwsza opcja - Mogę spróbować przekonać osobę, która postawiła Nithing, aby sama zdjęła klątwę. Druga opcja - mogę odbić klątwę na osobę, która ją rzuciła, pisząc jej imię na drzewcu. W każdym przypadku muszę wiedzieć, kto stoi za tym.
