en_text|pl_text|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
Fire!|Gorze!|Pożar!| 'Ogień!'|Ogień!|Pożar!| 'Ogień!'|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!||Palić!|Pożar!| 'Ogień!'|Ogień!|Pożar!| 'Ogień!'|Ogień!|Pożar!| 'Ogień!'|Ogień!|Pożar!| Ogień!|Ogień!|Pożar!| 'Ogień!'|Ogień!|Pożar!|" ""Ogień!"""|Palić!|Pali się!|" ""Ogień!"" (Polish translation for 'Fire!')."|Ogień!
Find me a king who'll kill a god and plough a goddess, and I'm his man.|Posłucham tylko tego króla, który zabije boga i posiądzie boginię.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i zaorał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a ja będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i będę jego człowiekiem.|Znajdź mi króla, który zabiłby boga i orał boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaorze boginię, a ja jestem jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, i jestem jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i przeora boginię, a będę jego człowiekiem.| Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem.|Znajdź mi króla, który zabije boga i zaora boginię, a będę jego człowiekiem.
Britt wasn't lying.|A więc Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamał.|Britt nie kłamała.|Britt nie kłamała.| Britt nie kłamała.|Britt nie kłamała.
You don't believe in the gods, Lugos.|Ty nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugosie.| 'Nie wierzysz w bogów, Lugosie.'|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierisz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.|Nie wierzysz w bogów, Lugos.| Nie wierzysz w bogów, Lugosie.|Nie wierzysz w bogów, Lugos.
Where, exactly?|A skąd?|Dokładnie gdzie?| Dokładnie, gdzie?|Dokładnie gdzie?|Dokładnie gdzie?| Dokładnie gdzie?|Gdzie dokładnie?|Dokładnie gdzie?| Dokładnie, gdzie?|Gdzie dokładnie?|Dokładnie gdzie?| Dokładnie, gdzie?|Gdzie dokładnie?|Dokładnie gdzie?| Dokładnie gdzie?|Gdzie dokładnie?|Dokładnie gdzie?| Dokładnie, gdzie?|Dokładnie gdzie?|Dokładnie gdzie?| Gdzie, dokładnie?|Dokładnie gdzie?|Gdzie dokładnie?| Dokładnie gdzie?|Gdzie dokładnie?|Gdzie dokładnie?| Dokładnie, gdzie?|Dokładnie gdzie?|Dokładnie gdzie?| Dokładnie, gdzie?|Dokładnie gdzie?|Gdzie dokładnie?| Dokładnie gdzie?|"""Dokładnie, gdzie?"""
Gwent - let's play.|Zagrajmy w gwinta.|Gwent - zagrajmy.|" ""Gwent - zagramy."""|Grajmy w Gwinta.|Gwent - zagrajmy.|" ""Gwent - zagramy."""|Gra w Gwinta.|Gwent - zagrajmy.|" ""Gwent - zagramy."""|Gra w Gwinta.|Gwent - zagrajmy.||Grajmy w Gwinta.|Gwent - zagrajmy.| 'Gwent - zagramy.'|Grajmy w Gwinta.|Gwent - zagrajmy.| Wiedźmin: Gwint - zagrajmy.|Gwent - zagrajmy.|Gwent - zagrajmy.|" ""Gwent - Zagramy."""|"""Gwent - zagrajmy."""|Gwent - zagrajmy.| 'Gwent - grajmy.'|Grajmy w Gwinta.|Gwent - zagrajmy.| 'Gwent - chodźmy zagrać.'|Gra w Gwinta - zagrajmy.|Gwent - zagrajmy.| Spróbujmy Gwenta.|Grajmy w Gwinta.|Gwent - zagrajmy.|" ""Gwent - chodźmy zagrać."""|"""Gwent - zagrajmy."""
Our time amongst the living is but the wink of an eye.|Czas pośród żywych to mgnienie.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie oka.|Nasze życie wśród żywych jest tylko mignięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mruganie okiem.|Nasze życie wśród żywych to tylko mrugnięcie oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żyjących to zaledwie migawka oka.|Nasza obecność wśród żywych jest jedynie mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żywych to tylko mrużenie oka.|Nasza obecność wśród żywych to tylko mrugnięcie oka.|Nasz czas wśród żyjących jest tylko mgnieniem oka.| Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasze życie wśród żywych jest tylko mrugnięciem oka.|Nasz czas pośród żyjących jest tylko mrugnięciem oka.| Nasze życie wśród żyjących to zaledwie mrugnięcie oka.|Nasz czas pośród żywych to tylko mrugnięcie oka.
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…|Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy przewodnik, który mógłby nas posuwać do przodu...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy przewodnik, który mógłby nas posunąć do przodu...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć naprzód...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy wskazówkę, która mogłaby nas posuwać do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przegapiliśmy wskazówkę, która mogłaby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy przewodnik, który mógłby nas posuwać do przodu...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakąś wskazówkę, która mogłaby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co nauczyliśmy się. Możemy przeoczyć wskazówkę, która przesunę nas do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przegapiliśmy wskazówkę, która mogłaby nas popchnąć do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy wskazówkę, która pozwoliłaby nam pchnąć się do przodu…|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który pomoże nam ruszyć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że przegapiliśmy wskazówkę, która przesunęłaby nas do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przegapić wskazówkę, która pchnęłaby nas do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może warto przebadać ponownie to, co nauczyliśmy się. Możliwe, że pominęliśmy jakiś wskazówkę, która przesunę nas do przodu...|Może powinniśmy ponownie przyjrzeć się temu, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która mogłaby nas posunąć do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy jakiś trop, który mógłby nas przesunąć do przodu...|Może powinniśmy ponownie przyjrzeć się temu, czego się nauczyliśmy. Może przegapiliśmy wskazówkę, która mogłaby nas popchnąć do przodu...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Możemy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możliwe, że pominęliśmy wskazówkę, która przesunę nas do przodu...|Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pomoże nam ruszyć dalej...|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnęłaby nas do przodu...| Może powinniśmy ponownie przeanalizować wszystko, co nauczyliśmy się. Może pominęliśmy jakiś wskazówkę, która mogłaby nas posunąć do przodu…|Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Być może przegapiliśmy zależność, która pcha nas do przodu…
Exactly! I knew it - she made the whole thing up!|Właśnie! Wiedziałem, że sobie coś wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem, że tak - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - wszystko to wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem/am - wymyśliła całą tę historię!|Dokładnie! Wiedziałem, że tak jest - wszystko to wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie tak! Wiedziałem, że tak będzie - ona wymyśliła całą tę historię!|Dokładnie! Wiedziałem - wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem/am - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - wszystko zmyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem, że tak - wymyśliła całą tę historię!|Dokładnie! Wiedziałem - wszystko to zmyślała!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie tak! Wiedziałem, że to ona wymyśliła całą tę historię!|Dokładnie! Wiedziałem, że tak jest - wszystko zmyśliła.|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Dokładnie! Wiedziałem, że tak będzie - wymyśliła całą tę historię!|Dokładnie! Wiedziałem, że tak jest – wszystko wymyśliła!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem! - Ona wymyśliła całą tę historię!|Dokładnie. Wiedziałem, że tak jest – wymyśliła to wszystko!|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie! Wiedziałem! - Ona to wymyśliła całą tę historię!|"""Dokładnie! Wiedziałem to – wymyśliła całą tą historię!"""|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Właśnie tak! Wiedziałem, że tak - wymyśliła to całe zdarzenie!|Dokładnie! Wiedziałem, że tak było – wszystko mu się uroiło.|Dokładnie! Wiedziałem - ona to wszystko zmyśliła!| Dokładnie! Wiedziałem, że tak będzie - ona wymyśliła to wszystko!|Precis! Wiedziałem, że tak jest – wszystko zmyślała.
First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.|Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithinga, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithinga, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, poprzez napisanie ich imienia na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithinga, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto wzniósł Nithing, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, poprzez napisanie ich imienia na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithing, aby sama zdjęła klątwę. Po drugie - mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithinga, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze – mogę spróbować przekonać osobę, która wieszała Nithing, aby sama zdjąć klątwę. Po drugie – mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto wzniósł Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, napisując jego imię na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithing, aby sama zdjęła klątwę. Po drugie - mogę odwrócić klątwę na osobę, która ją rzuciła, pisząc jej imię na trzonku. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Pierwsze - Spróbuję przekonać tego, kto postawił Nithinga, aby zdjął klątwę sam. Drugie - Mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na wałku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze – mogę spróbować przekonać osobę, która zawiesiła Nithing, aby sama zdjęła klątwę. Po drugie – mogę odbić klątwę w stronę osoby, która ją rzuciła, pisząc jej imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił Nithinga, aby sam zdjął klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na trzonku. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze – mogę spróbować przekonać kogoś, kto powiesił Nithinga, aby samemu zdjęło klątwę. Po drugie – mogę odbić klątwę na tego, który ją rzucił, pisząc jego imię na drzewcu. W każej z tych sytuacji muszę wiedzieć, kto stoi za tym.|Najpierw - mogę spróbować przekonać tych, którzy postawili Nithing, aby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Najpierw - mogę spróbować przekonać tego, kto postawił nithinga, aby zdjął klątwę sam. Drugi - mogę odbić klątwę na tego, kto ją rzucił, napisawszy jego imię na szyjce. W każdym razie muszę dowiedzieć się, kto stoi za tym.|Po pierwsze – mogę spróbować przekonać tego, kto powiesił Nithinga, aby samemu zdjął klątwę. Po drugie – mogę odbić klątwę na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym z tych przypadków muszę wiedzieć, kto za tym stoi.|Pierwsze - mogę spróbować przekonać tego, kto wystawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na strzale. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.| Najpierw - mogę próbować przekonać tę osobę, która ustawiła Nithing, aby zdjęła klątwę samodzielnie. Drugie - mogę odwrócić klątwę na tego, kto ją rzucił, napisując ich imię na wale. Obie metody wymagają jednak wiedzy, kto stoi za tym.|Pierwsze - Mogę spróbować przekonać osobę, która powiesiła Nithinga, aby sama oderwała klątwę. Po drugie, mogę odbić klątwę na tego, kto ją rzucił, pisząc jego imię na trzonku. Tak czy inaczej muszę wiedzieć, kto stoi za tym wszystkim.|Pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, żeby sami zdjęli klątwę. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc ich imię na drzewcu. W obu przypadkach muszę wiedzieć, kto za tym stoi.| Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithinga, żeby usunął klątwę sam. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, poprzez napisanie ich imienia na szyjce. W każdym razie, muszę wiedzieć, kto stoi za tym.|Po pierwsze - mogę spróbować przekonać osobę, która powiesiła Nithing do zniesienia klątwy samemu. Po drugie - mogę odbić klątwę na osobę która ją rzuciła pisząc jej imię na trzonku. W każdym razie muszę wiedzieć kto stoi za tym.
