pl_text,en_text,encoded_gender,no_context,with_context,with_context_two_steps,chrf_no_context,bleu_no_context,bertscore_no_context,comet_no_context,chrf_with_context,bleu_with_context,bertscore_with_context,comet_with_context,chrf_with_context_two_steps,bleu_with_context_two_steps,bertscore_with_context_two_steps,comet_with_context_two_steps
Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni powiązanych z organizacją terrorystyczną. W dniu 30 sierpnia 2006 r. został wydalony z Włoch do Tunezji.,Al-Loubiri was involved in the administration of parts of these cooperatives related to the terrorist organization. He was expelled from Italy on 30 August 2006 to Tunisia.,masculine,Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni związanych z organizacją terrorystyczną. Został wydalony z Włoch 30 sierpnia 2006 roku do Tunezji.,Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni związanych z organizacją terrorystyczną. Został wydalony z Włoch 30 sierpnia 2006 roku do Tunezji.,Al-Loubiri był zaangażowany w zarządzanie częścią tych spółdzielni związanych z organizacją terrorystyczną. Został wydalony z Włoch 30 sierpnia 2006 roku do Tunezji.,0.8746280512124183,0.46659043114612375,0.9494900107383728,0.9551157355308533,0.8746280512124183,0.46659043114612375,0.9494900107383728,0.955115795135498,0.8746280512124183,0.46659043114612375,0.9494900107383728,0.955115795135498
Fiodor był najtrudniejszym z dzieci. Często kłócił się z ojcem.,Fyodor was the most difficult of the kids. He often quarreled with his father.,masculine,Fiodor był najtrudniejszym z dzieci. Często kłócił się ze swoim ojcem.,Fiodor był najtrudniejszym z dzieci. Często kłócił się ze swoim ojcem.,Fiodor był najtrudniejszym z chłopców. Często kłócił się ze swoim ojcem.,0.9393584710619414,0.6989307622784944,0.9863209128379822,0.9772894382476807,0.9393584710619414,0.6989307622784944,0.9863209128379822,0.9772894382476807,0.7811250798591901,0.3508439695638686,0.9544177651405334,0.9658516645431519
"Michael Milken chce pomóc zmienić tę sytuację. Były król śmieciowych obligacji z Wall Street założył Fundację na rzecz Walki z Rakiem Prostaty po tym, jak w 1993 roku zdiagnozowano u niego raka.",Michael Milken wants to help change the situation. The former Wall Street junk bond king founded the Prostate Cancer Foundation after his diagnosis in 1993.,masculine,Michael Milken chce pomóc zmienić sytuację. Były król obligacji śmieciowych z Wall Street założył Fundację Raka Prostaty po swojej diagnozie w 1993 roku.,Michael Milken chce pomóc zmienić sytuację. Były król obligacji śmieciowych z Wall Street założył Fundację Raka Prostaty po swojej diagnozie w 1993 roku.,Michael Milken chce pomóc zmienić sytuację. Były król obligacji śmieciowych z Wall Street założył Fundację Raka Prostaty po swojej diagnozie w 1993 roku.,0.6399268006813217,0.28150230077012756,0.8935896754264832,0.9100565314292908,0.6399268006813217,0.28150230077012756,0.8935896754264832,0.9100565314292908,0.6399268006813217,0.28150230077012756,0.8935896754264832,0.9100565314292908
"Podczas drugiej wyprawy na Florydę Ponce de León zdecydował się na podróż w górę zachodniego wybrzeża, które wciąż uważał za dużą wyspę. Towarzyszyło mu 500 ludzi, w tym księża, rolnicy i rzemieślnicy.","For the second Florida expedition, Ponce de León opted to travel up the west coast of what he still believed to be a large island. He was accompanied by a force of 500 men, including priests, farmers, and artisans.",masculine,"Dla drugiej wyprawy do Florydy, Ponce de León zdecydował się podróżować wzdłuż zachodniego wybrzeża tego, co nadal uważał za dużą wyspę. Towarzyszyła mu siła 500 mężczyzn, w tym księża, rolnicy i rzemieślnicy.","Dla drugiej wyprawy do Florydy Ponce de León zdecydował się podróżować wzdłuż zachodniego wybrzeża tego, co nadal uważał za dużą wyspę. Towarzyszyła mu siła 500 mężczyzn, w tym księża, rolnicy i rzemieślnicy.","""Dla drugiej wyprawy do Florydy, Ponce de León zdecydował się podróżować wzdłuż zachodniego wybrzeża tego, co nadal uważał za dużą wyspę. Towarzyszyła mu siła 500 mężczyzn, w tym księża, rolnicy i rzemieślnicy.""

To zdanie nie wymaga zmiany, ponieważ już odnosi się do grupy mężczyzn.",0.7098901405750496,0.3571363417889781,0.9254729747772217,0.8897328972816467,0.7103115578555345,0.3571363417889781,0.9286854863166809,0.8950805068016052,0.6894230920125248,0.23001710853679425,0.862221896648407,0.8459241390228271
"George był jednym z pierwszych, którzy ostrzegli świat przed niebezpieczeństwami, na jakie narażone są zarówno te miejsca, jak i samo Muzeum Narodowe w związku z inwazją. Jest dobrze postrzegany w międzynarodowych środowiskach zajmujących się dziedzictwem i archeologią.",George was one of the first to alert the world to the dangers facing these sites and the National Museum itself brought on by the invasion. He is well regarded in the international heritage and archaeological communities.,masculine,"George był jednym z pierwszych, którzy ostrzegli świat przed zagrożeniami dla tych miejsc oraz samego Muzeum Narodowego spowodowanymi inwazją. Jest ceniony w międzynarodowych kręgach dziedzictwa kulturowego i archeologicznego.","George był jednym z pierwszych, którzy zaalarmowali świat o zagrożeniach dla tych miejsc i samego Muzeum Narodowego spowodowanych inwazją. Jest ceniony w międzynarodowych kręgach dziedzictwa kulturowego i archeologicznych.","""George był jednym z pierwszych, którzy ostrzegli świat przed zagrożeniami dla tych miejsc oraz samego Muzeum Narodowego spowodowanymi inwazją. Jest ceniony w międzynarodowych kręgach dziedzictwa kulturowego i archeologicznego.""

(Zdanie nie wymaga zmiany form gramatycznych, ponieważ już odnosi się do mężczyzny.)",0.5435830104450715,0.24399543128623705,0.8319407105445862,0.9024758338928223,0.4836753264337761,0.16037932729103271,0.811729907989502,0.8925561904907227,0.5578911726627755,0.20729378242245203,0.7648592591285706,0.8524170517921448
"Pierre Broué nie był jednak tylko intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z zacisza swojego gabinetu. Był aktywnym i bojowym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm.","However, Pierre Broué was not just an intellectual, somebody who wrote books for universtities and commented on events from the the comfort of his study. He was an active and militant revolutionary who dedicated his life to the fight for international socialism.",masculine,"Jednakże Pierre Broué nie był jedynie intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z wygody swojego gabinetu. Był aktywnym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm.","Jednakże Pierre Broué nie był jedynie intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z wygody swojego gabinetu. Był aktywnym i zaangażowanym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm.","Jednakże Pierre Broué nie był jedynie intelektualistą, kimś, kto pisał książki dla uniwersytetów i komentował wydarzenia z wygody swojego gabinetu. Był aktywnym rewolucjonistą, który poświęcił swoje życie walce o międzynarodowy socjalizm.",0.8782951077595297,0.684858845765345,0.9578769207000732,0.9473665356636047,0.8834551215348648,0.7164977632833098,0.9571909308433533,0.9451125264167786,0.8782951077595297,0.684858845765345,0.9578769207000732,0.9473665356636047
"Edwin miał dwóch braci, Johna i Juniusa. Obaj byli aktorami, choć żaden z nich nie dorównał mu rangą.","Edwin had two brothers, John and Junius. Both were actors, although neither rose to his stature.",masculine,"Edwin miał dwóch braci, Johna i Juniusa. Obaj byli aktorami, choć żaden z nich nie dorównał jego sławie.","Edwin miał dwóch braci, Johna i Juniusa. Obaj byli aktorami, choć żaden nie dorównał jego sławie.","Edwin miał dwóch braci, Jana i Juliana. Obaj byli aktorami, choć żaden z nich nie dorównał jego sławie.",0.9044199432458401,0.878187983790713,0.9672048687934875,0.9604148864746094,0.8192388516144286,0.6769092988397084,0.9496679902076721,0.9561455845832825,0.7798756337909402,0.6028817681965138,0.9529460668563843,0.9566287994384766
"Gina Lynn Vrastil, lat 50, która spóźniła się na przesłuchanie prawie godzinę, stawiła się przed sędzią Sądu Najwyższego Rogelio Flores. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara.","Gina Lynn Vrastil, 50, who was nearly an hour late to her hearing, appeared before Superior Court Judge Rogelio Flores. She was accompanied by her private attorney, Ian Morse of Santa Barbara.",feminine,"Gina Lynn Vrastil, 50 lat, która spóźniła się prawie godzinę na rozprawę, pojawiła się przed sędzią sądu wyższej instancji Rogelio Floresem. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara.","Gina Lynn Vrastil, 50-letnia kobieta, która spóźniła się niemal godzinę na swoje przesłuchanie, pojawiła się przed Sędzią Sądu Najwyższego Rogelio Floresem. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara.","Gina Lynn Vrastil, 50-letnia kobieta, która spóźniła się prawie godzinę na rozprawę, pojawiła się przed sędzią sądu wyższej instancji Rogelio Floresem. Towarzyszył jej prywatny adwokat, Ian Morse z Santa Barbara.",0.7562475608818996,0.40468246170733146,0.9251506924629211,0.9211372137069702,0.8245261331866406,0.4117230572911877,0.9436323642730713,0.928987443447113,0.7512883109981486,0.40468246170733146,0.9097608923912048,0.922465443611145
"Na obrzeżach wschodnioczeskiego miasta Brna Jana Molková siedzi w kuchni swojego małego mieszkania i szuka w Internecie ofert pracy. Od sześciu miesięcy jest bezrobotna, po tym jak straciła pracę sprzątaczki w pobliskiej fabryce.","On the outskirts of the eastern Czech city of Brno, Jana Molková is sitting in the kitchen of her small flat, searching for jobs online. She's been unemployed for the past six months after losing her cleaning job at a nearby factory.",feminine,"Na przedmieściach wschodnioczeskiego miasta Brno, Jana Molková siedzi w kuchni swojego małego mieszkania, przeszukując ogłoszenia o pracę w internecie. Jest bezrobotna od ostatnich sześciu miesięcy po utracie pracy sprzątaczki w pobliskiej fabryce.","Na przedmieściach wschodnio-czeskiego miasta Brno, Jana Molková siedzi w kuchni swojego niewielkiego mieszkania, przeszukując ogłoszenia o pracę w internecie. Od sześciu miesięcy jest bezrobotna po utracie pracy jako sprzątaczka w pobliskiej fabryce.","Na przedmieściach wschodnioczeskiego miasta Brno, Jana Molková siedzi w kuchni swojego małego mieszkania, przeszukując ogłoszenia o pracę w internecie. Jest bezrobotna od ostatnich sześciu miesięcy po utracie pracy sprzątaczki w pobliskiej fabryce.",0.7326610978722009,0.2940858635563592,0.8889985084533691,0.9359509348869324,0.7105622478057562,0.2679342298848127,0.8747552633285522,0.9373087882995605,0.7326610978722009,0.2940858635563592,0.8889985084533691,0.9359509348869324
"W lipcu ubiegłego roku wiceminister komunikacji Gabriela Hernandez zrezygnowała z pracy w SCT, powołując się na powody osobiste. Do tej pory nie została zastąpiona.","In July last year, deputy communications minister Gabriela Hernandez resigned from the SCT, citing personal reasons. She has not yet been replaced.",feminine,"W lipcu ubiegłego roku wiceminister ds. komunikacji Gabriela Hernandez zrezygnowała ze stanowiska w SCT, podając powody osobiste. Nadal nie została zastąpiona.","W lipcu ubiegłego roku zastępczyni ministra ds. komunikacji Gabriela Hernandez podała się do dymisji w SCT, powołując się na przyczyny osobiste. Nadal nie została zastąpiona.","W lipcu ubiegłego roku wiceminister ds. komunikacji Gabriela Hernandez zrezygnowała ze stanowiska w SCT, podając powody osobiste. Nadal nie została zastąpiona.",0.7594746895061736,0.3340683832446,0.9276043176651001,0.9448376893997192,0.6800625912925349,0.3321678143250398,0.8789677023887634,0.9370065927505493,0.7594746895061736,0.3340683832446,0.9276043176651001,0.9448376893997192
