en_text,pl_text,bielik_translation,mixtral-8x22B_translation,llama3.1_translation,google_translation,chrf_bielik_translation,bleu_bielik_translation,bertscore_bielik_translation,comet_bielik_translation,chrf_mixtral-8x22B_translation,bleu_mixtral-8x22B_translation,bertscore_mixtral-8x22B_translation,comet_mixtral-8x22B_translation,chrf_llama3.1_translation,bleu_llama3.1_translation,bertscore_llama3.1_translation,comet_llama3.1_translation,chrf_google_translation,bleu_google_translation,bertscore_google_translation,comet_google_translation
Fire!,Gorze!,Pożar!, Ogień!,Ognia!,Ogień!,0.08333333333333343,0.0,0.8619608879089355,0.7763369083404541,0.05555555555555564,0.0,0.8466057181358337,0.8120743036270142,0.02777777777777787,0.0,0.8809586763381958,0.6617438793182373,0.05555555555555564,0.0,0.8466057181358337,0.8120746612548828
"Find me a king who'll kill a god and plough a goddess, and I'm his man.","Posłucham tylko tego króla, który zabije boga i posiądzie boginię.","Znajdź mi króla, który zabije boga i zaorze boginię, a będę jego człowiekiem."," Znajdź mi króla, który zabije boga i podora boginię, i będę jego człowiekiem.","'Znajdź mi króla który zabił boga i zaora boginię, to będę jego człowiekiem.'","Znajdź mi króla, który zabije boga i zrujnuje boginię, a ja będę jego człowiekiem.",0.5056430574474952,0.2891784933232572,0.8296923041343689,0.7999793291091919,0.5266270218804051,0.2891784933232572,0.8276350498199463,0.8513623476028442,0.361063580342389,0.036362270465000714,0.7665260434150696,0.7882375121116638,0.502034580311725,0.26584835766658776,0.8287423849105835,0.8479523658752441
Britt wasn't lying.,A więc Britt nie kłamała.,Britt nie kłamał., Britt nie kłamała.,Britt nie kłamał.,Britt nie kłamał.,0.6473211189160966,0.12336445138236939,0.9315550923347473,0.9348234534263611,0.7477137700583807,0.288715663092199,0.951349139213562,0.9642863273620605,0.6473211189160966,0.12336445138236939,0.9315550923347473,0.9348234534263611,0.6473211189160966,0.12336445138236939,0.9315550923347473,0.9348234534263611
"You don't believe in the gods, Lugos.","Ty nie wierzysz w bogów, Lugos.","""Nie wierzysz w bogów, Lugos."""," Nie wierzysz w bogów, Lugosie.","Nie wierzysz bogom, Lugos.","Nie wierzysz w bogów, Lugosie.",0.8716599704643181,0.21771262023986562,0.9151917695999146,0.9463174939155579,0.8352902170293475,0.21771262023986562,0.9333255887031555,0.9496158957481384,0.5491131364008677,0.05795053470733952,0.9038857221603394,0.895139753818512,0.8352902170293475,0.21771262023986562,0.9333255887031555,0.9496158957481384
"Where, exactly?",A skąd?,Gdzie dokładnie?, Dokładnie gdzie?,Gdzie dokładnie?,Gdzie dokładnie?,0.07246376811594213,0.0,0.8315547704696655,0.9288065433502197,0.07246376811594213,0.0,0.7953858971595764,0.8773252964019775,0.07246376811594213,0.0,0.8315547704696655,0.9288065433502197,0.07246376811594213,0.0,0.8315547704696655,0.9288065433502197
Gwent - let's play.,Zagrajmy w gwinta.,Gwent - zagrajmy.," Chodź, zagramy w Gwenta.",Gwent – zagrajmy.,Gwint - zagrajmy.,0.37783323092551785,0.0,0.7294771671295166,0.6602581739425659,0.28939624898097277,0.08034284189446518,0.7876834869384766,0.7724675536155701,0.37783323092551785,0.0,0.7315415143966675,0.6711581349372864,0.44758748786081143,0.0,0.768243670463562,0.7103029489517212
Our time amongst the living is but the wink of an eye.,Czas pośród żywych to mgnienie.,Nasz czas pośród żywych to zaledwie mrugnięcie oka., Nasze życie wśród żywych to tylko mgnienie oka.,Nasz czas wśród żywych to jedynie mrugnięcie okiem.,Nasz czas wśród żywych jest zaledwie mrugnięciem oka.,0.6282907869103379,0.1374708101760565,0.8321383595466614,0.7649847865104675,0.6437247658504986,0.05873949094699214,0.8264705538749695,0.7954835295677185,0.49620514361996265,0.05873949094699214,0.8058595061302185,0.7384825944900513,0.40427808632926204,0.02777619034011792,0.7776957750320435,0.6896177530288696
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…,"Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...","Może powinniśmy jeszcze raz przyjrzeć się temu, czego się nauczyliśmy. Mogliśmy przeoczyć wskazówkę, która pchnie nas do przodu..."," Może powinniśmy ponownie przeanalizować to, co się nauczyliśmy. Możeśmy pominąć istotną podpowiedź, która mogłaby nas posunąć naprzód ...","Być może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Może przegapiliśmy jakiś trop, który mógłby nas pchnąć do przodu...","Może powinniśmy ponownie przeanalizować to, czego się nauczyliśmy. Mogliśmy przegapić wskazówkę, która popchnęłaby nas do przodu…",0.2640672484745033,0.015276780223747026,0.7410773038864136,0.7969550490379333,0.2214102412578697,0.014216645907653848,0.7175859212875366,0.830560028553009,0.2383599076072466,0.014400124446705301,0.7235766053199768,0.867196261882782,0.2328515717433366,0.017395797375642234,0.708043098449707,0.8376794457435608
Exactly! I knew it - she made the whole thing up!,"Właśnie! Wiedziałem, że sobie coś wymyśliła!",Dokładnie! Wiedziałem - ona to wszystko zmyśliła.," Dokładnie tak! Wiedziałem, że to ona się wszystko wyimaginowała!","""Oczywiście! Wiedziałem - zmyślała całą tę historię!""",Dokładnie! Wiedziałem - ona to wszystko wymyśliła!,0.4641876131204003,0.0,0.8400673270225525,0.8706613779067993,0.4030624801610951,0.050712153369465586,0.841242790222168,0.8445954918861389,0.381708345191881,0.0,0.7873774170875549,0.8701524138450623,0.5357608596097831,0.033031643180138064,0.8857592344284058,0.93411785364151
"First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.","Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.","Najpierw mogę spróbować przekonać tego, kto rzucił Ninio (jeżeli dobrze zrozumiałem „Nithing”), żeby zdjął klątwę. Drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. Jestem w sytuacji, gdzie muszę się dowiedzieć, kto za tym stoi. (Ninio to norweskie ""nidingr"", co może odnosić się do rodzaju klątwy.)

**Tłumaczenie:**
Pierwsze - mogę spróbować przekonać kogoś, kto postawił [nie jestem pewien kontekstu, potrzebne dodatkowe informacje], aby zdjął przekleństwo samodzielnie. Drugie - mogę odbić przekleństwo z powrotem na osobę, która je rzuciła, pisząc jej nazwisko na pocisku. W obu przypadkach konieczne jest ustalenie, kto za tym stoi."," Pierwotnie - mogę próbować przekonać tego, kto ustanowił ""nidinga"" do samodzielnego zniesienia klątwy. Drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, napisując jego imię na osi. W każdym razie muszę poznać, kto stoi za tym.","Po pierwsze – mogę spróbować przekonać tego, kto wstawił Nithinga, aby sam TEN podniósł klątwę. Po drugie – mogę odbić klątwę z powrotem na tego, który ją rzucił, pisząc jego imię na drzewcu. W każdym razie muszę wiedzieć, kto stoi za tym wszystkim.","Po pierwsze - mogę spróbować przekonać tego, kto postawił Nithing, aby sam zdjął klątwę. Po drugie - mogę odbić klątwę z powrotem na tego, kto ją rzucił, pisząc jego imię na drzewcu. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.",0.42859179749778265,0.03326592855803764,0.7090805768966675,0.7182703018188477,0.31602654932763813,0.013722599955986396,0.7744714617729187,0.7558428645133972,0.4042972977149431,0.034089811462827725,0.7808055877685547,0.7464553713798523,0.515555746234733,0.21601402337783326,0.8112748265266418,0.787612795829773
Mhm. Guess I gotta investigate…,Mhm. A więc śledztwo...,Mhm. Chyba muszę zbadać..., Ogólnie rzecz biorąc. Zatrudnia to mnie sprawdzeniem..,Hm. Wygląda na to że muszę to sprawdzić…,Mhm. Chyba muszę to zbadać…,0.16223601489816297,0.08034284189446518,0.780286967754364,0.784905731678009,0.11796501958259571,0.0,0.6859033703804016,0.413932740688324,0.10249234872838571,0.0,0.6674798130989075,0.672478199005127,0.12764720898279747,0.05372849659117709,0.7003248929977417,0.8184431195259094
Elemental Empires - by Gianbattista.,"„Mocarstwa żywiołów”, Gianbattista.","""Empire Umiejętności - autorstwa Gianbattisty.""

**Ważne uwagi:**
1. Tekst oryginalny zawiera błąd w nazwie elementu (""Empowerment""), który został prawidłowo przetłumaczony jako ""Umiejętności"" (element umiejętności).
2. Nazwisko autora ""Gianbattista"" zostało zachowane bez zmian.
3. Pamiętaj, że ten tekst jest przeznaczony do zastosowania w grze planszowej, a nie ogólnej komunikacji. Zakładamy tu kontekst zrozumiały tylko w danym środowisku gry.

Jeśli potrzebujesz dodatkowych informacji lub interpretacji, proszę daj mi znać!", Pierwotne Imperia - twórczość Gianbattisty.,Światy elementarne - przez Jan Baptysta.,Imperia Żywiołów - autorstwa Gianbattisty.,0.19548928288362932,0.0,0.5817052125930786,0.5542144179344177,0.33574530896049204,0.0,0.6911879777908325,0.6740855574607849,0.1379316771160565,0.0,0.6440941095352173,0.3971594572067261,0.5122728013469462,0.0,0.7815304398536682,0.7337323427200317
"Swords, eh? Have it your way.",Na miecze? Jak chcesz.,"Miecze, co? Miej swoją wolę."," Miecze, no tak? Niech tak będzie.","Szable, hmm? Miej to po swojemu.","Miecze, co? Zrób to po swojemu.",0.1810322584516133,0.0,0.7710756063461304,0.686035692691803,0.2366772006786383,0.0,0.7866687774658203,0.6820629239082336,0.10145784081954302,0.0,0.7272310853004456,0.4742470979690552,0.18753760830247387,0.0,0.7653427720069885,0.6467898488044739
"Who, then?",To kto?,Kto więc?, Kto wtedy?,Kto wtedy?,Kto zatem?,0.11269644334160471,0.0,0.7734957337379456,0.9612361192703247,0.1108116202455826,0.0,0.7930856347084045,0.9261105060577393,0.1108116202455826,0.0,0.7930856347084045,0.9261103272438049,0.1108116202455826,0.0,0.8019399046897888,0.948186993598938
"Greetings, White One.","Witaj, białowłosy.","Pozdrowienia, Biały Jeden."," Witaj, Biały.","Witaj, Biały.","Witaj, Biały.",0.14413398543874506,0.0,0.686540961265564,0.6663066148757935,0.33280033818216337,0.1495348781221221,0.7929980158805847,0.7454155087471008,0.33280033818216337,0.1495348781221221,0.7929980158805847,0.7454155087471008,0.33280033818216337,0.1495348781221221,0.7929980158805847,0.7454155087471008
"Got back your stolen horn - and I, uh, killed the thieves.",Odzyskałem skradziony róg – i zabiłem złodziei.,"Odzyskałem twoją skradzioną rogówkę - a ja, eh, zabiłem złodziei."," Odzyskałem twoje skradzione rogi - i, uhm, zabiłem złodziei.","Odzyskałeś swoją skradzioną róg - a ja, e... zabiłem złodziei.","Odzyskałem twój skradziony róg - i, uhm, zabiłem złodziei.",0.6950358576602446,0.04939382737115371,0.8390911221504211,0.7853883504867554,0.7020188983003132,0.056122223243057295,0.8339674472808838,0.7750816941261292,0.6872608633960774,0.04939382737115371,0.8576340079307556,0.5590894818305969,0.7993221653062537,0.07583235673413397,0.8905082941055298,0.8676305413246155
The guest room. Come.,Chodźmy do pokoju gościnnego.,Pokój gościnny. Witamy., Pokój gościnny. Proszę.,Pokój gościnny. Chodź.,Pokój gościnny. Przyjdź.,0.24399568806146635,0.0,0.7654441595077515,0.7842400670051575,0.23719296697303097,0.0,0.7677736878395081,0.711397111415863,0.33580059983134186,0.0,0.7940464615821838,0.7775523662567139,0.24948501279738744,0.0,0.786022424697876,0.755064070224762
